District/Year,PSAC,SAC,Adults
Rumphi/2019,0.9999,0.9999,0.9999
Balaka/2019,0.9999,0.9999,0.9999
Blantyre/2019,0.9999,0.9999,0.9999
Chikwawa/2019,0.9999,0.9999,0.9999
Chiradzulu/2019,0.9999,0.9999,0.9999
Machinga/2019,0.9999,0.9999,0.9999
Mangochi/2019,0.9999,0.9999,0.9999
Mulanje/2019,0.9999,0.9999,0.9999
Mwanza/2019,0.9999,0.9999,0.9999
Neno/2019,0.9999,0.9999,0.9999
Nsanje/2019,0.9999,0.9999,0.9999
Phalombe/2019,0.9999,0.9999,0.9999
Thyolo/2019,0.9999,0.9999,0.9999
Zomba/2019,0.9999,0.9999,0.9999
Mzimba/2019,0.9999,0.9999,0.9999
Lilongwe City/2019,0.9999,0.9999,0.9999
Blantyre City/2019,0.9999,0.9999,0.9999
Mzuzu City/2019,0.9999,0.9999,0.9999
Zomba City/2019,0.9999,0.9999,0.9999
Dedza/2018,0.9999,0.9999,0.9999
Dowa/2018,0.9999,0.9999,0.9999
Kasungu/2018,0.9999,0.9999,0.9999
Lilongwe/2018,0.9999,0.9999,0.9999
Mchinji/2018,0.9999,0.9999,0.9999
Nkhotakota/2018,0.9999,0.9999,0.9999
Ntcheu/2018,0.9999,0.9999,0.9999
Ntchisi/2018,0.9999,0.9999,0.9999
Salima/2018,0.9999,0.9999,0.9999
Likoma/2018,0.9999,0.9999,0.9999
Chitipa/2018,0.9999,0.9999,0.9999
Karonga/2018,0.9999,0.9999,0.9999
Nkhata Bay/2018,0.9999,0.9999,0.9999
Rumphi/2018,0.9999,0.9999,0.9999
Balaka/2018,0.9999,0.9999,0.9999
Blantyre/2018,0.9999,0.9999,0.9999
Chikwawa/2018,0.9999,0.9999,0.9999
Chiradzulu/2018,0.9999,0.9999,0.9999
Machinga/2018,0.9999,0.9999,0.9999
Mangochi/2018,0.9999,0.9999,0.9999
Mulanje/2018,0.9999,0.9999,0.9999
Mwanza/2018,0.9999,0.9999,0.9999
Neno/2018,0.9999,0.9999,0.9999
Nsanje/2018,0.9999,0.9999,0.9999
Phalombe/2018,0.9999,0.9999,0.9999
Thyolo/2018,0.9999,0.9999,0.9999
Zomba/2018,0.9999,0.9999,0.9999
Mzimba/2018,0.9999,0.9999,0.9999
Lilongwe City/2018,0.9999,0.9999,0.9999
Blantyre City/2018,0.9999,0.9999,0.9999
Mzuzu City/2018,0.9999,0.9999,0.9999
Zomba City/2018,0.9999,0.9999,0.9999
Dedza/2017,0.9999,0.9999,0.9999
Dowa/2017,0.9999,0.9999,0.9999
Kasungu/2017,0.9999,0.9999,0.9999
Lilongwe/2017,0.9999,0.9999,0.9999
Mchinji/2017,0.9999,0.9999,0.9999
Nkhotakota/2017,0.9999,0.9999,0.9999
Ntcheu/2017,0.9999,0.9999,0.9999
Ntchisi/2017,0.9999,0.9999,0.9999
Salima/2017,0.9999,0.9999,0.9999
Likoma/2017,0.9999,0.9999,0.9999
Chitipa/2017,0.9999,0.9999,0.9999
Karonga/2017,0.9999,0.9999,0.9999
Nkhata Bay/2017,0.9999,0.9999,0.9999
Rumphi/2017,0.9999,0.9999,0.9999
Balaka/2017,0.9999,0.9999,0.9999
Blantyre/2017,0.9999,0.9999,0.9999
Chikwawa/2017,0.9999,0.9999,0.9999
Chiradzulu/2017,0.9999,0.9999,0.9999
Machinga/2017,0.9999,0.9999,0.9999
Mangochi/2017,0.9999,0.9999,0.9999
Mulanje/2017,0.9999,0.9999,0.9999
Mwanza/2017,0.9999,0.9999,0.9999
Neno/2017,0.9999,0.9999,0.9999
Nsanje/2017,0.9999,0.9999,0.9999
Phalombe/2017,0.9999,0.9999,0.9999
Thyolo/2017,0.9999,0.9999,0.9999
Zomba/2017,0.9999,0.9999,0.9999
Mzimba/2017,0.9999,0.9999,0.9999
Lilongwe City/2017,0.9999,0.9999,0.9999
Blantyre City/2017,0.9999,0.9999,0.9999
Mzuzu City/2017,0.9999,0.9999,0.9999
Zomba City/2017,0.9999,0.9999,0.9999
Dedza/2016,0.9999,0.9999,0.9999
Dowa/2016,0.9999,0.9999,0.9999
Kasungu/2016,0.9999,0.9999,0.9999
Lilongwe/2016,0.9999,0.9999,0.9999
Mchinji/2016,0.9999,0.9999,0.9999
Nkhotakota/2016,0.9999,0.9999,0.9999
Ntcheu/2016,0.9999,0.9999,0.9999
Ntchisi/2016,0.9999,0.9999,0.9999
Salima/2016,0.9999,0.9999,0.9999
Likoma/2016,0.9999,0.9999,0.9999
Chitipa/2016,0.9999,0.9999,0.9999
Karonga/2016,0.9999,0.9999,0.9999
Nkhata Bay/2016,0.9999,0.9999,0.9999
Rumphi/2016,0.9999,0.9999,0.9999
Balaka/2016,0.9999,0.9999,0.9999
Blantyre/2016,0.9999,0.9999,0.9999
Chikwawa/2016,0.9999,0.9999,0.9999
Chiradzulu/2016,0.9999,0.9999,0.9999
Machinga/2016,0.9999,0.9999,0.9999
Mangochi/2016,0.9999,0.9999,0.9999
Mulanje/2016,0.9999,0.9999,0.9999
Mwanza/2016,0.9999,0.9999,0.9999
Neno/2016,0.9999,0.9999,0.9999
Nsanje/2016,0.9999,0.9999,0.9999
Phalombe/2016,0.9999,0.9999,0.9999
Thyolo/2016,0.9999,0.9999,0.9999
Zomba/2016,0.9999,0.9999,0.9999
Mzimba/2016,0.9999,0.9999,0.9999
Lilongwe City/2016,0.9999,0.9999,0.9999
Blantyre City/2016,0.9999,0.9999,0.9999
Mzuzu City/2016,0.9999,0.9999,0.9999
Zomba City/2016,0.9999,0.9999,0.9999
Dedza/2015,0.9999,0.9999,0.9999
Dowa/2015,0.9999,0.9999,0.9999
Kasungu/2015,0.9999,0.9999,0.9999
Lilongwe/2015,0.9999,0.9999,0.9999
Mchinji/2015,0.9999,0.9999,0.9999
Nkhotakota/2015,0.9999,0.9999,0.9999
Ntcheu/2015,0.9999,0.9999,0.9999
Ntchisi/2015,0.9999,0.9999,0.9999
Salima/2015,0.9999,0.9999,0.9999
Likoma/2015,0.9999,0.9999,0.9999
Chitipa/2015,0.9999,0.9999,0.9999
Karonga/2015,0.9999,0.9999,0.9999
Nkhata Bay/2015,0.9999,0.9999,0.9999
Rumphi/2015,0.9999,0.9999,0.9999
Balaka/2015,0.9999,0.9999,0.9999
Blantyre/2015,0.9999,0.9999,0.9999
Chikwawa/2015,0.9999,0.9999,0.9999
Chiradzulu/2015,0.9999,0.9999,0.9999
Machinga/2015,0.9999,0.9999,0.9999
Mangochi/2015,0.9999,0.9999,0.9999
Mulanje/2015,0.9999,0.9999,0.9999
Mwanza/2015,0.9999,0.9999,0.9999
Neno/2015,0.9999,0.9999,0.9999
Nsanje/2015,0.9999,0.9999,0.9999
Phalombe/2015,0.9999,0.9999,0.9999
Thyolo/2015,0.9999,0.9999,0.9999
Zomba/2015,0.9999,0.9999,0.9999
Mzimba/2015,0.9999,0.9999,0.9999
Lilongwe City/2015,0.9999,0.9999,0.9999
Blantyre City/2015,0.9999,0.9999,0.9999
Mzuzu City/2015,0.9999,0.9999,0.9999
Zomba City/2015,0.9999,0.9999,0.9999
Dedza/2014,0.9999,0.9999,0.9999
Dowa/2014,0.9999,0.9999,0.9999
Kasungu/2014,0.9999,0.9999,0.9999
Lilongwe/2014,0.9999,0.9999,0.9999
Mchinji/2014,0.9999,0.9999,0.9999
Nkhotakota/2014,0.9999,0.9999,0.9999
Ntcheu/2014,0.9999,0.9999,0.9999
Ntchisi/2014,0.9999,0.9999,0.9999
Salima/2014,0.9999,0.9999,0.9999
Likoma/2014,0.9999,0.9999,0.9999
Chitipa/2014,0.9999,0.9999,0.9999
Karonga/2014,0.9999,0.9999,0.9999
Nkhata Bay/2014,0.9999,0.9999,0.9999
Rumphi/2014,0.9999,0.9999,0.9999
Balaka/2014,0.9999,0.9999,0.9999
Blantyre/2014,0.9999,0.9999,0.9999
Chikwawa/2014,0.9999,0.9999,0.9999
Chiradzulu/2014,0.9999,0.9999,0.9999
Machinga/2014,0.9999,0.9999,0.9999
Mangochi/2014,0.9999,0.9999,0.9999
Mulanje/2014,0.9999,0.9999,0.9999
Mwanza/2014,0.9999,0.9999,0.9999
Neno/2014,0.9999,0.9999,0.9999
Nsanje/2014,0.9999,0.9999,0.9999
Phalombe/2014,0.9999,0.9999,0.9999
Thyolo/2014,0.9999,0.9999,0.9999
Zomba/2014,0.9999,0.9999,0.9999
Mzimba/2014,0.9999,0.9999,0.9999
Lilongwe City/2014,0.9999,0.9999,0.9999
Blantyre City/2014,0.9999,0.9999,0.9999
Mzuzu City/2014,0.9999,0.9999,0.9999
Zomba City/2014,0.9999,0.9999,0.9999
Dedza/2013,0.9999,0.9999,0.9999
Dowa/2013,0.9999,0.9999,0.9999
Kasungu/2013,0.9999,0.9999,0.9999
Lilongwe/2013,0.9999,0.9999,0.9999
Mchinji/2013,0.9999,0.9999,0.9999
Nkhotakota/2013,0.9999,0.9999,0.9999
Ntcheu/2013,0.9999,0.9999,0.9999
Ntchisi/2013,0.9999,0.9999,0.9999
Salima/2013,0.9999,0.9999,0.9999
Likoma/2013,0.9999,0.9999,0.9999
Chitipa/2013,0.9999,0.9999,0.9999
Karonga/2013,0.9999,0.9999,0.9999
Nkhata Bay/2013,0.9999,0.9999,0.9999
Rumphi/2013,0.9999,0.9999,0.9999
Balaka/2013,0.9999,0.9999,0.9999
Blantyre/2013,0.9999,0.9999,0.9999
Chikwawa/2013,0.9999,0.9999,0.9999
Chiradzulu/2013,0.9999,0.9999,0.9999
Machinga/2013,0.9999,0.9999,0.9999
Mangochi/2013,0.9999,0.9999,0.9999
Mulanje/2013,0.9999,0.9999,0.9999
Mwanza/2013,0.9999,0.9999,0.9999
Neno/2013,0.9999,0.9999,0.9999
Nsanje/2013,0.9999,0.9999,0.9999
Phalombe/2013,0.9999,0.9999,0.9999
Thyolo/2013,0.9999,0.9999,0.9999
Zomba/2013,0.9999,0.9999,0.9999
Mzimba/2013,0.9999,0.9999,0.9999
Lilongwe City/2013,0.9999,0.9999,0.9999
Blantyre City/2013,0.9999,0.9999,0.9999
Mzuzu City/2013,0.9999,0.9999,0.9999
Zomba City/2013,0.9999,0.9999,0.9999
