Variant,Reference date (as of 1 July),0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,Sex
Estimates,2010,1325479.0,1110865.0,944001.0,800344.0,677573.0,525246.0,432300.0,342212.0,261911.99999999997,200886.0,157038.0,121924.0,100290.0,70654.0,44859.0,24953.0,10471.0,2759.0,396.0,26.0,2.0,M
Estimates,2015,1402524.0,1296534.0,1098320.0,932164.0,780554.0,651813.0,502716.0,411957.0,322621.0,244160.0,184195.0,140772.0,105462.0,81524.0,51859.0,27830.0,11660.0,3058.0,387.0,23.0,1.0,M
Estimates,2020,1477013.0,1381621.0,1286629.0,1088019.0,913937.0,756656.0,629760.0,483574.0,392707.0,304464.0,226793.0,167435.0,123788.0,87563.0,61748.0,33798.0,14084.0,3889.0,528.0,30.0,1.0,M
Low variant,2020,1477013.0,1381621.0,1286629.0,1088019.0,913937.0,756656.0,629760.0,483574.0,392707.0,304464.0,226793.0,167435.0,123788.0,87563.0,61748.0,33798.0,14084.0,3889.0,528.0,30.0,1.0,M
Low variant,2025,1533624.0,1461153.0,1374107.0,1277811.0,1074166.0,897136.0,739085.0,610880.0,464877.0,373765.0,285263.0,207958.0,148553.0,103806.0,67097.0,40846.0,17445.0,4814.0,693.0,40.0,1.0,M
Low variant,2030,1590249.0,1520011.0,1454481.0,1366214.0,1264389.0,1057867.0,879732.0,720206.0,590541.0,445059.0,352491.0,263471.0,186033.0,125838.0,80598.0,45184.0,21633.0,6192.0,904.0,58.0,2.0,M
Low variant,2035,1619185.0,1578507.0,1514102.0,1447240.0,1353622.0,1247895.0,1040219.0,860295.0,699165.0,568126.0,421999.0,327590.0,237443.0,159087.0,98964.0,55266.0,24570.0,7988.0,1235.0,80.0,3.0,M
Low variant,2040,1665743.0,1609085.0,1573172.0,1507382.0,1435191.0,1337734.0,1229539.0,1019881.0,837844.0,675131.0,541114.0,394255.0,297183.0,204852.0,126675.0,69091.0,30876.0,9451.0,1694.0,120.0,4.0,M
Low variant,2045,1680490.0,1656832.0,1604264.0,1566817.0,1495773.0,1419712.0,1319792.0,1207909.0,995802.0,811539.0,645493.0,508010.0,359927.0,258656.99999999997,165200.0,90103.0,39693.0,12388.0,2134.0,178.0,7.0,M
Low variant,2050,1663718.0,1672732.0,1652408.0,1598287.0,1555562.0,1480757.0,1402171.0,1298524.0,1181939.0,967179.0,778663.0,608834.0,466766.0,316131.0,211396.0,119853.0,53318.0,16643.0,2983.0,244.0,10.0,M
Low variant,2055,1637705.0,1656998.0,1668703.0,1646698.0,1587419.0,1540892.0,1463699.0,1381280.0,1272810.0,1150714.0,930991.0,737672.0,562860.0,413672.0,261821.00000000003,156418.0,73038.0,23352.0,4267.0,370.0,15.0,M
Low variant,2060,1596762.0,1631833.0,1653351.0,1663280.0,1636076.0,1573232.0,1524245.0,1443389.0,1355965.0,1241763.0,1110944.0,885637.0,686010.0,503188.0,347087.0,197515.0,98124.0,33393.0,6371.0,574.0,24.0,M
Low variant,2065,1551522.0,1591679.0,1628564.0,1648282.0,1653078.0,1622263.0,1557259.0,1504556.0,1418906.0,1325463.0,1202137.0,1061005.0,828318.0,618479.0,427567.0,266848.0,127469.0,46795.0,9682.0,924.0,39.0,M
Low variant,2070,1491765.0,1547050.0,1588738.0,1623832.0,1638608.0,1639851.0,1606824.0,1538560.0,1481009.0,1389545.0,1286548.0,1152425.0,997810.0,752927.0,532094.0,334961.0,177209.0,63459.0,14442.0,1523.0,67.0,M
Low variant,2075,1420418.0,1487817.0,1544398.0,1584347.0,1614681.0,1626106.0,1625209.0,1588930.0,1516372.0,1452877.0,1352046.0,1237620.0,1089248.0,913864.0,655226.0,424208.0,228505.0,91916.0,20809.0,2460.0,118.0,M
Low variant,2080,1341271.0,1416961.0,1485449.0,1540331.0,1575765.0,1602957.0,1612471.0,1608468.0,1567924.0,1490034.0,1416966.0,1304906.0,1175349.0,1004738.0,803975.0,531198.0,297013.0,123366.0,31997.0,3841.0,205.0,M
Low variant,2085,1259900.0,1338176.0,1414832.0,1481686.0,1532266.0,1564804.0,1590307.0,1597100.0,1589007.0,1543090.0,1456409.0,1371847.0,1244900.0,1091648.0,893286.0,662578.0,381664.0,166976.0,45660.0,6424.0,349.0,M
Low variant,2090,1178191.0,1257138.0,1336269.0,1411366.0,1474166.0,1522065.0,1553168.0,1576294.0,1579441.0,1566137.0,1511391.0,1414152.0,1314334.0,1163688.0,980184.0,747660.0,487926.0,223090.0,65607.0,9958.0,633.0,M
Low variant,2095,1097740.0,1175703.0,1255428.0,1333080.0,1404385.0,1464706.0,1511395.0,1540518.0,1560405.0,1558804.0,1536952.0,1471589.0,1360303.0,1236120.0,1054719.0,832582.0,563758.0,296208.0,92978.0,15550.0,1079.0,M
Low variant,2100,1021728.0,1095486.0,1174155.0,1252489.0,1326587.0,1395632.0,1454940.0,1499962.0,1526312.0,1541893.0,1532432.0,1500219.0,1420730.0,1286501.0,1130014.0,908079.0,641659.0,354597.0,130580.99999999999,23892.0,1849.0,M
Medium variant,2020,1477013.0,1381621.0,1286629.0,1088019.0,913937.0,756656.0,629760.0,483574.0,392707.0,304464.0,226793.0,167435.0,123788.0,87563.0,61748.0,33798.0,14084.0,3889.0,528.0,30.0,1.0,M
Medium variant,2025,1638310.0,1461152.0,1374106.0,1277811.0,1074166.0,897136.0,739085.0,610880.0,464877.0,373765.0,285263.0,207958.0,148553.0,103806.0,67097.0,40846.0,17445.0,4814.0,693.0,40.0,1.0,M
Medium variant,2030,1787971.0,1623805.0,1454481.0,1366215.0,1264389.0,1057867.0,879732.0,720206.0,590541.0,445059.0,352491.0,263471.0,186033.0,125838.0,80598.0,45184.0,21633.0,6192.0,904.0,58.0,2.0,M
Medium variant,2035,1901859.0,1774835.0,1617516.0,1447240.0,1353622.0,1247895.0,1040219.0,860295.0,699165.0,568126.0,421999.0,327590.0,237443.0,159087.0,98964.0,55266.0,24570.0,7988.0,1235.0,80.0,3.0,M
Medium variant,2040,1993895.0,1890088.0,1768876.0,1610413.0,1435190.0,1337733.0,1229539.0,1019881.0,837844.0,675131.0,541114.0,394255.0,297183.0,204852.0,126675.0,69091.0,30876.0,9451.0,1694.0,120.0,4.0,M
Medium variant,2045,2079056.9999999998,1983335.0,1884482.0,1761868.0,1598195.0,1419711.0,1319793.0,1207909.0,995802.0,811539.0,645493.0,508010.0,359927.0,258656.99999999997,165200.0,90103.0,39693.0,12388.0,2134.0,178.0,7.0,M
Medium variant,2050,2153301.0,2069585.9999999998,1978101.0,1877653.0,1749550.0,1582386.0,1402171.0,1298525.0,1181939.0,967179.0,778663.0,608834.0,466766.0,316131.0,211396.0,119853.0,53318.0,16643.0,2983.0,244.0,10.0,M
Medium variant,2055,2226323.0,2144758.0,2064676.0,1971485.0,1865360.0,1733478.0,1564361.0,1381281.0,1272810.0,1150714.0,930991.0,737672.0,562860.0,413672.0,261821.00000000003,156418.0,73038.0,23352.0,4267.0,370.0,15.0,M
Medium variant,2060,2278727.0,2218533.0,2140132.0,2058232.0,1959304.0,1849292.0,1715122.0,1542805.0,1355966.0,1241766.0,1110944.0,885637.0,686010.0,503188.0,347087.0,197515.0,98124.0,33393.0,6371.0,574.0,24.0,M
Medium variant,2065,2317555.0,2271703.0,2214202.0,2133899.0,2046251.0,1943441.0,1831035.0,1693238.0,1516736.0,1325464.0,1202139.0,1061005.0,828318.0,618479.0,427567.0,266848.0,127469.0,46795.0,9682.0,924.0,39.0,M
Medium variant,2070,2332841.0,2311137.0,2267639.0,2208170.0,2122176.0,2030696.0,1925532.0,1809428.0,1666921.0,1485419.0,1286550.0,1152425.0,997810.0,752927.0,532094.0,334961.0,177209.0,63459.0,14442.0,1523.0,67.0,M
Medium variant,2075,2331687.0,2326968.0,2307330.0,2261848.0,2196707.0,2106998.0,2013273.0,1904519.0,1783596.0,1635384.0,1445377.0,1237619.0,1089248.0,913864.0,655226.0,424208.0,228505.0,91916.0,20809.0,2460.0,118.0,M
Medium variant,2080,2319451.0,2326352.0,2323443.0,2301806.0,2250762.0,2181993.0,2090210.0,1993050.0,1879633.0,1752789.0,1595042.0,1395011.0,1175349.0,1004739.0,803975.0,531198.0,297013.0,123366.0,31997.0,3841.0,205.0,M
Medium variant,2085,2299482.0,2314488.0,2323058.0,2318188.0,2291099.0,2236584.0,2165847.0,2070928.0,1969289.0,1850058.0,1713348.0,1544306.0,1330882.0,1091648.0,893289.0,662578.0,381664.0,166976.0,45660.0,6424.0,349.0,M
Medium variant,2090,2270095.0,2294882.0,2311419.0,2318085.0,2307959.0,2277553.0,2221224.0,2147547.0,2048469.0,1941183.0,1812183.0,1663713.0,1479597.0,1244074.0,980182.0,747660.0,487926.0,223090.0,65607.0,9958.0,633.0,M
Medium variant,2095,2231763.0,2265794.0,2292017.0,2306719.0,2308363.0,2295097.0,2263060.0,2204064.0,2126436.0,2021999.0,1905162.0,1764546.0,1600412.0,1391572.0,1127585.0,832581.0,563760.0,296208.0,92978.0,15550.0,1079.0,M
Medium variant,2100,2190221.0,2227727.0,2263101.0,2287576.0,2297471.0,2296193.0,2281479.0,2247020.0,2184376.0,2101568.0,1987982.0,1859734.0,1703616.0,1513613.0,1272140.0,970820.0,641659.0,354598.0,130580.99999999999,23892.0,1849.0,M
High variant,2020,1477013.0,1381621.0,1286629.0,1088019.0,913937.0,756656.0,629760.0,483574.0,392707.0,304464.0,226793.0,167435.0,123788.0,87563.0,61748.0,33798.0,14084.0,3889.0,528.0,30.0,1.0,M
High variant,2025,1742998.0,1461153.0,1374107.0,1277811.0,1074166.0,897136.0,739085.0,610880.0,464877.0,373765.0,285263.0,207958.0,148553.0,103806.0,67097.0,40846.0,17445.0,4814.0,693.0,40.0,1.0,M
High variant,2030,1985694.0,1727599.0,1454480.0,1366215.0,1264389.0,1057867.0,879732.0,720206.0,590541.0,445059.0,352491.0,263471.0,186033.0,125838.0,80598.0,45184.0,21633.0,6192.0,904.0,58.0,2.0,M
High variant,2035,2184533.0,1971164.0,1720927.0,1447241.0,1353622.0,1247895.0,1040219.0,860295.0,699165.0,568126.0,421999.0,327590.0,237443.0,159087.0,98964.0,55266.0,24570.0,7988.0,1235.0,80.0,3.0,M
High variant,2040,2326664.0,2171093.0,1964581.0,1713442.0,1435189.0,1337732.0,1229539.0,1019881.0,837844.0,675131.0,541114.0,394255.0,297183.0,204852.0,126675.0,69091.0,30876.0,9451.0,1694.0,120.0,4.0,M
High variant,2045,2497665.0,2314430.0,2164699.0,1956920.0,1700616.0,1419712.0,1319792.0,1207909.0,995802.0,811539.0,645493.0,508010.0,359927.0,258656.99999999997,165200.0,90103.0,39693.0,12388.0,2134.0,178.0,7.0,M
High variant,2050,2689336.0,2486393.0,2308374.0,2157023.0,1943540.0,1684015.0,1402171.0,1298525.0,1181939.0,967179.0,778663.0,608834.0,466766.0,316131.0,211396.0,119853.0,53318.0,16643.0,2983.0,244.0,10.0,M
High variant,2055,2895379.0,2678799.0,2480557.0,2300840.0,2143304.0,1926069.0,1665023.0,1381280.0,1272809.0,1150714.0,930991.0,737672.0,562860.0,413672.0,261821.00000000003,156418.0,73038.0,23352.0,4267.0,370.0,15.0,M
High variant,2060,3080016.0,2885407.0,2673100.0,2473041.0,2287079.0,2125354.0,1906002.0,1642217.0,1355965.0,1241764.0,1110944.0,885637.0,686010.0,503188.0,347087.0,197515.0,98124.0,33393.0,6371.0,574.0,24.0,M
High variant,2065,3247756.0,3070706.0,2879871.0,2665593.0,2459194.0,2269138.0,2104814.0,1881923.0,1614565.0,1325463.0,1202139.0,1061005.0,828318.0,618479.0,427567.0,266848.0,127469.0,46795.0,9682.0,924.0,39.0,M
High variant,2070,3391743.0,3238975.0,3065323.0,2872359.0,2651626.0,2441194.0,2248725.0,2080301.0,1852839.0,1581290.0,1286548.0,1152424.0,997810.0,752927.0,532094.0,334961.0,177209.0,63459.0,14442.0,1523.0,67.0,M
High variant,2075,3525444.0,3383444.0,3233769.0,3057893.0,2858267.0,2633520.0,2420847.0,2224548.0,2050822.0,1817891.0,1538706.0,1237620.0,1089248.0,913864.0,655226.0,424208.0,228505.0,91916.0,20809.0,2460.0,118.0,M
High variant,2080,3655337.0,3517649.0,3378460.0,3226474.0,3043859.0,2840161.0,2613278.0,2396970.0,2195730.0,2015547.0,1773121.0,1485116.0,1175350.0,1004737.0,803975.0,531198.0,297013.0,123366.0,31997.0,3841.0,205.0,M
High variant,2085,3779456.0,3647822.0,3512831.0,3371329.0,3212560.0,3025899.0,2820039.0,2589712.0,2368692.0,2161347.0,1970292.0,1716770.0,1416863.0,1091648.0,893287.0,662578.0,381664.0,166976.0,45660.0,6424.0,349.0,M
High variant,2090,3889542.0,3772235.0,3643167.0,3505882.0,3357687.0,3194948.0,3006164.0,2796864.0,2561998.0,2335088.0,2117209.0,1913277.0,1644866.0,1324457.0,980182.0,747660.0,487926.0,223090.0,65607.0,9958.0,633.0,M
High variant,2095,3983981.0,3882553.0,3767732.0,3636402.0,3492574.0,3340542.0,3175814.0,2983708.0,2769819.0,2529139.0,2291890.0,2061627.0,1840522.0,1547028.0,1200450.0,832581.0,563758.0,296208.0,92978.0,15550.0,1079.0,M
High variant,2100,4072112.0,3977193.0,3878160.0,3761150.0,3623393.0,3475928.0,3322073.0,3154179.0,2957579.0,2737725.0,2486755.0,2237327.0,1990486.0,1740729.0,1414268.0,1033561.9999999999,641658.0,354598.0,130580.99999999999,23892.0,1849.0,M
Estimates,1950,292623.0,219802.0,182928.0,154088.0,131119.0,110828.0,100219.0,76323.0,55517.0,52426.0,43157.0,36874.0,29871.0,22969.0,15037.0,8135.999999999999,3197.0,726.0,92.0,6.0,1.0,F
Estimates,1955,288701.0,243275.0,203324.0,173633.0,146822.0,125105.0,105607.0,95236.0,72213.0,52309.0,48926.0,39440.0,32451.0,24629.0,17091.0,9573.0,4082.0,1123.0,155.0,11.0,1.0,F
Estimates,1960,331045.0,242763.0,226484.0,193724.0,165916.0,140420.0,119477.0,100575.0,90292.0,68168.0,48908.0,44806.0,34801.0,26842.0,18388.0,10909.0,4803.0,1424.0,236.0,18.0,1.0,F
Estimates,1965,382720.0,282163.0,227660.0,216732.0,185731.0,159125.0,134457.0,114074.0,95587.0,85429.0,63877.0,44901.0,39658.0,28892.0,20117.0,11770.0,5469.0,1659.0,290.0,25.0,1.0,F
Estimates,1970,442269.0,329835.0,266133.0,218613.0,208353.0,178538.0,152698.0,128650.0,108642.0,90611.0,80201.0,58771.0,39852.0,33034.0,21729.0,12911.0,5898.0,1874.0,330.0,30.0,2.0,F
Estimates,1975,510350.0,388614.0,314054.0,256721.0,210270.0,200009.0,171096.0,146038.0,122572.0,103091.0,85210.0,74046.0,52450.0,33419.0,25029.0,14038.0,6480.0,1996.0,356.0,30.0,2.0,F
Estimates,1980,596766.0,456233.0,373160.0,305268.0,249868.0,204758.0,194251.0,165539.0,140508.0,117269.0,97639.0,79118.0,66427.0,44278.0,25521.0,16300.999999999998,7081.0,2181.0,367.0,30.0,2.0,F
Estimates,1985,692915.0,540939.0,440798.0,363795.0,297127.0,242779.0,198501.0,187732.0,159221.0,134469.0,111179.0,90895.0,71308.0,56436.0,34091.0,16775.0,8283.0,2381.0,391.0,30.0,2.0,F
Estimates,1990,861414.0,666811.0,571709.0,479872.0,405918.0,347066.0,295554.0,242012.0,216112.0,170932.0,133741.0,106857.0,85933.0,66481.0,49807.0,27315.0,10962.0,3162.0,425.0,32.0,2.0,F
Estimates,1995,887205.0,742338.0,591145.0,509591.0,432870.0,363433.0,296733.0,240854.0,192735.0,174858.0,143919.0,115578.0,90179.0,70715.0,52641.0,35850.0,16184.999999999998,4156.0,581.0,38.0,2.0,F
Estimates,2000,1000455.0,840585.0,729517.0,581088.0,495019.0,411776.0,338314.0,271132.0,218225.0,174921.0,158386.0,129288.00000000001,101712.0,76171.0,55440.0,36405.0,19818.0,6002.0,853.0,64.0,3.0,F
Estimates,2005,1137530.0,959105.0,827818.0,718294.0,564717.0,468747.0,378228.0,302307.0,239581.0,193790.0,155428.0,140226.0,112562.0,85383.0,59649.0,38579.0,20449.0,7556.0,1300.0,104.0,6.0,F
Estimates,2010,1306965.0,1104866.0,947145.0,817177.0,702098.0,542354.0,442298.0,351260.0,278094.0,219906.0,176871.0,140383.0,123965.0,95281.0,66771.0,40783.0,20695.0,7072.0,1323.0,106.0,6.0,F
Estimates,2015,1374541.0,1282700.0,1095508.0,938584.0,801984.0,680437.0,523639.0,427067.0,337304.0,265767.0,208480.0,165558.0,128536.0,108721.0,77311.0,47421.0,22777.0,7500.0,1243.0,89.0,4.0,F
Estimates,2020,1446930.0,1356955.0,1275213.0,1088192.0,924780.0,782145.0,662669.0,510020.0,414080.0,325490.0,254522.0,197398.0,153834.0,115063.0,91018.0,57678.0,28719.0,9465.0,1634.0,109.0,4.0,F
Low variant,2020,1446930.0,1356955.0,1275213.0,1088192.0,924780.0,782145.0,662669.0,510020.0,414080.0,325490.0,254522.0,197398.0,153834.0,115063.0,91018.0,57678.0,28719.0,9465.0,1634.0,109.0,4.0,F
Low variant,2025,1502449.0,1434871.0,1351968.0,1269709.0,1079579.0,913529.0,769899.0,649944.0,497843.0,402143.0,313633.0,242438.0,184537.0,138679.0,97173.0,68709.0,35512.0,12213.0,2130.0,149.0,5.0,F
Low variant,2030,1558245.0,1492875.0,1430719.0,1347248.0,1261636.0,1069012.0,901969.0,757785.0,637017.0,485499.0,389193.0,300146.0,227832.0,167461.0,118194.0,74335.0,43181.0,15615.0,2906.0,212.0,7.0,F
Low variant,2035,1586525.0,1550642.0,1489433.0,1426603.0,1340065.0,1251507.0,1057891.0,890178.0,744998.0,623338.0,471576.0,373972.0,283427.0,208078.0,144055.0,91690.0,47761.0,19694.0,3946.0,315.0,11.0,F
Low variant,2040,1631724.0,1580475.0,1547730.0,1485778.0,1420038.0,1330816.0,1240530.0,1046148.9999999999,877217.0,730912.0,607328.0,454772.0,354751.0,260511.00000000003,180742.0,113466.0,60396.0,22712.0,5336.0,478.0,17.0,F
Low variant,2045,1645371.0,1626675.0,1577956.0,1544397.0,1479686.0,1411367.0,1320556.0,1228581.0,1032777.0,862462.0,713995.0,587639.0,433313.0,328203.0,228608.0,144695.0,76756.0,30020.0,6616.0,718.0,29.0,F
Low variant,2050,1627598.0,1641007.0,1624400.0,1574874.0,1538603.0,1471459.0,1401575.0,1309149.0,1214567.0,1017157.0,844383.0,692915.0,562286.0,403483.0,291002.0,186083.0,100584.0,39908.0,9405.0,989.0,47.0,F
Low variant,2055,1600750.0,1623747.0,1638910.0,1621445.0,1569333.0,1530680.0,1462054.0,1390533.0,1295545.0,1197878.0,997732.0,821624.0,665572.0,526741.0,361246.0,240632.0,132749.0,54586.0,13398.0,1557.0,72.0,F
Low variant,2060,1559410.0,1597260.0,1621800.0,1636084.0,1616058.0,1561689.0,1521554.0,1451382.0,1377223.0,1279179.0,1176911.0,973096.0,791916.0,626899.0,475811.0,303069.0,175815.0,74955.0,19542.0,2436.0,123.0,F
Low variant,2065,1513934.0,1556182.0,1595436.0,1619108.0,1630863.0,1608612.0,1552917.0,1511218.0,1438501.0,1361156.0,1258566.0,1150257.0,940856.0,749647.0,570953.0,404580.0,226419.0,103028.0,28504.0,3883.0,211.0,F
Low variant,2070,1454561.0,1510907.0,1554459.0,1592871.0,1614098.0,1623678.0,1600100.0,1543050.0,1498764.0,1422982.0,1340932.0,1232343.0,1115270.0,894644.0,687811.0,491413.0,308471.0,137311.0,41456.0,6159.0,368.0,F
Low variant,2075,1384083.0,1451718.0,1509270.0,1552000,1588069.0,1607254.0,1615544.0,1590596.0,1531216.0,1483757.0,1403405.0,1315115.0,1197753.0,1064621.0,826128.0,598291.0,381434.0,192875.0,58145.0,9675.0,638.0,F
Low variant,2080,1306219.0,1381435.0,1450177.0,1506934.0,1547413.0,1581568.0,1599600.0,1606561.0,1579253.0,1516998.0,1464859.0,1378416.0,1281039.0,1147428.0,988837.0,725576.0,472062.0,245319.0,85668.0,14597.0,1092.0,F
Low variant,2085,1226429.0,1303743.0,1379997.0,1447960.0,1502560.0,1541251.0,1574385.0,1591252.0,1595898.0,1565649.0,1499081.0,1440719.0,1345396.0,1231151.0,1071388.0,876133.0,581138.0,311621.0,113938.0,23044.0,1796.0,F
Low variant,2090,1146416.0,1224122.0,1302395.0,1377902.0,1443798.0,1496735.0,1534554.0,1566649.0,1581413.0,1583129.0,1548499.0,1476198.0,1408776.0,1296773.0,1155093.0,956884.0,711435.0,393013.0,150933.0,32732.999999999996,3071.0,F
Low variant,2095,1067746.0,1144257.0,1222874.0,1300410.0,1373947.0,1438297.0,1490476.0,1527442.0,1557593.0,1569626.0,1566996.0,1526526.0,1445804.0,1361377.0,1221852.0,1039017.0,786654.0,491803.0,197855.0,46112.0,4765.0,F
Low variant,2100,993550.0,1065743.0,1143097.0,1220995.0,1296661.0,1368776.0,1432481.0,1483930.0,1519168.0,1546783.0,1554755.0,1546361.0,1497390.0,1400559.0,1287859.0,1106438.0,864172.0,555254.0,256947.99999999997,64168.00000000001,7284.0,F
Medium variant,2020,1446930.0,1356955.0,1275213.0,1088192.0,924780.0,782145.0,662669.0,510020.0,414080.0,325490.0,254522.0,197398.0,153834.0,115063.0,91018.0,57678.0,28719.0,9465.0,1634.0,109.0,4.0,F
Medium variant,2025,1605007.0,1434870.0,1351967.0,1269709.0,1079579.0,913529.0,769899.0,649944.0,497843.0,402143.0,313633.0,242438.0,184537.0,138679.0,97173.0,68709.0,35512.0,12213.0,2130.0,149.0,5.0,F
Medium variant,2030,1751989.0,1594817.0,1430719.0,1347248.0,1261636.0,1069012.0,901969.0,757785.0,637017.0,485499.0,389193.0,300146.0,227832.0,167461.0,118194.0,74335.0,43181.0,15615.0,2906.0,212.0,7.0,F
Medium variant,2035,1863500.0,1743507.0,1591161.0,1426603.0,1340065.0,1251507.0,1057891.0,890178.0,744998.0,623338.0,471576.0,373972.0,283427.0,208078.0,144055.0,91690.0,47761.0,19694.0,3946.0,315.0,11.0,F
Medium variant,2040,1953177.0,1856485.0,1740267.0,1587311.0,1420037.0,1330817.0,1240530.0,1046148.9999999999,877217.0,730912.0,607328.0,454772.0,354751.0,260511.00000000003,180742.0,113466.0,60396.0,22712.0,5336.0,478.0,17.0,F
Medium variant,2045,2035609.0,1947237.0,1853576.0,1736623.0,1580933.0,1411367.0,1320556.0,1228581.0,1032777.0,862462.0,713995.0,587639.0,433313.0,328203.0,228608.0,144695.0,76756.0,30020.0,6616.0,718.0,29.0,F
Medium variant,2050,2106550.0,2030336.0,1944570.0,1850101.0,1730344.0,1572302.0,1401577.0,1309150.0,1214567.0,1017157.0,844383.0,692915.0,562286.0,403483.0,291002.0,186083.0,100584.0,39908.0,9405.0,989.0,47.0,F
Medium variant,2055,2176090.0,2101724.0,2027811.0,1941197.0,1843924.0,1721722.0,1562383.0,1390534.0,1295545.0,1197878.0,997732.0,821624.0,665572.0,526741.0,361246.0,240632.0,132749.0,54586.0,13398.0,1557.0,72.0,F
Medium variant,2060,2225427.0,2171535.0,2099287.0,2024512.0,1935121.0,1835348.0,1711700.0,1551074.0,1377223.0,1279178.0,1176911.0,973096.0,791916.0,626899.0,475811.0,303069.0,175815.0,74955.0,19542.0,2436.0,123.0,F
Medium variant,2065,2261413.0,2221046.0,2169157.0,2096047.9999999998,2018500.0,1926663.0,1825379.0,1700243.0,1537368.0,1361155.0,1258565.0,1150257.0,940856.0,749647.0,570953.0,404580.0,226419.0,103028.0,28504.0,3883.0,211.0,F
Medium variant,2070,2274667.0,2257152.0,2218710.0,2165967.0,2090121.9999999998,2010159.0,1916851.0,1814017.0,1686343.0,1520821.0,1340932.0,1232344.0,1115270.0,894644.0,687811.0,491413.0,308471.0,137311.0,41456.0,6159.0,368.0,F
Medium variant,2075,2272047.0,2270521.0,2254851.0,2215555.0,2160123.0,2081943.0000000002,2000548.0,1905736.0,1800262.0,1669528.0,1499925.0,1315115.0,1197754.0,1064621.0,826128.0,598291.0,381434.0,192875.0,58145.0,9675.0,638.0,F
Medium variant,2080,2258843.0,2268041.0,2268275.0,2251770.0,2209820.0,2152117.0,2072601.0,1989747.0,1892321.0,1783647.0,1648309.0,1473234.0,1281039.0,1147428.0,988837.0,725576.0,472062.0,245319.0,85668.0,14597.0,1092.0,F
Medium variant,2085,2238400.0,2254947.0,2265867.0,2265272.0,2246175.0,2202015.0,2143039.0,2062185.0,1976755.0,1876135.0,1762643.0,1621178.0,1437951.0,1231151.0,1071386.0,876133.0,581138.0,311621.0,113938.0,23044.0,1796.0,F
Medium variant,2090,2208880.0,2234624.0,2252829.0,2262956.0,2259837.0,2238615.0,2193278.0,2133000,2049701.0,1961078.0,1855656.0,1735779.0,1585251.0,1385991.0,1155094.0,956884.0,711435.0,393013.0,150933.0,32732.999999999996,3071.0,F
