District,District_Num,Region,Sex,Age,Count
Karonga,1,Northern,F,20,3127.0153587369073
Karonga,1,Northern,F,21,3048.1853091842745
Karonga,1,Northern,F,22,2947.5746395601527
Karonga,1,Northern,F,23,2812.277085490119
Karonga,1,Northern,F,24,2656.6745067923707
Karonga,1,Northern,F,25,2506.3300358027204
Karonga,1,Northern,F,26,2354.1150917153277
Karonga,1,Northern,F,27,2223.8054659059403
Karonga,1,Northern,F,28,2129.2010932290136
Karonga,1,Northern,F,29,2058.3101628245768
Karonga,1,Northern,F,30,1985.6318914600747
Karonga,1,Northern,F,31,1916.6322171877996
Karonga,1,Northern,F,32,1844.8683993377495
Karonga,1,Northern,F,33,1764.7290186166972
Karonga,1,Northern,F,34,1680.433031011773
Karonga,1,Northern,F,35,1601.7900287689147
Karonga,1,Northern,F,36,1526.7217084461863
Karonga,1,Northern,F,37,1455.519032525459
Karonga,1,Northern,F,38,1389.2211527277007
Karonga,1,Northern,F,39,1326.9967476761367
Karonga,1,Northern,F,40,1266.8506460665087
Karonga,1,Northern,F,41,1209.198508587204
Karonga,1,Northern,F,42,1153.8532879284485
Karonga,1,Northern,F,43,1100.4616725051126
Karonga,1,Northern,F,44,1049.273058730229
Karonga,1,Northern,F,45,1000.4952769479909
Karonga,1,Northern,F,46,953.733449504431
Karonga,1,Northern,F,47,910.3800397056459
Karonga,1,Northern,F,48,870.9961894809587
Karonga,1,Northern,F,49,834.7090113847561
Karonga,1,Northern,F,50,800.5417027993283
Karonga,1,Northern,F,51,769.2008868949333
Karonga,1,Northern,F,52,737.0495326481835
Karonga,1,Northern,F,53,702.2795160645941
Karonga,1,Northern,F,54,666.8444423795853
Karonga,1,Northern,F,55,633.3629739299963
Karonga,1,Northern,F,56,599.9854206525041
Karonga,1,Northern,F,57,574.0897597659816
Karonga,1,Northern,F,58,559.1259749840424
Karonga,1,Northern,F,59,551.020591560492
Karonga,1,Northern,F,60,542.5411135173931
Karonga,1,Northern,F,61,535.6203630557462
Karonga,1,Northern,F,62,523.2752406106464
Karonga,1,Northern,F,63,501.432271435899
Karonga,1,Northern,F,64,473.49987317627915
Karonga,1,Northern,F,65,447.0015042915951
Karonga,1,Northern,F,66,420.54470147574983
Karonga,1,Northern,F,67,394.6698236236466
Karonga,1,Northern,F,68,370.51993762835025
Karonga,1,Northern,F,69,347.4923354916994
Karonga,1,Northern,F,70,324.00750659782256
Karonga,1,Northern,F,71,300.5018946695264
Karonga,1,Northern,F,72,277.2664621886819
Karonga,1,Northern,F,73,254.25964308645038
Karonga,1,Northern,F,74,231.66848467260604
Karonga,1,Northern,F,75,209.72160032576187
Karonga,1,Northern,F,76,188.37742397707913
Karonga,1,Northern,F,77,168.15553148704183
Karonga,1,Northern,F,78,149.40923444077913
Karonga,1,Northern,F,79,131.93070249409735
Karonga,1,Northern,F,80,115.3250579930287
Karonga,1,Northern,F,81,99.69621610966998
Karonga,1,Northern,F,82,85.06495987844052
Karonga,1,Northern,F,83,71.34815716166291
Karonga,1,Northern,F,84,58.67050616585331
Karonga,1,Northern,F,85,47.073572959850424
Karonga,1,Northern,F,86,36.39109326829938
Karonga,1,Northern,F,87,27.454388467974574
Karonga,1,Northern,F,88,20.61677014400513
Karonga,1,Northern,F,89,15.441794573584488
Karonga,1,Northern,F,90,10.162903831067045
Karonga,1,Northern,F,91,6.712920117453283
Karonga,1,Northern,F,92,5.258107708098083
Karonga,1,Northern,F,93,3.616247988968642
Karonga,1,Northern,F,94,1.745774891226241
Karonga,1,Northern,F,95,0.7481892390969604
Karonga,1,Northern,F,96,0.6027079981614403
Karonga,1,Northern,F,97,0.43644372280656024
Karonga,1,Northern,F,98,0.2909624818710401
Karonga,1,Northern,F,99,0.12469820651616007
Karonga,1,Northern,F,100,0.12469820651616007
Nkhata Bay,2,Northern,M,0,4625.597481608283
Nkhata Bay,2,Northern,M,1,4451.502610348166
Nkhata Bay,2,Northern,M,2,4287.4083475572315
Nkhata Bay,2,Northern,M,3,4132.698772454559
Nkhata Bay,2,Northern,M,4,3986.741755817621
Nkhata Bay,2,Northern,M,5,3848.8727515406867
Nkhata Bay,2,Northern,M,6,3718.4596304012307
Nkhata Bay,2,Northern,M,7,3594.8864716183307
Nkhata Bay,2,Northern,M,8,3477.5049375278586
Nkhata Bay,2,Northern,M,9,3365.6666904656854
Nkhata Bay,2,Northern,M,10,3259.3393135486044
Nkhata Bay,2,Northern,M,11,3158.425556126997
Nkhata Bay,2,Northern,M,12,3059.4568116977753
Nkhata Bay,2,Northern,M,13,2960.601526359776
Nkhata Bay,2,Northern,M,14,2862.9618741420177
Nkhata Bay,2,Northern,M,15,2768.1262823216152
Nkhata Bay,2,Northern,M,16,2674.1821547893896
Nkhata Bay,2,Northern,M,17,2586.7700292232594
Nkhata Bay,2,Northern,M,18,2508.2887549804996
Nkhata Bay,2,Northern,M,19,2434.961765167561
Nkhata Bay,2,Northern,M,20,2362.8504084748643
Nkhata Bay,2,Northern,M,21,2295.488125171909
Nkhata Bay,2,Northern,M,22,2214.7700859879055
Nkhata Bay,2,Northern,M,23,2112.1382337563577
Nkhata Bay,2,Northern,M,24,1997.1555490231608
Nkhata Bay,2,Northern,M,25,1886.3870591067996
Nkhata Bay,2,Northern,M,26,1774.7919386686744
Nkhata Bay,2,Northern,M,27,1679.8915130818593
Nkhata Bay,2,Northern,M,28,1611.5567232827111
Nkhata Bay,2,Northern,M,29,1560.7918841814464
Nkhata Bay,2,Northern,M,30,1508.8762457263535
Nkhata Bay,2,Northern,M,31,1459.7808761102197
Nkhata Bay,2,Northern,M,32,1407.589694147872
Nkhata Bay,2,Northern,M,33,1347.5536264495693
Nkhata Bay,2,Northern,M,34,1283.1088626351923
Nkhata Bay,2,Northern,M,35,1222.7648345464283
Nkhata Bay,2,Northern,M,36,1165.1114077637978
Nkhata Bay,2,Northern,M,37,1108.3332368277408
Nkhata Bay,2,Northern,M,38,1052.5113639462736
Nkhata Bay,2,Northern,M,39,998.0023748346664
Nkhata Bay,2,Northern,M,40,945.0818130001742
Nkhata Bay,2,Northern,M,41,893.6362193515745
Nkhata Bay,2,Northern,M,42,845.3350633739982
Nkhata Bay,2,Northern,M,43,801.0373924724156
Nkhata Bay,2,Northern,M,44,760.0948689826982
Nkhata Bay,2,Northern,M,45,720.7731896533022
Nkhata Bay,2,Northern,M,46,683.1696051338469
Nkhata Bay,2,Northern,M,47,648.3214556869377
Nkhata Bay,2,Northern,M,48,616.5367017030361
Nkhata Bay,2,Northern,M,49,587.2480477260292
Nkhata Bay,2,Northern,M,50,559.7585307669791
Nkhata Bay,2,Northern,M,51,534.3761112163467
Nkhata Bay,2,Northern,M,52,509.3016520561754
Nkhata Bay,2,Northern,M,53,483.65989743989155
Nkhata Bay,2,Northern,M,54,458.24506100605277
Nkhata Bay,2,Northern,M,55,434.2079421084871
Nkhata Bay,2,Northern,M,56,410.65707645901784
Nkhata Bay,2,Northern,M,57,390.7693186118749
Nkhata Bay,2,Northern,M,58,376.03584519455376
Nkhata Bay,2,Northern,M,59,364.52785165627216
Nkhata Bay,2,Northern,M,60,353.1657340924195
Nkhata Bay,2,Northern,M,61,342.92199899918853
Nkhata Bay,2,Northern,M,62,329.598660001347
Nkhata Bay,2,Northern,M,63,310.92653527444503
Nkhata Bay,2,Northern,M,64,288.93168001888426
Nkhata Bay,2,Northern,M,65,267.99037346753244
Nkhata Bay,2,Northern,M,66,247.27598509862554
Nkhata Bay,2,Northern,M,67,227.51789478430825
Nkhata Bay,2,Northern,M,68,209.54273304634444
Nkhata Bay,2,Northern,M,69,192.86424663663774
Nkhata Bay,2,Northern,M,70,176.21817711013745
Nkhata Bay,2,Northern,M,71,159.86385953249498
Nkhata Bay,2,Northern,M,72,144.4010062430293
Nkhata Bay,2,Northern,M,73,130.0241185409789
Nkhata Bay,2,Northern,M,74,116.58732045191488
Nkhata Bay,2,Northern,M,75,103.83127691018584
Nkhata Bay,2,Northern,M,76,91.8046132406014
Nkhata Bay,2,Northern,M,77,80.37766191033587
Nkhata Bay,2,Northern,M,78,69.40454694496032
Nkhata Bay,2,Northern,M,79,59.03114431890366
Nkhata Bay,2,Northern,M,80,49.45195533140446
Nkhata Bay,2,Northern,M,81,40.58593777444666
Nkhata Bay,2,Northern,M,82,32.77346892169774
Nkhata Bay,2,Northern,M,83,26.20905007239627
Nkhata Bay,2,Northern,M,84,20.69817992730367
Nkhata Bay,2,Northern,M,85,15.787022121529974
Nkhata Bay,2,Northern,M,86,11.475576655075175
Nkhata Bay,2,Northern,M,87,8.055595476797121
Nkhata Bay,2,Northern,M,88,5.559495469902239
Nkhata Bay,2,Northern,M,89,3.8414006599616055
Nkhata Bay,2,Northern,M,90,2.3664324740691747
Nkhata Bay,2,Northern,M,91,1.604635718718139
Nkhata Bay,2,Northern,M,92,1.2318415618442278
Nkhata Bay,2,Northern,M,93,0.8266305217638897
Nkhata Bay,2,Northern,M,94,0.3890025984771246
Nkhata Bay,2,Northern,M,95,0.14587597442892172
Nkhata Bay,2,Northern,M,96,0.11345909122249467
Nkhata Bay,2,Northern,M,97,0.08104220801606762
Nkhata Bay,2,Northern,M,98,0.048625324809640574
Nkhata Bay,2,Northern,M,99,0.03241688320642705
Nkhata Bay,2,Northern,M,100,0.03241688320642705
Nkhata Bay,2,Northern,F,0,4542.41575930059
Nkhata Bay,2,Northern,F,1,4381.46593418068
Nkhata Bay,2,Northern,F,2,4228.863456486424
Nkhata Bay,2,Northern,F,3,4084.1706982945375
Nkhata Bay,2,Northern,F,4,3946.950031681732
Nkhata Bay,2,Northern,F,5,3816.796245607927
Nkhata Bay,2,Northern,F,6,3693.2392952666305
Nkhata Bay,2,Northern,F,7,3575.8739696177613
Nkhata Bay,2,Northern,F,8,3464.262640738033
Nkhata Bay,2,Northern,F,9,3357.983889145762
Nkhata Bay,2,Northern,F,10,3256.6811291256777
Nkhata Bay,2,Northern,F,11,3160.0464002873186
Nkhata Bay,2,Northern,F,12,3067.1396130176986
Nkhata Bay,2,Northern,F,13,2977.3448465358956
Nkhata Bay,2,Northern,F,14,2890.532433309084
Nkhata Bay,2,Northern,F,15,2805.6164077498483
Nkhata Bay,2,Northern,F,16,2720.9921341394706
Nkhata Bay,2,Northern,F,17,2642.251524831059
Nkhata Bay,2,Northern,F,18,2571.517885674635
Nkhata Bay,2,Northern,F,19,2504.787731594205
Nkhata Bay,2,Northern,F,20,2438.722123619507
Nkhata Bay,2,Northern,F,21,2377.243504618518
Nkhata Bay,2,Northern,F,22,2298.7784388173613
Nkhata Bay,2,Northern,F,23,2193.2614839804414
Nkhata Bay,2,Northern,F,24,2071.9088816971816
Nkhata Bay,2,Northern,F,25,1954.6570151395351
Nkhata Bay,2,Northern,F,26,1835.9463888375992
Nkhata Bay,2,Northern,F,27,1734.3194599854503
Nkhata Bay,2,Northern,F,28,1660.5386338076223
Nkhata Bay,2,Northern,F,29,1605.251639499061
Nkhata Bay,2,Northern,F,30,1548.5707192126233
Nkhata Bay,2,Northern,F,31,1494.7586930899545
Nkhata Bay,2,Northern,F,32,1438.790944234058
Nkhata Bay,2,Northern,F,33,1376.2911934120668
Nkhata Bay,2,Northern,F,34,1310.5497542694327
Nkhata Bay,2,Northern,F,35,1249.2170112428728
Nkhata Bay,2,Northern,F,36,1190.6721201720654
Nkhata Bay,2,Northern,F,37,1135.141999239456
Nkhata Bay,2,Northern,F,38,1083.437070525205
Nkhata Bay,2,Northern,F,39,1034.9089963651836
Nkhata Bay,2,Northern,F,40,988.0017663654836
Nkhata Bay,2,Northern,F,41,943.0395493581693
Nkhata Bay,2,Northern,F,42,899.8764693688116
Nkhata Bay,2,Northern,F,43,858.2369828901561
Nkhata Bay,2,Northern,F,44,818.3155912214412
Nkhata Bay,2,Northern,F,45,780.2743787786991
Nkhata Bay,2,Northern,F,46,743.8053851714686
Nkhata Bay,2,Northern,F,47,709.9945759871653
Nkhata Bay,2,Northern,F,48,679.2795791490756
Nkhata Bay,2,Northern,F,49,650.9796401098648
Nkhata Bay,2,Northern,F,50,624.3329621141818
Nkhata Bay,2,Northern,F,51,599.8906321765357
Nkhata Bay,2,Northern,F,52,574.8161730163645
Nkhata Bay,2,Northern,F,53,547.6994502141882
Nkhata Bay,2,Northern,F,54,520.0640572807091
Nkhata Bay,2,Northern,F,55,493.9522578579322
