,District,Year,BCG,OPV3,HepB1,HepB3,DTP1,DTP3,DTPHepHib1,DTPHepHib3,MCV1,TT2+,PCV3,VitA_6_11months,VitA12_59months,Hib3,Pneumo1,Pneumo2,Pneumo3,Rotavirus1,Rotavirus2,PAB,MCV2,DTP2,OPV1,OPV2,MCV1_MR1,MCV2_MR2,HPV
29,Karonga,2011,0.94,0.92,0.94,0.92,0.94,0.92,0.0,0.0,0.91,0.68,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Likoma,2011,0.94,0.92,0.94,0.92,0.94,0.92,0.0,0.0,0.91,0.68,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Mzimba,2011,0.94,0.92,0.94,0.92,0.94,0.92,0.0,0.0,0.91,0.68,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Nkhata Bay,2011,0.94,0.92,0.94,0.92,0.94,0.92,0.0,0.0,0.91,0.68,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Rumphi,2011,0.94,0.92,0.94,0.92,0.94,0.92,0.0,0.0,0.91,0.68,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Dowa,2011,0.99,0.93,0.95,0.92,0.95,0.92,0.0,0.0,0.9,0.89,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Kasungu,2011,0.99,0.93,0.95,0.92,0.95,0.92,0.0,0.0,0.9,0.89,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Nkhotakota,2011,0.99,0.93,0.95,0.92,0.95,0.92,0.0,0.0,0.9,0.89,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Ntchisi,2011,0.99,0.93,0.95,0.92,0.95,0.92,0.0,0.0,0.9,0.89,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Salima,2011,0.99,0.93,0.95,0.92,0.95,0.92,0.0,0.0,0.9,0.89,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Dedza,2011,0.99,0.93,0.95,0.92,0.95,0.92,0.0,0.0,0.9,0.89,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Lilongwe,2011,0.99,0.93,0.95,0.92,0.95,0.92,0.0,0.0,0.9,0.89,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Mchinji,2011,0.99,0.93,0.95,0.92,0.95,0.92,0.0,0.0,0.9,0.89,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Ntcheu,2011,0.99,0.93,0.95,0.92,0.95,0.92,0.0,0.0,0.9,0.89,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Balaka,2011,1.0,1.04,1.11,1.07,1.11,1.07,0.0,0.0,1.05,0.84,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Machinga,2011,1.0,1.04,1.11,1.07,1.11,1.07,0.0,0.0,1.05,0.84,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Mangochi,2011,1.0,1.04,1.11,1.07,1.11,1.07,0.0,0.0,1.05,0.84,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Mulanje,2011,1.0,1.04,1.11,1.07,1.11,1.07,0.0,0.0,1.05,0.84,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Phalombe,2011,1.0,1.04,1.11,1.07,1.11,1.07,0.0,0.0,1.05,0.84,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Zomba,2011,1.0,1.04,1.11,1.07,1.11,1.07,0.0,0.0,1.05,0.84,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Blantyre,2011,1.0,1.04,1.11,1.07,1.11,1.07,0.0,0.0,1.05,0.84,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Chikwawa,2011,1.0,1.04,1.11,1.07,1.11,1.07,0.0,0.0,1.05,0.84,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Chiradzulu,2011,1.0,1.04,1.11,1.07,1.11,1.07,0.0,0.0,1.05,0.84,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Mwanza,2011,1.0,1.04,1.11,1.07,1.11,1.07,0.0,0.0,1.05,0.84,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Neno,2011,1.0,1.04,1.11,1.07,1.11,1.07,0.0,0.0,1.05,0.84,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Nsanje,2011,1.0,1.04,1.11,1.07,1.11,1.07,0.0,0.0,1.05,0.84,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Thyolo,2011,1.0,1.04,1.11,1.07,1.11,1.07,0.0,0.0,1.05,0.84,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Chitipa,2012,0.91,0.87,0.94,0.92,0.89,0.89,0.0,0.0,0.83,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Karonga,2012,0.83,0.92,0.94,0.92,0.85,0.85,0.0,0.0,0.75,0.71,1.08,0.61,0.45,0.98,1.08,1.08,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
