Year,Sex,Age_Grp,Variant,Count,Period
1999,M,70-74,GBD_Est,4475.79529439504,1995-1999
1999,M,75-79,GBD_Est,4125.091989325772,1995-1999
1999,M,80-84,GBD_Est,2562.9187219478904,1995-1999
1999,M,85-89,GBD_Est,1218.7414105937132,1995-1999
1999,M,90-94,GBD_Est,385.8879152785371,1995-1999
1999,M,95+,GBD_Est,82.46989931121458,1995-1999
2000,F,1-4,GBD_Est,16066.321875705207,2000-2004
2000,F,10-14,GBD_Est,897.9382479811418,2000-2004
2000,F,15-19,GBD_Est,1195.734357911645,2000-2004
2000,F,20-24,GBD_Est,3522.1687300938343,2000-2004
2000,F,25-29,GBD_Est,7261.436378073328,2000-2004
2000,F,30-34,GBD_Est,7446.99094812778,2000-2004
2000,F,35-39,GBD_Est,6400.217769390984,2000-2004
2000,F,40-44,GBD_Est,5235.405927675311,2000-2004
2000,F,45-49,GBD_Est,4177.453152321555,2000-2004
2000,F,5-9,GBD_Est,1948.0461310759877,2000-2004
2000,F,50-54,GBD_Est,3602.504132325844,2000-2004
2000,F,55-59,GBD_Est,2881.074414573473,2000-2004
2000,F,60-64,GBD_Est,3047.865498496627,2000-2004
2000,F,65-69,GBD_Est,3623.1869157365095,2000-2004
2000,F,70-74,GBD_Est,3946.2461358220435,2000-2004
2000,F,75-79,GBD_Est,3694.896722071063,2000-2004
2000,F,80-84,GBD_Est,2572.6024812563874,2000-2004
2000,F,85-89,GBD_Est,1303.0278520390425,2000-2004
2000,F,90-94,GBD_Est,427.33927377386107,2000-2004
2000,F,95+,GBD_Est,105.78041075895905,2000-2004
2000,M,1-4,GBD_Est,17615.771013647965,2000-2004
2000,M,10-14,GBD_Est,1089.36598484475,2000-2004
2000,M,15-19,GBD_Est,1348.6016739546938,2000-2004
2000,M,20-24,GBD_Est,2632.617474073764,2000-2004
2000,M,25-29,GBD_Est,5400.086419352649,2000-2004
2000,M,30-34,GBD_Est,6921.946953416281,2000-2004
2000,M,35-39,GBD_Est,6481.302164208013,2000-2004
2000,M,40-44,GBD_Est,5965.689950062514,2000-2004
2000,M,45-49,GBD_Est,5258.634957915209,2000-2004
2000,M,5-9,GBD_Est,2159.897188253978,2000-2004
2000,M,50-54,GBD_Est,4500.035004726799,2000-2004
2000,M,55-59,GBD_Est,3805.3642963951534,2000-2004
2000,M,60-64,GBD_Est,3901.384959665992,2000-2004
2000,M,65-69,GBD_Est,4229.225669932105,2000-2004
2000,M,70-74,GBD_Est,4503.762195670426,2000-2004
2000,M,75-79,GBD_Est,4123.852277465841,2000-2004
2000,M,80-84,GBD_Est,2570.3722842323505,2000-2004
2000,M,85-89,GBD_Est,1228.8789877575007,2000-2004
2000,M,90-94,GBD_Est,396.25510906215254,2000-2004
2000,M,95+,GBD_Est,84.57131260777432,2000-2004
2001,F,1-4,GBD_Est,15341.059391980662,2000-2004
2001,F,10-14,GBD_Est,942.0791168206363,2000-2004
2001,F,15-19,GBD_Est,1195.1541160164766,2000-2004
2001,F,20-24,GBD_Est,3406.651152580972,2000-2004
2001,F,25-29,GBD_Est,7445.657613567401,2000-2004
2001,F,30-34,GBD_Est,7958.404651038679,2000-2004
2001,F,35-39,GBD_Est,6754.603483861835,2000-2004
2001,F,40-44,GBD_Est,5554.225229951768,2000-2004
2001,F,45-49,GBD_Est,4324.340974645736,2000-2004
2001,F,5-9,GBD_Est,1972.5950608954565,2000-2004
2001,F,50-54,GBD_Est,3685.1189813094174,2000-2004
