,district,age_grp,sex,number
198,Mzuzu City,25-29,M,10187.15983947359
199,Kasungu,25-29,M,28469.7194861398
200,Nkhotakota,25-29,M,12929.137993319375
201,Ntchisi,25-29,M,10633.494545351328
202,Dowa,25-29,M,27089.99071927556
203,Salima,25-29,M,15606.199481128722
204,Lilongwe,25-29,M,55003.4263081627
205,Mchinji,25-29,M,20927.60014610538
206,Dedza,25-29,M,27602.65832883811
207,Ntcheu,25-29,M,21559.282505670035
208,Lilongwe City,25-29,M,48869.853009851235
209,Mangochi,25-29,M,34600.402137886544
210,Machinga,25-29,M,21973.41843636037
211,Zomba,25-29,M,22761.001157054012
212,Chiradzulu,25-29,M,11329.208299824868
213,Blantyre,25-29,M,15072.960524799433
214,Mwanza,25-29,M,4587.388754400567
215,Thyolo,25-29,M,21338.52944878135
216,Mulanje,25-29,M,20642.999201879236
217,Phalombe,25-29,M,13139.542563744324
218,Chikwawa,25-29,M,18995.966947885896
219,Nsanje,25-29,M,9418.034923521232
220,Balaka,25-29,M,12932.263315532906
221,Neno,25-29,M,4451.793536817291
222,Zomba City,25-29,M,4725.257320522221
223,Blantyre City,25-29,M,37787.46037307688
224,Chitipa,30-34,M,6725.418125630515
225,Karonga,30-34,M,10868.831566345596
226,Nkhata Bay,30-34,M,7819.181733238256
227,Rumphi,30-34,M,6840.39858440136
228,Mzimba,30-34,M,25919.694675723047
229,Likoma,30-34,M,542.217939010119
230,Mzuzu City,30-34,M,9135.436060595104
231,Kasungu,30-34,M,26067.292974815915
232,Nkhotakota,30-34,M,11698.211533618094
233,Ntchisi,30-34,M,9603.548738602638
234,Dowa,30-34,M,24256.369075124683
235,Salima,30-34,M,14061.919326178122
236,Lilongwe,30-34,M,49527.75891054072
237,Mchinji,30-34,M,19123.641112061163
238,Dedza,30-34,M,24357.4738450498
239,Ntcheu,30-34,M,19425.67816794217
240,Lilongwe City,30-34,M,43433.55930347977
241,Mangochi,30-34,M,30081.999475888704
242,Machinga,30-34,M,19142.923180472044
243,Zomba,30-34,M,20904.13989907918
244,Chiradzulu,30-34,M,10364.97989492119
245,Blantyre,30-34,M,13580.286192987898
246,Mwanza,30-34,M,3944.0384119008163
247,Thyolo,30-34,M,20352.794999279235
248,Mulanje,30-34,M,20042.295861612292
249,Phalombe,30-34,M,12586.176891372686
250,Chikwawa,30-34,M,16441.269276267787
251,Nsanje,30-34,M,7534.811878275751
252,Balaka,30-34,M,11713.98587067355
253,Neno,30-34,M,4035.8382107295483
254,Zomba City,30-34,M,4341.849361507623
