Variant,Period,Sex,Age_Grp,death_rate
WPP_Estimates,1985-1989,M,65-69,0.046323743
WPP_Estimates,1985-1989,M,70-74,0.071166885
WPP_Estimates,1985-1989,M,75-79,0.1109399
WPP_Estimates,1985-1989,M,80-84,0.1779624
WPP_Estimates,1985-1989,M,85-89,0.28358715
WPP_Estimates,1985-1989,M,90-94,0.43277139
WPP_Estimates,1985-1989,M,95-99,0.57280035
WPP_Estimates,1990-1994,M,0-0,0.14389062
WPP_Estimates,1990-1994,M,1-4,0.024170673
WPP_Estimates,1990-1994,M,5-9,0.0059870276
WPP_Estimates,1990-1994,M,10-14,0.0036561062
WPP_Estimates,1990-1994,M,15-19,0.0045493346
WPP_Estimates,1990-1994,M,20-24,0.0068934751
WPP_Estimates,1990-1994,M,25-29,0.0091536741
WPP_Estimates,1990-1994,M,30-34,0.01179346
WPP_Estimates,1990-1994,M,35-39,0.015530147
WPP_Estimates,1990-1994,M,40-44,0.018415566
WPP_Estimates,1990-1994,M,45-49,0.020944991
WPP_Estimates,1990-1994,M,50-54,0.024265979
WPP_Estimates,1990-1994,M,55-59,0.029034668
WPP_Estimates,1990-1994,M,60-64,0.03816629
WPP_Estimates,1990-1994,M,65-69,0.0529582
WPP_Estimates,1990-1994,M,70-74,0.078758753
WPP_Estimates,1990-1994,M,75-79,0.11909607
WPP_Estimates,1990-1994,M,80-84,0.18934401
WPP_Estimates,1990-1994,M,85-89,0.29959639
WPP_Estimates,1990-1994,M,90-94,0.44302358
WPP_Estimates,1990-1994,M,95-99,0.57002108
WPP_Estimates,1995-1999,M,0-0,0.11643934
WPP_Estimates,1995-1999,M,1-4,0.018899078
WPP_Estimates,1995-1999,M,5-9,0.0055198526
WPP_Estimates,1995-1999,M,10-14,0.0036777215
WPP_Estimates,1995-1999,M,15-19,0.0044943978
WPP_Estimates,1995-1999,M,20-24,0.0070652313
WPP_Estimates,1995-1999,M,25-29,0.010750657
WPP_Estimates,1995-1999,M,30-34,0.015322721
WPP_Estimates,1995-1999,M,35-39,0.022008755
WPP_Estimates,1995-1999,M,40-44,0.02603111
WPP_Estimates,1995-1999,M,45-49,0.029020043
WPP_Estimates,1995-1999,M,50-54,0.031589155
WPP_Estimates,1995-1999,M,55-59,0.036581866
WPP_Estimates,1995-1999,M,60-64,0.045752634
WPP_Estimates,1995-1999,M,65-69,0.06102624
WPP_Estimates,1995-1999,M,70-74,0.087896013
WPP_Estimates,1995-1999,M,75-79,0.12894038
WPP_Estimates,1995-1999,M,80-84,0.20240939
WPP_Estimates,1995-1999,M,85-89,0.31677085
WPP_Estimates,1995-1999,M,90-94,0.45425558
WPP_Estimates,1995-1999,M,95-99,0.5692595
WPP_Estimates,2000-2004,M,0-0,0.09444304
WPP_Estimates,2000-2004,M,1-4,0.015043098
WPP_Estimates,2000-2004,M,5-9,0.0056042918
WPP_Estimates,2000-2004,M,10-14,0.0038641001
WPP_Estimates,2000-2004,M,15-19,0.0047649683
WPP_Estimates,2000-2004,M,20-24,0.0075153422
WPP_Estimates,2000-2004,M,25-29,0.011695039
WPP_Estimates,2000-2004,M,30-34,0.016972817
WPP_Estimates,2000-2004,M,35-39,0.024760232
WPP_Estimates,2000-2004,M,40-44,0.029299158
WPP_Estimates,2000-2004,M,45-49,0.032663632
WPP_Estimates,2000-2004,M,50-54,0.035325924
WPP_Estimates,2000-2004,M,55-59,0.040740048
WPP_Estimates,2000-2004,M,60-64,0.050528063
WPP_Estimates,2000-2004,M,65-69,0.066853827
WPP_Estimates,2000-2004,M,70-74,0.09539408
WPP_Estimates,2000-2004,M,75-79,0.13871883
WPP_Estimates,2000-2004,M,80-84,0.21627383
WPP_Estimates,2000-2004,M,85-89,0.33635677
WPP_Estimates,2000-2004,M,90-94,0.47887069
WPP_Estimates,2000-2004,M,95-99,0.59722086
WPP_Estimates,2005-2009,M,0-0,0.076455058
WPP_Estimates,2005-2009,M,1-4,0.010240623
WPP_Estimates,2005-2009,M,5-9,0.0043002174
WPP_Estimates,2005-2009,M,10-14,0.0029718096
WPP_Estimates,2005-2009,M,15-19,0.0040345794
WPP_Estimates,2005-2009,M,20-24,0.0062589757
WPP_Estimates,2005-2009,M,25-29,0.0088724757
WPP_Estimates,2005-2009,M,30-34,0.012148325
WPP_Estimates,2005-2009,M,35-39,0.016921651
WPP_Estimates,2005-2009,M,40-44,0.020406768
WPP_Estimates,2005-2009,M,45-49,0.023768411
WPP_Estimates,2005-2009,M,50-54,0.027929294
WPP_Estimates,2005-2009,M,55-59,0.033743494
WPP_Estimates,2005-2009,M,60-64,0.044416524
WPP_Estimates,2005-2009,M,65-69,0.061604752
WPP_Estimates,2005-2009,M,70-74,0.090771806
WPP_Estimates,2005-2009,M,75-79,0.13649629
WPP_Estimates,2005-2009,M,80-84,0.21644032
WPP_Estimates,2005-2009,M,85-89,0.34233371
WPP_Estimates,2005-2009,M,90-94,0.50779312
WPP_Estimates,2005-2009,M,95-99,0.65713555
WPP_Estimates,2010-2014,M,0-0,0.059475078
WPP_Estimates,2010-2014,M,1-4,0.0059752525
WPP_Estimates,2010-2014,M,5-9,0.0023357834
WPP_Estimates,2010-2014,M,10-14,0.0016808665
WPP_Estimates,2010-2014,M,15-19,0.0026283341
WPP_Estimates,2010-2014,M,20-24,0.0040441105
WPP_Estimates,2010-2014,M,25-29,0.0052737692
WPP_Estimates,2010-2014,M,30-34,0.0069043551
WPP_Estimates,2010-2014,M,35-39,0.0093101705
WPP_Estimates,2010-2014,M,40-44,0.01155402
WPP_Estimates,2010-2014,M,45-49,0.014278634
WPP_Estimates,2010-2014,M,50-54,0.018565461
WPP_Estimates,2010-2014,M,55-59,0.023770608
WPP_Estimates,2010-2014,M,60-64,0.033587052
WPP_Estimates,2010-2014,M,65-69,0.049289306
WPP_Estimates,2010-2014,M,70-74,0.075337969
WPP_Estimates,2010-2014,M,75-79,0.11786941
WPP_Estimates,2010-2014,M,80-84,0.19104315
WPP_Estimates,2010-2014,M,85-89,0.309047
WPP_Estimates,2010-2014,M,90-94,0.48241962
WPP_Estimates,2010-2014,M,95-99,0.65384939
WPP_Estimates,2015-2019,M,0-0,0.047338518
WPP_Estimates,2015-2019,M,1-4,0.0039428256
WPP_Estimates,2015-2019,M,5-9,0.0014632535
WPP_Estimates,2015-2019,M,10-14,0.0011578145
WPP_Estimates,2015-2019,M,15-19,0.0019720429
WPP_Estimates,2015-2019,M,20-24,0.0030535343
WPP_Estimates,2015-2019,M,25-29,0.0040474268
