Variant,Period,Age_Grp,asfr
WPP_Medium variant,2030-2034,30-34,0.123418
WPP_Medium variant,2035-2039,30-34,0.116756
WPP_Medium variant,2040-2044,30-34,0.111547
WPP_Medium variant,2045-2049,30-34,0.10722799999999999
WPP_Medium variant,2050-2054,30-34,0.10428
WPP_Medium variant,2055-2059,30-34,0.101877
WPP_Medium variant,2060-2064,30-34,0.100485
WPP_Medium variant,2065-2069,30-34,0.099537
WPP_Medium variant,2070-2074,30-34,0.099063
WPP_Medium variant,2075-2079,30-34,0.099074
WPP_Medium variant,2080-2084,30-34,0.099638
WPP_Medium variant,2085-2089,30-34,0.10064000000000001
WPP_Medium variant,2090-2094,30-34,0.102045
WPP_Medium variant,2095-2099,30-34,0.104
WPP_High variant,2020-2024,30-34,0.151371
WPP_High variant,2025-2029,30-34,0.146573
WPP_High variant,2030-2034,30-34,0.14175800000000002
WPP_High variant,2035-2039,30-34,0.135249
WPP_High variant,2040-2044,30-34,0.130261
WPP_High variant,2045-2049,30-34,0.12623600000000001
WPP_High variant,2050-2054,30-34,0.12366500000000001
WPP_High variant,2055-2059,30-34,0.121726
WPP_High variant,2060-2064,30-34,0.120889
WPP_High variant,2065-2069,30-34,0.12059
WPP_High variant,2070-2074,30-34,0.12086
WPP_High variant,2075-2079,30-34,0.12170600000000001
WPP_High variant,2080-2084,30-34,0.123193
WPP_High variant,2085-2089,30-34,0.125197
WPP_High variant,2090-2094,30-34,0.127673
WPP_High variant,2095-2099,30-34,0.13075299999999998
WPP_Estimates,1950-1954,35-39,0.18164599999999997
WPP_Estimates,1955-1959,35-39,0.18297300000000002
WPP_Estimates,1960-1964,35-39,0.185722
WPP_Estimates,1965-1969,35-39,0.191028
WPP_Estimates,1970-1974,35-39,0.196282
WPP_Estimates,1975-1979,35-39,0.201534
WPP_Estimates,1980-1984,35-39,0.201534
WPP_Estimates,1985-1989,35-39,0.19225399999999998
WPP_Estimates,1990-1994,35-39,0.180364
WPP_Estimates,1995-1999,35-39,0.162826
WPP_Estimates,2000-2004,35-39,0.15757400000000002
WPP_Estimates,2005-2009,35-39,0.15984600000000002
WPP_Estimates,2010-2014,35-39,0.123181
WPP_Estimates,2015-2019,35-39,0.104869
WPP_Low variant,2020-2024,35-39,0.08481399999999999
WPP_Low variant,2025-2029,35-39,0.070286
WPP_Low variant,2030-2034,35-39,0.059419
WPP_Low variant,2035-2039,35-39,0.052728000000000004
WPP_Low variant,2040-2044,35-39,0.047493
WPP_Low variant,2045-2049,35-39,0.043247
WPP_Low variant,2050-2054,35-39,0.040070999999999996
WPP_Low variant,2055-2059,35-39,0.037469999999999996
WPP_Low variant,2060-2064,35-39,0.035583
WPP_Low variant,2065-2069,35-39,0.034088
WPP_Low variant,2070-2074,35-39,0.032973999999999996
WPP_Low variant,2075-2079,35-39,0.032222
WPP_Low variant,2080-2084,35-39,0.031838
WPP_Low variant,2085-2089,35-39,0.031775
WPP_Low variant,2090-2094,35-39,0.032015
WPP_Low variant,2095-2099,35-39,0.032633
WPP_Medium variant,2020-2024,35-39,0.090602
WPP_Medium variant,2025-2029,35-39,0.079023
WPP_Medium variant,2030-2034,35-39,0.06979
WPP_Medium variant,2035-2039,35-39,0.062651
WPP_Medium variant,2040-2044,35-39,0.057067
WPP_Medium variant,2045-2049,35-39,0.052565
WPP_Medium variant,2050-2054,35-39,0.049220999999999994
WPP_Medium variant,2055-2059,35-39,0.046537
WPP_Medium variant,2060-2064,35-39,0.044649
WPP_Medium variant,2065-2069,35-39,0.043232999999999994
WPP_Medium variant,2070-2074,35-39,0.042276
WPP_Medium variant,2075-2079,35-39,0.041762
WPP_Medium variant,2080-2084,35-39,0.041695
WPP_Medium variant,2085-2089,35-39,0.042031
WPP_Medium variant,2090-2094,35-39,0.042752000000000005
WPP_Medium variant,2095-2099,35-39,0.043935
WPP_High variant,2020-2024,35-39,0.09639
WPP_High variant,2025-2029,35-39,0.087759
WPP_High variant,2030-2034,35-39,0.080161
WPP_High variant,2035-2039,35-39,0.072575
WPP_High variant,2040-2044,35-39,0.066641
WPP_High variant,2045-2049,35-39,0.061883
WPP_High variant,2050-2054,35-39,0.058371
WPP_High variant,2055-2059,35-39,0.055604
WPP_High variant,2060-2064,35-39,0.053715000000000006
