Variant,Year,Sex,Age_Grp,Count,Period
WPP_Estimates,1985,F,15-19,363795.0,1985-1989
WPP_Estimates,1990,F,15-19,479872.0,1990-1994
WPP_Estimates,1995,F,15-19,509591.0,1995-1999
WPP_Estimates,2000,F,15-19,581088.0,2000-2004
WPP_Estimates,2005,F,15-19,718294.0,2005-2009
WPP_Estimates,2010,F,15-19,817177.0,2010-2014
WPP_Estimates,2015,F,15-19,938584.0,2015-2019
WPP_Estimates,2020,F,15-19,1088192.0,2020-2024
WPP_Low variant,2020,F,15-19,1088192.0,2020-2024
WPP_Low variant,2025,F,15-19,1269709.0,2025-2029
WPP_Low variant,2030,F,15-19,1347248.0,2030-2034
WPP_Low variant,2035,F,15-19,1426603.0,2035-2039
WPP_Low variant,2040,F,15-19,1485778.0,2040-2044
WPP_Low variant,2045,F,15-19,1544397.0,2045-2049
WPP_Low variant,2050,F,15-19,1574874.0,2050-2054
WPP_Low variant,2055,F,15-19,1621445.0,2055-2059
WPP_Low variant,2060,F,15-19,1636084.0,2060-2064
WPP_Low variant,2065,F,15-19,1619108.0,2065-2069
WPP_Low variant,2070,F,15-19,1592871.0,2070-2074
WPP_Low variant,2075,F,15-19,1552000,2075-2079
WPP_Low variant,2080,F,15-19,1506934.0,2080-2084
WPP_Low variant,2085,F,15-19,1447960.0,2085-2089
WPP_Low variant,2090,F,15-19,1377902.0,2090-2094
WPP_Low variant,2095,F,15-19,1300410.0,2095-2099
WPP_Low variant,2100,F,15-19,1220995.0,2100+
WPP_Medium variant,2020,F,15-19,1088192.0,2020-2024
WPP_Medium variant,2025,F,15-19,1269709.0,2025-2029
WPP_Medium variant,2030,F,15-19,1347248.0,2030-2034
WPP_Medium variant,2035,F,15-19,1426603.0,2035-2039
WPP_Medium variant,2040,F,15-19,1587311.0,2040-2044
WPP_Medium variant,2045,F,15-19,1736623.0,2045-2049
WPP_Medium variant,2050,F,15-19,1850101.0,2050-2054
WPP_Medium variant,2055,F,15-19,1941197.0,2055-2059
WPP_Medium variant,2060,F,15-19,2024512.0,2060-2064
WPP_Medium variant,2065,F,15-19,2096047.9999999998,2065-2069
WPP_Medium variant,2070,F,15-19,2165967.0,2070-2074
WPP_Medium variant,2075,F,15-19,2215555.0,2075-2079
WPP_Medium variant,2080,F,15-19,2251770.0,2080-2084
WPP_Medium variant,2085,F,15-19,2265272.0,2085-2089
WPP_Medium variant,2090,F,15-19,2262956.0,2090-2094
WPP_Medium variant,2095,F,15-19,2249998.0,2095-2099
WPP_Medium variant,2100,F,15-19,2229843.0,2100+
WPP_High variant,2020,F,15-19,1088192.0,2020-2024
WPP_High variant,2025,F,15-19,1269709.0,2025-2029
WPP_High variant,2030,F,15-19,1347248.0,2030-2034
WPP_High variant,2035,F,15-19,1426603.0,2035-2039
WPP_High variant,2040,F,15-19,1688844.0,2040-2044
WPP_High variant,2045,F,15-19,1928850.0,2045-2049
WPP_High variant,2050,F,15-19,2125326.0,2050-2054
WPP_High variant,2055,F,15-19,2265446.0,2055-2059
WPP_High variant,2060,F,15-19,2432469.0,2060-2064
WPP_High variant,2065,F,15-19,2618245.0,2065-2069
WPP_High variant,2070,F,15-19,2817382.0,2070-2074
WPP_High variant,2075,F,15-19,2995211.0,2075-2079
WPP_High variant,2080,F,15-19,3156232.0,2080-2084
WPP_High variant,2085,F,15-19,3294257.0,2085-2089
WPP_High variant,2090,F,15-19,3422370.0,2090-2094
WPP_High variant,2095,F,15-19,3546836.0,2095-2099
WPP_High variant,2100,F,15-19,3666064.0,2100+
WPP_Estimates,1950,M,20-24,121176.0,1950-1954
WPP_Estimates,1955,M,20-24,139240.0,1955-1959
WPP_Estimates,1960,M,20-24,157864.0,1960-1964
WPP_Estimates,1965,M,20-24,181666.0,1965-1969
WPP_Estimates,1970,M,20-24,208792.0,1970-1974
WPP_Estimates,1975,M,20-24,220513.0,1975-1979
WPP_Estimates,1980,M,20-24,260634.0,1980-1984
WPP_Estimates,1985,M,20-24,306708.0,1985-1989
WPP_Estimates,1990,M,20-24,399306.0,1990-1994
WPP_Estimates,1995,M,20-24,426951.0,1995-1999
WPP_Estimates,2000,M,20-24,487852.0,2000-2004
WPP_Estimates,2005,M,20-24,550760.0,2005-2009
WPP_Estimates,2010,M,20-24,677573.0,2010-2014
WPP_Estimates,2015,M,20-24,780554.0,2015-2019
WPP_Estimates,2020,M,20-24,913937.0,2020-2024
WPP_Low variant,2020,M,20-24,913937.0,2020-2024
WPP_Low variant,2025,M,20-24,1074166.0,2025-2029
WPP_Low variant,2030,M,20-24,1264389.0,2030-2034
WPP_Low variant,2035,M,20-24,1353622.0,2035-2039
WPP_Low variant,2040,M,20-24,1435191.0,2040-2044
WPP_Low variant,2045,M,20-24,1495773.0,2045-2049
WPP_Low variant,2050,M,20-24,1555562.0,2050-2054
WPP_Low variant,2055,M,20-24,1587419.0,2055-2059
WPP_Low variant,2060,M,20-24,1636076.0,2060-2064
WPP_Low variant,2065,M,20-24,1653078.0,2065-2069
WPP_Low variant,2070,M,20-24,1638608.0,2070-2074
WPP_Low variant,2075,M,20-24,1614681.0,2075-2079
WPP_Low variant,2080,M,20-24,1575765.0,2080-2084
WPP_Low variant,2085,M,20-24,1532266.0,2085-2089
WPP_Low variant,2090,M,20-24,1474166.0,2090-2094
WPP_Low variant,2095,M,20-24,1404385.0,2095-2099
WPP_Low variant,2100,M,20-24,1326587.0,2100+
WPP_Medium variant,2020,M,20-24,913937.0,2020-2024
WPP_Medium variant,2025,M,20-24,1074166.0,2025-2029
WPP_Medium variant,2030,M,20-24,1264389.0,2030-2034
WPP_Medium variant,2035,M,20-24,1353622.0,2035-2039
WPP_Medium variant,2040,M,20-24,1435190.0,2040-2044
WPP_Medium variant,2045,M,20-24,1598195.0,2045-2049
WPP_Medium variant,2050,M,20-24,1749550.0,2050-2054
WPP_Medium variant,2055,M,20-24,1865360.0,2055-2059
WPP_Medium variant,2060,M,20-24,1959304.0,2060-2064
WPP_Medium variant,2065,M,20-24,2046251.0,2065-2069
WPP_Medium variant,2070,M,20-24,2122176.0,2070-2074
WPP_Medium variant,2075,M,20-24,2196707.0,2075-2079
WPP_Medium variant,2080,M,20-24,2250762.0,2080-2084
WPP_Medium variant,2085,M,20-24,2291099.0,2085-2089
WPP_Medium variant,2090,M,20-24,2307959.0,2090-2094
WPP_Medium variant,2095,M,20-24,2308363.0,2095-2099
WPP_Medium variant,2100,M,20-24,2297471.0,2100+
WPP_High variant,2020,M,20-24,913937.0,2020-2024
WPP_High variant,2025,M,20-24,1074166.0,2025-2029
WPP_High variant,2030,M,20-24,1264389.0,2030-2034
WPP_High variant,2035,M,20-24,1353622.0,2035-2039
WPP_High variant,2040,M,20-24,1435189.0,2040-2044
WPP_High variant,2045,M,20-24,1700616.0,2045-2049
WPP_High variant,2050,M,20-24,1943540.0,2050-2054
WPP_High variant,2055,M,20-24,2143304.0,2055-2059
WPP_High variant,2060,M,20-24,2287079.0,2060-2064
WPP_High variant,2065,M,20-24,2459194.0,2065-2069
WPP_High variant,2070,M,20-24,2651626.0,2070-2074
WPP_High variant,2075,M,20-24,2858267.0,2075-2079
WPP_High variant,2080,M,20-24,3043859.0,2080-2084
WPP_High variant,2085,M,20-24,3212560.0,2085-2089
WPP_High variant,2090,M,20-24,3357687.0,2090-2094
WPP_High variant,2095,M,20-24,3492574.0,2095-2099
WPP_High variant,2100,M,20-24,3623393.0,2100+
WPP_Estimates,1950,F,20-24,131119.0,1950-1954
WPP_Estimates,1955,F,20-24,146822.0,1955-1959
WPP_Estimates,1960,F,20-24,165916.0,1960-1964
WPP_Estimates,1965,F,20-24,185731.0,1965-1969
WPP_Estimates,1970,F,20-24,208353.0,1970-1974
WPP_Estimates,1975,F,20-24,210270.0,1975-1979
WPP_Estimates,1980,F,20-24,249868.0,1980-1984
WPP_Estimates,1985,F,20-24,297127.0,1985-1989
WPP_Estimates,1990,F,20-24,405918.0,1990-1994
WPP_Estimates,1995,F,20-24,432870.0,1995-1999
WPP_Estimates,2000,F,20-24,495019.0,2000-2004
WPP_Estimates,2005,F,20-24,564717.0,2005-2009
WPP_Estimates,2010,F,20-24,702098.0,2010-2014
WPP_Estimates,2015,F,20-24,801984.0,2015-2019
WPP_Estimates,2020,F,20-24,924780.0,2020-2024
WPP_Low variant,2020,F,20-24,924780.0,2020-2024
WPP_Low variant,2025,F,20-24,1079579.0,2025-2029
WPP_Low variant,2030,F,20-24,1261636.0,2030-2034
WPP_Low variant,2035,F,20-24,1340065.0,2035-2039
WPP_Low variant,2040,F,20-24,1420038.0,2040-2044
WPP_Low variant,2045,F,20-24,1479686.0,2045-2049
WPP_Low variant,2050,F,20-24,1538603.0,2050-2054
WPP_Low variant,2055,F,20-24,1569333.0,2055-2059
WPP_Low variant,2060,F,20-24,1616058.0,2060-2064
WPP_Low variant,2065,F,20-24,1630863.0,2065-2069
WPP_Low variant,2070,F,20-24,1614098.0,2070-2074
WPP_Low variant,2075,F,20-24,1588069.0,2075-2079
WPP_Low variant,2080,F,20-24,1547413.0,2080-2084
WPP_Low variant,2085,F,20-24,1502560.0,2085-2089
WPP_Low variant,2090,F,20-24,1443798.0,2090-2094
WPP_Low variant,2095,F,20-24,1373947.0,2095-2099
WPP_Low variant,2100,F,20-24,1296661.0,2100+
WPP_Medium variant,2020,F,20-24,924780.0,2020-2024
WPP_Medium variant,2025,F,20-24,1079579.0,2025-2029
WPP_Medium variant,2030,F,20-24,1261636.0,2030-2034
WPP_Medium variant,2035,F,20-24,1340065.0,2035-2039
WPP_Medium variant,2040,F,20-24,1420037.0,2040-2044
WPP_Medium variant,2045,F,20-24,1580933.0,2045-2049
WPP_Medium variant,2050,F,20-24,1730344.0,2050-2054
WPP_Medium variant,2055,F,20-24,1843924.0,2055-2059
WPP_Medium variant,2060,F,20-24,1935121.0,2060-2064
WPP_Medium variant,2065,F,20-24,2018500.0,2065-2069
WPP_Medium variant,2070,F,20-24,2090121.9999999998,2070-2074
WPP_Medium variant,2075,F,20-24,2160123.0,2075-2079
WPP_Medium variant,2080,F,20-24,2209820.0,2080-2084
WPP_Medium variant,2085,F,20-24,2246175.0,2085-2089
WPP_Medium variant,2090,F,20-24,2259837.0,2090-2094
WPP_Medium variant,2095,F,20-24,2257681.0,2095-2099
WPP_Medium variant,2100,F,20-24,2244901.0,2100+
WPP_High variant,2020,F,20-24,924780.0,2020-2024
WPP_High variant,2025,F,20-24,1079579.0,2025-2029
WPP_High variant,2030,F,20-24,1261636.0,2030-2034
WPP_High variant,2035,F,20-24,1340066.0,2035-2039
WPP_High variant,2040,F,20-24,1420037.0,2040-2044
WPP_High variant,2045,F,20-24,1682180.0,2045-2049
WPP_High variant,2050,F,20-24,1922089.0,2050-2054
WPP_High variant,2055,F,20-24,2118515.0,2055-2059
WPP_High variant,2060,F,20-24,2258673.0,2060-2064
WPP_High variant,2065,F,20-24,2425631.0,2065-2069
WPP_High variant,2070,F,20-24,2611316.0,2070-2074
WPP_High variant,2075,F,20-24,2810351.0,2075-2079
WPP_High variant,2080,F,20-24,2988125.0,2080-2084
WPP_High variant,2085,F,20-24,3149153.0,2085-2089
WPP_High variant,2090,F,20-24,3287217.0,2090-2094
WPP_High variant,2095,F,20-24,3415368.0,2095-2099
WPP_High variant,2100,F,20-24,3539898.0,2100+
WPP_Estimates,1950,M,25-29,100878.0,1950-1954
WPP_Estimates,1955,M,25-29,114789.0,1955-1959
WPP_Estimates,1960,M,25-29,132203.0,1960-1964
WPP_Estimates,1965,M,25-29,150289.0,1965-1969
WPP_Estimates,1970,M,25-29,173342.0,1970-1974
WPP_Estimates,1975,M,25-29,198281.0,1975-1979
WPP_Estimates,1980,M,25-29,213874.0,1980-1984
WPP_Estimates,1985,M,25-29,251259.0,1985-1989
WPP_Estimates,1990,M,25-29,338398.0,1990-1994
WPP_Estimates,1995,M,25-29,351708.0,1995-1999
WPP_Estimates,2000,M,25-29,403381.0,2000-2004
WPP_Estimates,2005,M,25-29,460096.0,2005-2009
WPP_Estimates,2010,M,25-29,525246.0,2010-2014
WPP_Estimates,2015,M,25-29,651813.0,2015-2019
WPP_Estimates,2020,M,25-29,756656.0,2020-2024
WPP_Low variant,2020,M,25-29,756656.0,2020-2024
WPP_Low variant,2025,M,25-29,897136.0,2025-2029
WPP_Low variant,2030,M,25-29,1057867.0,2030-2034
WPP_Low variant,2035,M,25-29,1247895.0,2035-2039
WPP_Low variant,2040,M,25-29,1337734.0,2040-2044
WPP_Low variant,2045,M,25-29,1419712.0,2045-2049
WPP_Low variant,2050,M,25-29,1480757.0,2050-2054
WPP_Low variant,2055,M,25-29,1540892.0,2055-2059
WPP_Low variant,2060,M,25-29,1573232.0,2060-2064
WPP_Low variant,2065,M,25-29,1622263.0,2065-2069
WPP_Low variant,2070,M,25-29,1639851.0,2070-2074
WPP_Low variant,2075,M,25-29,1626106.0,2075-2079
WPP_Low variant,2080,M,25-29,1602957.0,2080-2084
WPP_Low variant,2085,M,25-29,1564804.0,2085-2089
WPP_Low variant,2090,M,25-29,1522065.0,2090-2094
WPP_Low variant,2095,M,25-29,1464706.0,2095-2099
WPP_Low variant,2100,M,25-29,1395632.0,2100+
WPP_Medium variant,2020,M,25-29,756656.0,2020-2024
WPP_Medium variant,2025,M,25-29,897136.0,2025-2029
WPP_Medium variant,2030,M,25-29,1057867.0,2030-2034
WPP_Medium variant,2035,M,25-29,1247895.0,2035-2039
WPP_Medium variant,2040,M,25-29,1337733.0,2040-2044
WPP_Medium variant,2045,M,25-29,1419711.0,2045-2049
WPP_Medium variant,2050,M,25-29,1582386.0,2050-2054
WPP_Medium variant,2055,M,25-29,1733478.0,2055-2059
WPP_Medium variant,2060,M,25-29,1849292.0,2060-2064
WPP_Medium variant,2065,M,25-29,1943441.0,2065-2069
WPP_Medium variant,2070,M,25-29,2030696.0,2070-2074
WPP_Medium variant,2075,M,25-29,2106998.0,2075-2079
WPP_Medium variant,2080,M,25-29,2181993.0,2080-2084
WPP_Medium variant,2085,M,25-29,2236584.0,2085-2089
WPP_Medium variant,2090,M,25-29,2277553.0,2090-2094
WPP_Medium variant,2095,M,25-29,2295097.0,2095-2099
WPP_Medium variant,2100,M,25-29,2296193.0,2100+
WPP_High variant,2020,M,25-29,756656.0,2020-2024
WPP_High variant,2025,M,25-29,897136.0,2025-2029
WPP_High variant,2030,M,25-29,1057867.0,2030-2034
WPP_High variant,2035,M,25-29,1247895.0,2035-2039
WPP_High variant,2040,M,25-29,1337732.0,2040-2044
WPP_High variant,2045,M,25-29,1419712.0,2045-2049
WPP_High variant,2050,M,25-29,1684015.0,2050-2054
WPP_High variant,2055,M,25-29,1926069.0,2055-2059
WPP_High variant,2060,M,25-29,2125354.0,2060-2064
WPP_High variant,2065,M,25-29,2269138.0,2065-2069
WPP_High variant,2070,M,25-29,2441194.0,2070-2074
WPP_High variant,2075,M,25-29,2633520.0,2075-2079
WPP_High variant,2080,M,25-29,2840161.0,2080-2084
WPP_High variant,2085,M,25-29,3025899.0,2085-2089
WPP_High variant,2090,M,25-29,3194948.0,2090-2094
WPP_High variant,2095,M,25-29,3340542.0,2095-2099
WPP_High variant,2100,M,25-29,3475928.0,2100+
WPP_Estimates,1950,F,25-29,110828.0,1950-1954
WPP_Estimates,1955,F,25-29,125105.0,1955-1959
WPP_Estimates,1960,F,25-29,140420.0,1960-1964
WPP_Estimates,1965,F,25-29,159125.0,1965-1969
WPP_Estimates,1970,F,25-29,178538.0,1970-1974
WPP_Estimates,1975,F,25-29,200009.0,1975-1979
WPP_Estimates,1980,F,25-29,204758.0,1980-1984
WPP_Estimates,1985,F,25-29,242779.0,1985-1989
WPP_Estimates,1990,F,25-29,347066.0,1990-1994
WPP_Estimates,1995,F,25-29,363433.0,1995-1999
WPP_Estimates,2000,F,25-29,411776.0,2000-2004
WPP_Estimates,2005,F,25-29,468747.0,2005-2009
WPP_Estimates,2010,F,25-29,542354.0,2010-2014
WPP_Estimates,2015,F,25-29,680437.0,2015-2019
WPP_Estimates,2020,F,25-29,782145.0,2020-2024
WPP_Low variant,2020,F,25-29,782145.0,2020-2024
WPP_Low variant,2025,F,25-29,913529.0,2025-2029
WPP_Low variant,2030,F,25-29,1069012.0,2030-2034
WPP_Low variant,2035,F,25-29,1251507.0,2035-2039
WPP_Low variant,2040,F,25-29,1330816.0,2040-2044
WPP_Low variant,2045,F,25-29,1411367.0,2045-2049
WPP_Low variant,2050,F,25-29,1471459.0,2050-2054
WPP_Low variant,2055,F,25-29,1530680.0,2055-2059
WPP_Low variant,2060,F,25-29,1561689.0,2060-2064
WPP_Low variant,2065,F,25-29,1608612.0,2065-2069
WPP_Low variant,2070,F,25-29,1623678.0,2070-2074
WPP_Low variant,2075,F,25-29,1607254.0,2075-2079
WPP_Low variant,2080,F,25-29,1581568.0,2080-2084
WPP_Low variant,2085,F,25-29,1541251.0,2085-2089
WPP_Low variant,2090,F,25-29,1496735.0,2090-2094
WPP_Low variant,2095,F,25-29,1438297.0,2095-2099
WPP_Low variant,2100,F,25-29,1368776.0,2100+
WPP_Medium variant,2020,F,25-29,782145.0,2020-2024
WPP_Medium variant,2025,F,25-29,913529.0,2025-2029
WPP_Medium variant,2030,F,25-29,1069012.0,2030-2034
WPP_Medium variant,2035,F,25-29,1251507.0,2035-2039
WPP_Medium variant,2040,F,25-29,1330817.0,2040-2044
WPP_Medium variant,2045,F,25-29,1411367.0,2045-2049
WPP_Medium variant,2050,F,25-29,1572302.0,2050-2054
WPP_Medium variant,2055,F,25-29,1721722.0,2055-2059
WPP_Medium variant,2060,F,25-29,1835348.0,2060-2064
WPP_Medium variant,2065,F,25-29,1926663.0,2065-2069
WPP_Medium variant,2070,F,25-29,2010159.0,2070-2074
WPP_Medium variant,2075,F,25-29,2081943.0000000002,2075-2079
WPP_Medium variant,2080,F,25-29,2152117.0,2080-2084
WPP_Medium variant,2085,F,25-29,2202015.0,2085-2089
WPP_Medium variant,2090,F,25-29,2238615.0,2090-2094
WPP_Medium variant,2095,F,25-29,2252539.0,2095-2099
WPP_Medium variant,2100,F,25-29,2250682.0,2100+
WPP_High variant,2020,F,25-29,782145.0,2020-2024
WPP_High variant,2025,F,25-29,913529.0,2025-2029
WPP_High variant,2030,F,25-29,1069012.0,2030-2034
WPP_High variant,2035,F,25-29,1251507.0,2035-2039
WPP_High variant,2040,F,25-29,1330815.0,2040-2044
WPP_High variant,2045,F,25-29,1411367.0,2045-2049
WPP_High variant,2050,F,25-29,1673146.0,2050-2054
WPP_High variant,2055,F,25-29,1912767.0,2055-2059
WPP_High variant,2060,F,25-29,2109010.0,2060-2064
WPP_High variant,2065,F,25-29,2249189.0,2065-2069
WPP_High variant,2070,F,25-29,2416077.0,2070-2074
WPP_High variant,2075,F,25-29,2601681.0,2075-2079
WPP_High variant,2080,F,25-29,2800635.0,2080-2084
WPP_High variant,2085,F,25-29,2978390.0,2085-2089
WPP_High variant,2090,F,25-29,3139490.0,2090-2094
WPP_High variant,2095,F,25-29,3277658.0,2095-2099
WPP_High variant,2100,F,25-29,3405974.0,2100+
WPP_Estimates,1950,M,30-34,93228.0,1950-1954
WPP_Estimates,1955,M,30-34,95467.0,1955-1959
WPP_Estimates,1960,M,30-34,108868.0,1960-1964
WPP_Estimates,1965,M,30-34,125709.0,1965-1969
WPP_Estimates,1970,M,30-34,143220.0,1970-1974
WPP_Estimates,1975,M,30-34,164326.0,1975-1979
WPP_Estimates,1980,M,30-34,191946.0,1980-1984
WPP_Estimates,1985,M,30-34,205753.0,1985-1989
WPP_Estimates,1990,M,30-34,291364.0,1990-1994
WPP_Estimates,1995,M,30-34,290286.0,1995-1999
WPP_Estimates,2000,M,30-34,325306.0,2000-2004
WPP_Estimates,2005,M,30-34,371356.0,2005-2009
WPP_Estimates,2010,M,30-34,432300.0,2010-2014
WPP_Estimates,2015,M,30-34,502716.0,2015-2019
WPP_Estimates,2020,M,30-34,629760.0,2020-2024
WPP_Low variant,2020,M,30-34,629760.0,2020-2024
WPP_Low variant,2025,M,30-34,739085.0,2025-2029
WPP_Low variant,2030,M,30-34,879732.0,2030-2034
WPP_Low variant,2035,M,30-34,1040219.0,2035-2039
WPP_Low variant,2040,M,30-34,1229539.0,2040-2044
WPP_Low variant,2045,M,30-34,1319792.0,2045-2049
WPP_Low variant,2050,M,30-34,1402171.0,2050-2054
WPP_Low variant,2055,M,30-34,1463699.0,2055-2059
WPP_Low variant,2060,M,30-34,1524245.0,2060-2064
WPP_Low variant,2065,M,30-34,1557259.0,2065-2069
WPP_Low variant,2070,M,30-34,1606824.0,2070-2074
WPP_Low variant,2075,M,30-34,1625209.0,2075-2079
WPP_Low variant,2080,M,30-34,1612471.0,2080-2084
WPP_Low variant,2085,M,30-34,1590307.0,2085-2089
WPP_Low variant,2090,M,30-34,1553168.0,2090-2094
WPP_Low variant,2095,M,30-34,1511395.0,2095-2099
WPP_Low variant,2100,M,30-34,1454940.0,2100+
WPP_Medium variant,2020,M,30-34,629760.0,2020-2024
WPP_Medium variant,2025,M,30-34,739085.0,2025-2029
WPP_Medium variant,2030,M,30-34,879732.0,2030-2034
WPP_Medium variant,2035,M,30-34,1040219.0,2035-2039
WPP_Medium variant,2040,M,30-34,1229539.0,2040-2044
WPP_Medium variant,2045,M,30-34,1319793.0,2045-2049
WPP_Medium variant,2050,M,30-34,1402171.0,2050-2054
WPP_Medium variant,2055,M,30-34,1564361.0,2055-2059
WPP_Medium variant,2060,M,30-34,1715122.0,2060-2064
WPP_Medium variant,2065,M,30-34,1831035.0,2065-2069
WPP_Medium variant,2070,M,30-34,1925532.0,2070-2074
WPP_Medium variant,2075,M,30-34,2013273.0,2075-2079
WPP_Medium variant,2080,M,30-34,2090210.0,2080-2084
WPP_Medium variant,2085,M,30-34,2165847.0,2085-2089
WPP_Medium variant,2090,M,30-34,2221224.0,2090-2094
WPP_Medium variant,2095,M,30-34,2263060.0,2095-2099
WPP_Medium variant,2100,M,30-34,2281479.0,2100+
WPP_High variant,2020,M,30-34,629760.0,2020-2024
WPP_High variant,2025,M,30-34,739085.0,2025-2029
WPP_High variant,2030,M,30-34,879732.0,2030-2034
WPP_High variant,2035,M,30-34,1040219.0,2035-2039
WPP_High variant,2040,M,30-34,1229539.0,2040-2044
WPP_High variant,2045,M,30-34,1319792.0,2045-2049
WPP_High variant,2050,M,30-34,1402171.0,2050-2054
WPP_High variant,2055,M,30-34,1665023.0,2055-2059
WPP_High variant,2060,M,30-34,1906002.0,2060-2064
WPP_High variant,2065,M,30-34,2104814.0,2065-2069
WPP_High variant,2070,M,30-34,2248725.0,2070-2074
WPP_High variant,2075,M,30-34,2420847.0,2075-2079
WPP_High variant,2080,M,30-34,2613278.0,2080-2084
WPP_High variant,2085,M,30-34,2820039.0,2085-2089
WPP_High variant,2090,M,30-34,3006164.0,2090-2094
WPP_High variant,2095,M,30-34,3175814.0,2095-2099
WPP_High variant,2100,M,30-34,3322073.0,2100+
WPP_Estimates,1950,F,30-34,100219.0,1950-1954
WPP_Estimates,1955,F,30-34,105607.0,1955-1959
WPP_Estimates,1960,F,30-34,119477.0,1960-1964
WPP_Estimates,1965,F,30-34,134457.0,1965-1969
WPP_Estimates,1970,F,30-34,152698.0,1970-1974
WPP_Estimates,1975,F,30-34,171096.0,1975-1979
WPP_Estimates,1980,F,30-34,194251.0,1980-1984
WPP_Estimates,1985,F,30-34,198501.0,1985-1989
WPP_Estimates,1990,F,30-34,295554.0,1990-1994
WPP_Estimates,1995,F,30-34,296733.0,1995-1999
WPP_Estimates,2000,F,30-34,338314.0,2000-2004
WPP_Estimates,2005,F,30-34,378228.0,2005-2009
WPP_Estimates,2010,F,30-34,442298.0,2010-2014
WPP_Estimates,2015,F,30-34,523639.0,2015-2019
WPP_Estimates,2020,F,30-34,662669.0,2020-2024
WPP_Low variant,2020,F,30-34,662669.0,2020-2024
WPP_Low variant,2025,F,30-34,769899.0,2025-2029
WPP_Low variant,2030,F,30-34,901969.0,2030-2034
WPP_Low variant,2035,F,30-34,1057891.0,2035-2039
WPP_Low variant,2040,F,30-34,1240530.0,2040-2044
WPP_Low variant,2045,F,30-34,1320556.0,2045-2049
WPP_Low variant,2050,F,30-34,1401575.0,2050-2054
WPP_Low variant,2055,F,30-34,1462054.0,2055-2059
WPP_Low variant,2060,F,30-34,1521554.0,2060-2064
WPP_Low variant,2065,F,30-34,1552917.0,2065-2069
WPP_Low variant,2070,F,30-34,1600100.0,2070-2074
WPP_Low variant,2075,F,30-34,1615544.0,2075-2079
WPP_Low variant,2080,F,30-34,1599600.0,2080-2084
WPP_Low variant,2085,F,30-34,1574385.0,2085-2089
WPP_Low variant,2090,F,30-34,1534554.0,2090-2094
WPP_Low variant,2095,F,30-34,1490476.0,2095-2099
WPP_Low variant,2100,F,30-34,1432481.0,2100+
WPP_Medium variant,2020,F,30-34,662669.0,2020-2024
WPP_Medium variant,2025,F,30-34,769899.0,2025-2029
WPP_Medium variant,2030,F,30-34,901969.0,2030-2034
WPP_Medium variant,2035,F,30-34,1057891.0,2035-2039
WPP_Medium variant,2040,F,30-34,1240530.0,2040-2044
WPP_Medium variant,2045,F,30-34,1320556.0,2045-2049
WPP_Medium variant,2050,F,30-34,1401577.0,2050-2054
WPP_Medium variant,2055,F,30-34,1562383.0,2055-2059
WPP_Medium variant,2060,F,30-34,1711700.0,2060-2064
WPP_Medium variant,2065,F,30-34,1825379.0,2065-2069
WPP_Medium variant,2070,F,30-34,1916851.0,2070-2074
WPP_Medium variant,2075,F,30-34,2000548.0,2075-2079
WPP_Medium variant,2080,F,30-34,2072601.0,2080-2084
WPP_Medium variant,2085,F,30-34,2143039.0,2085-2089
WPP_Medium variant,2090,F,30-34,2193278.0,2090-2094
WPP_Medium variant,2095,F,30-34,2230214.0,2095-2099
WPP_Medium variant,2100,F,30-34,2244524.0,2100+
WPP_High variant,2020,F,30-34,662669.0,2020-2024
WPP_High variant,2025,F,30-34,769899.0,2025-2029
WPP_High variant,2030,F,30-34,901969.0,2030-2034
WPP_High variant,2035,F,30-34,1057891.0,2035-2039
WPP_High variant,2040,F,30-34,1240530.0,2040-2044
WPP_High variant,2045,F,30-34,1320556.0,2045-2049
WPP_High variant,2050,F,30-34,1401575.0,2050-2054
WPP_High variant,2055,F,30-34,1662715.0,2055-2059
WPP_High variant,2060,F,30-34,1901847.0,2060-2064
WPP_High variant,2065,F,30-34,2097840.0,2065-2069
WPP_High variant,2070,F,30-34,2238058.0,2070-2074
WPP_High variant,2075,F,30-34,2404917.0,2075-2079
WPP_High variant,2080,F,30-34,2590487.0,2080-2084
WPP_High variant,2085,F,30-34,2789404.0,2085-2089
WPP_High variant,2090,F,30-34,2967253.0,2090-2094
WPP_High variant,2095,F,30-34,3128484.0,2095-2099
WPP_High variant,2100,F,30-34,3266877.0,2100+
WPP_Estimates,1950,M,35-39,68443.0,1950-1954
WPP_Estimates,1955,M,35-39,87918.0,1955-1959
WPP_Estimates,1960,M,35-39,90221.0,1960-1964
WPP_Estimates,1965,M,35-39,103146.0,1965-1969
WPP_Estimates,1970,M,35-39,119357.0,1970-1974
WPP_Estimates,1975,M,35-39,135415.0,1975-1979
WPP_Estimates,1980,M,35-39,158322.0,1980-1984
WPP_Estimates,1985,M,35-39,183865.0,1985-1989
WPP_Estimates,1990,M,35-39,240653.0,1990-1994
WPP_Estimates,1995,M,35-39,241111.0,1995-1999
WPP_Estimates,2000,M,35-39,261319.00000000003,2000-2004
WPP_Estimates,2005,M,35-39,290011.0,2005-2009
WPP_Estimates,2010,M,35-39,342212.0,2010-2014
WPP_Estimates,2015,M,35-39,411957.0,2015-2019
WPP_Estimates,2020,M,35-39,483574.0,2020-2024
WPP_Low variant,2020,M,35-39,483574.0,2020-2024
