Variant,Period,Sex,Age_Grp,Count
WPP_Medium variant,2085-2089,M,0-4,21984.0
WPP_Medium variant,2090-2094,M,0-4,20408.0
WPP_Medium variant,2095-2099,M,0-4,19051.0
WPP_High variant,2020-2024,M,0-4,85627.0
WPP_High variant,2025-2029,M,0-4,80099.0
WPP_High variant,2030-2034,M,0-4,63009.0
WPP_High variant,2035-2039,M,0-4,55069.0
WPP_High variant,2040-2044,M,0-4,48900.0
WPP_High variant,2045-2049,M,0-4,43653.0
WPP_High variant,2050-2054,M,0-4,39532.0
WPP_High variant,2055-2059,M,0-4,36132.0
WPP_High variant,2060-2064,M,0-4,32932.0
WPP_High variant,2065-2069,M,0-4,30209.0
WPP_High variant,2070-2074,M,0-4,27772.0
WPP_High variant,2075-2079,M,0-4,25519.0
WPP_High variant,2080-2084,M,0-4,23706.0
WPP_High variant,2085-2089,M,0-4,21984.0
WPP_High variant,2090-2094,M,0-4,20408.0
WPP_High variant,2095-2099,M,0-4,19051.0
WPP_Estimates,1950-1954,F,0-4,132225.0
WPP_Estimates,1955-1959,F,0-4,138403.0
WPP_Estimates,1960-1964,F,0-4,152296.0
WPP_Estimates,1965-1969,F,0-4,167527.0
WPP_Estimates,1970-1974,F,0-4,176182.0
WPP_Estimates,1975-1979,F,0-4,187650.0
WPP_Estimates,1980-1984,F,0-4,199213.0
WPP_Estimates,1985-1989,F,0-4,223121.0
WPP_Estimates,1990-1994,F,0-4,210219.0
WPP_Estimates,1995-1999,F,0-4,179967.0
WPP_Estimates,2000-2004,F,0-4,161560.0
WPP_Estimates,2005-2009,F,0-4,131021.99999999999
WPP_Estimates,2010-2014,F,0-4,97793.0
WPP_Estimates,2015-2019,F,0-4,74617.0
WPP_Low variant,2020-2024,F,0-4,59532.0
WPP_Low variant,2025-2029,F,0-4,46438.0
WPP_Low variant,2030-2034,F,0-4,41549.0
WPP_Low variant,2035-2039,F,0-4,33369.0
WPP_Low variant,2040-2044,F,0-4,27635.0
WPP_Low variant,2045-2049,F,0-4,23969.0
WPP_Low variant,2050-2054,F,0-4,21669.0
WPP_Low variant,2055-2059,F,0-4,20194.0
WPP_Low variant,2060-2064,F,0-4,19205.0
WPP_Low variant,2065-2069,F,0-4,18447.0
WPP_Low variant,2070-2074,F,0-4,17840.0
WPP_Low variant,2075-2079,F,0-4,17244.0
WPP_Low variant,2080-2084,F,0-4,16694.0
WPP_Low variant,2085-2089,F,0-4,16157.0
WPP_Low variant,2090-2094,F,0-4,15620.0
WPP_Low variant,2095-2099,F,0-4,15013.0
WPP_Medium variant,2020-2024,F,0-4,62743.0
WPP_Medium variant,2025-2029,F,0-4,51862.0
WPP_Medium variant,2030-2034,F,0-4,41549.0
WPP_Medium variant,2035-2039,F,0-4,33369.0
WPP_Medium variant,2040-2044,F,0-4,27635.0
WPP_Medium variant,2045-2049,F,0-4,23969.0
WPP_Medium variant,2050-2054,F,0-4,21669.0
WPP_Medium variant,2055-2059,F,0-4,20194.0
WPP_Medium variant,2060-2064,F,0-4,19205.0
WPP_Medium variant,2065-2069,F,0-4,18447.0
WPP_Medium variant,2070-2074,F,0-4,17840.0
WPP_Medium variant,2075-2079,F,0-4,17244.0
WPP_Medium variant,2080-2084,F,0-4,16694.0
WPP_Medium variant,2085-2089,F,0-4,16157.0
WPP_Medium variant,2090-2094,F,0-4,15620.0
WPP_Medium variant,2095-2099,F,0-4,15013.0
WPP_High variant,2020-2024,F,0-4,65959.0
WPP_High variant,2025-2029,F,0-4,57287.0
WPP_High variant,2030-2034,F,0-4,41549.0
WPP_High variant,2035-2039,F,0-4,33369.0
WPP_High variant,2040-2044,F,0-4,27635.0
WPP_High variant,2045-2049,F,0-4,23969.0
WPP_High variant,2050-2054,F,0-4,21669.0
WPP_High variant,2055-2059,F,0-4,20194.0
WPP_High variant,2060-2064,F,0-4,19205.0
WPP_High variant,2065-2069,F,0-4,18447.0
WPP_High variant,2070-2074,F,0-4,17840.0
WPP_High variant,2075-2079,F,0-4,17244.0
WPP_High variant,2080-2084,F,0-4,16694.0
WPP_High variant,2085-2089,F,0-4,16157.0
WPP_High variant,2090-2094,F,0-4,15620.0
WPP_High variant,2095-2099,F,0-4,15013.0
WPP_Estimates,1950-1954,M,5-9,15662.0
WPP_Estimates,1955-1959,M,5-9,16136.0
WPP_Estimates,1960-1964,M,5-9,16327.000000000002
WPP_Estimates,1965-1969,M,5-9,17649.0
WPP_Estimates,1970-1974,M,5-9,17480.0
WPP_Estimates,1975-1979,M,5-9,17814.0
WPP_Estimates,1980-1984,M,5-9,18715.0
WPP_Estimates,1985-1989,M,5-9,21406.0
WPP_Estimates,1990-1994,M,5-9,21307.0
WPP_Estimates,1995-1999,M,5-9,21972.0
WPP_Estimates,2000-2004,M,5-9,25378.0
WPP_Estimates,2005-2009,M,5-9,22403.0
WPP_Estimates,2010-2014,M,5-9,14081.0
WPP_Estimates,2015-2019,M,5-9,9827.0
WPP_Low variant,2020-2024,M,5-9,8269.0
WPP_Low variant,2025-2029,M,5-9,7268.0
WPP_Low variant,2030-2034,M,5-9,7017.0
WPP_Low variant,2035-2039,M,5-9,6506.0
WPP_Low variant,2040-2044,M,5-9,6015.0
WPP_Low variant,2045-2049,M,5-9,5528.0
WPP_Low variant,2050-2054,M,5-9,5101.0
WPP_Low variant,2055-2059,M,5-9,4738.0
WPP_Low variant,2060-2064,M,5-9,4360.0
WPP_Low variant,2065-2069,M,5-9,4032.0
WPP_Low variant,2070-2074,M,5-9,3726.0
WPP_Low variant,2075-2079,M,5-9,3417.0
WPP_Low variant,2080-2084,M,5-9,3176.0
WPP_Low variant,2085-2089,M,5-9,2944.0
WPP_Low variant,2090-2094,M,5-9,2736.0
WPP_Low variant,2095-2099,M,5-9,2554.0
WPP_Medium variant,2020-2024,M,5-9,8280.0
WPP_Medium variant,2025-2029,M,5-9,7521.0
WPP_Medium variant,2030-2034,M,5-9,7017.0
WPP_Medium variant,2035-2039,M,5-9,6506.0
WPP_Medium variant,2040-2044,M,5-9,6015.0
WPP_Medium variant,2045-2049,M,5-9,5528.0
WPP_Medium variant,2050-2054,M,5-9,5101.0
WPP_Medium variant,2055-2059,M,5-9,4738.0
WPP_Medium variant,2060-2064,M,5-9,4360.0
WPP_Medium variant,2065-2069,M,5-9,4032.0
WPP_Medium variant,2070-2074,M,5-9,3726.0
WPP_Medium variant,2075-2079,M,5-9,3417.0
WPP_Medium variant,2080-2084,M,5-9,3176.0
WPP_Medium variant,2085-2089,M,5-9,2944.0
WPP_Medium variant,2090-2094,M,5-9,2736.0
WPP_Medium variant,2095-2099,M,5-9,2554.0
WPP_High variant,2020-2024,M,5-9,8290.0
WPP_High variant,2025-2029,M,5-9,7773.0
WPP_High variant,2030-2034,M,5-9,7017.0
WPP_High variant,2035-2039,M,5-9,6506.0
WPP_High variant,2040-2044,M,5-9,6015.0
WPP_High variant,2045-2049,M,5-9,5528.0
WPP_High variant,2050-2054,M,5-9,5101.0
WPP_High variant,2055-2059,M,5-9,4738.0
WPP_High variant,2060-2064,M,5-9,4360.0
WPP_High variant,2065-2069,M,5-9,4032.0
WPP_High variant,2070-2074,M,5-9,3726.0
WPP_High variant,2075-2079,M,5-9,3417.0
WPP_High variant,2080-2084,M,5-9,3176.0
WPP_High variant,2085-2089,M,5-9,2944.0
WPP_High variant,2090-2094,M,5-9,2736.0
WPP_High variant,2095-2099,M,5-9,2554.0
WPP_Estimates,1950-1954,F,5-9,23602.0
WPP_Estimates,1955-1959,F,5-9,22943.0
WPP_Estimates,1960-1964,F,5-9,22121.0
WPP_Estimates,1965-1969,F,5-9,23534.0
WPP_Estimates,1970-1974,F,5-9,22835.0
WPP_Estimates,1975-1979,F,5-9,22556.0
WPP_Estimates,1980-1984,F,5-9,22260.0
WPP_Estimates,1985-1989,F,5-9,22298.0
WPP_Estimates,1990-1994,F,5-9,18009.0
WPP_Estimates,1995-1999,F,5-9,14662.0
WPP_Estimates,2000-2004,F,5-9,14244.0
WPP_Estimates,2005-2009,F,5-9,13185.0
WPP_Estimates,2010-2014,F,5-9,9787.0
WPP_Estimates,2015-2019,F,5-9,6853.0
WPP_Low variant,2020-2024,F,5-9,5477.0
WPP_Low variant,2025-2029,F,5-9,4454.0
WPP_Low variant,2030-2034,F,5-9,3935.0
WPP_Low variant,2035-2039,F,5-9,3361.0
WPP_Low variant,2040-2044,F,5-9,2910.0
WPP_Low variant,2045-2049,F,5-9,2626.0
WPP_Low variant,2050-2054,F,5-9,2444.0
WPP_Low variant,2055-2059,F,5-9,2333.0
WPP_Low variant,2060-2064,F,5-9,2267.0
WPP_Low variant,2065-2069,F,5-9,2213.0
WPP_Low variant,2070-2074,F,5-9,2170.0
WPP_Low variant,2075-2079,F,5-9,2103.0
WPP_Low variant,2080-2084,F,5-9,2035.0000000000002
WPP_Low variant,2085-2089,F,5-9,1969.0
WPP_Low variant,2090-2094,F,5-9,1904.0
WPP_Low variant,2095-2099,F,5-9,1822.0
WPP_Medium variant,2020-2024,F,5-9,5484.0
WPP_Medium variant,2025-2029,F,5-9,4609.0
WPP_Medium variant,2030-2034,F,5-9,3935.0
WPP_Medium variant,2035-2039,F,5-9,3361.0
WPP_Medium variant,2040-2044,F,5-9,2910.0
WPP_Medium variant,2045-2049,F,5-9,2626.0
WPP_Medium variant,2050-2054,F,5-9,2444.0
WPP_Medium variant,2055-2059,F,5-9,2333.0
WPP_Medium variant,2060-2064,F,5-9,2267.0
WPP_Medium variant,2065-2069,F,5-9,2213.0
WPP_Medium variant,2070-2074,F,5-9,2170.0
WPP_Medium variant,2075-2079,F,5-9,2103.0
WPP_Medium variant,2080-2084,F,5-9,2035.0000000000002
WPP_Medium variant,2085-2089,F,5-9,1969.0
WPP_Medium variant,2090-2094,F,5-9,1904.0
WPP_Medium variant,2095-2099,F,5-9,1822.0
WPP_High variant,2020-2024,F,5-9,5491.0
WPP_High variant,2025-2029,F,5-9,4764.0
WPP_High variant,2030-2034,F,5-9,3935.0
WPP_High variant,2035-2039,F,5-9,3361.0
WPP_High variant,2040-2044,F,5-9,2910.0
WPP_High variant,2045-2049,F,5-9,2626.0
WPP_High variant,2050-2054,F,5-9,2444.0
WPP_High variant,2055-2059,F,5-9,2333.0
WPP_High variant,2060-2064,F,5-9,2267.0
WPP_High variant,2065-2069,F,5-9,2213.0
WPP_High variant,2070-2074,F,5-9,2170.0
WPP_High variant,2075-2079,F,5-9,2103.0
WPP_High variant,2080-2084,F,5-9,2035.0000000000002
WPP_High variant,2085-2089,F,5-9,1969.0
WPP_High variant,2090-2094,F,5-9,1904.0
WPP_High variant,2095-2099,F,5-9,1822.0
WPP_Estimates,1950-1954,M,10-14,6396.0
WPP_Estimates,1955-1959,M,10-14,6957.0
WPP_Estimates,1960-1964,M,10-14,7050.0
WPP_Estimates,1965-1969,M,10-14,7350.0
WPP_Estimates,1970-1974,M,10-14,7403.0
WPP_Estimates,1975-1979,M,10-14,7698.0
WPP_Estimates,1980-1984,M,10-14,8260.0
WPP_Estimates,1985-1989,M,10-14,10067.0
WPP_Estimates,1990-1994,M,10-14,10775.0
WPP_Estimates,1995-1999,M,10-14,12124.0
WPP_Estimates,2000-2004,M,10-14,14896.0
WPP_Estimates,2005-2009,M,10-14,13142.0
WPP_Estimates,2010-2014,M,10-14,8596.0
WPP_Estimates,2015-2019,M,10-14,6924.0
WPP_Low variant,2020-2024,M,10-14,6134.0
WPP_Low variant,2025-2029,M,10-14,5416.0
WPP_Low variant,2030-2034,M,10-14,4976.0
WPP_Low variant,2035-2039,M,10-14,4750.0
WPP_Low variant,2040-2044,M,10-14,4541.0
WPP_Low variant,2045-2049,M,10-14,4298.0
WPP_Low variant,2050-2054,M,10-14,4072.0
WPP_Low variant,2055-2059,M,10-14,3863.0
WPP_Low variant,2060-2064,M,10-14,3640.0
WPP_Low variant,2065-2069,M,10-14,3428.0
WPP_Low variant,2070-2074,M,10-14,3215.0
WPP_Low variant,2075-2079,M,10-14,2985.0
WPP_Low variant,2080-2084,M,10-14,2775.0
WPP_Low variant,2085-2089,M,10-14,2565.0
WPP_Low variant,2090-2094,M,10-14,2368.0
WPP_Low variant,2095-2099,M,10-14,2193.0
WPP_Medium variant,2020-2024,M,10-14,6142.0
WPP_Medium variant,2025-2029,M,10-14,5416.0
WPP_Medium variant,2030-2034,M,10-14,4976.0
WPP_Medium variant,2035-2039,M,10-14,4750.0
WPP_Medium variant,2040-2044,M,10-14,4541.0
WPP_Medium variant,2045-2049,M,10-14,4298.0
WPP_Medium variant,2050-2054,M,10-14,4072.0
WPP_Medium variant,2055-2059,M,10-14,3863.0
WPP_Medium variant,2060-2064,M,10-14,3640.0
WPP_Medium variant,2065-2069,M,10-14,3428.0
WPP_Medium variant,2070-2074,M,10-14,3215.0
WPP_Medium variant,2075-2079,M,10-14,2985.0
WPP_Medium variant,2080-2084,M,10-14,2775.0
WPP_Medium variant,2085-2089,M,10-14,2565.0
WPP_Medium variant,2090-2094,M,10-14,2368.0
WPP_Medium variant,2095-2099,M,10-14,2193.0
WPP_High variant,2020-2024,M,10-14,6149.0
WPP_High variant,2025-2029,M,10-14,5415.0
WPP_High variant,2030-2034,M,10-14,4976.0
WPP_High variant,2035-2039,M,10-14,4750.0
WPP_High variant,2040-2044,M,10-14,4541.0
WPP_High variant,2045-2049,M,10-14,4298.0
WPP_High variant,2050-2054,M,10-14,4072.0
WPP_High variant,2055-2059,M,10-14,3863.0
WPP_High variant,2060-2064,M,10-14,3640.0
WPP_High variant,2065-2069,M,10-14,3428.0
WPP_High variant,2070-2074,M,10-14,3215.0
WPP_High variant,2075-2079,M,10-14,2985.0
WPP_High variant,2080-2084,M,10-14,2775.0
WPP_High variant,2085-2089,M,10-14,2565.0
WPP_High variant,2090-2094,M,10-14,2368.0
WPP_High variant,2095-2099,M,10-14,2193.0
WPP_Estimates,1950-1954,F,10-14,10517.0
WPP_Estimates,1955-1959,F,10-14,10911.0
WPP_Estimates,1960-1964,F,10-14,10378.0
WPP_Estimates,1965-1969,F,10-14,10372.0
WPP_Estimates,1970-1974,F,10-14,10216.0
WPP_Estimates,1975-1979,F,10-14,10294.0
WPP_Estimates,1980-1984,F,10-14,10333.0
WPP_Estimates,1985-1989,F,10-14,10845.0
WPP_Estimates,1990-1994,F,10-14,9106.0
WPP_Estimates,1995-1999,F,10-14,8068.0
WPP_Estimates,2000-2004,F,10-14,8544.0
WPP_Estimates,2005-2009,F,10-14,7949.0
WPP_Estimates,2010-2014,F,10-14,5971.0
WPP_Estimates,2015-2019,F,10-14,4702.0
WPP_Low variant,2020-2024,F,10-14,3945.0
WPP_Low variant,2025-2029,F,10-14,3268.0
WPP_Low variant,2030-2034,F,10-14,2810.0
WPP_Low variant,2035-2039,F,10-14,2522.0
WPP_Low variant,2040-2044,F,10-14,2293.0
WPP_Low variant,2045-2049,F,10-14,2132.0
WPP_Low variant,2050-2054,F,10-14,2025.0
WPP_Low variant,2055-2059,F,10-14,1956.0
WPP_Low variant,2060-2064,F,10-14,1912.0
WPP_Low variant,2065-2069,F,10-14,1874.0
WPP_Low variant,2070-2074,F,10-14,1838.0
WPP_Low variant,2075-2079,F,10-14,1784.0
WPP_Low variant,2080-2084,F,10-14,1724.0
WPP_Low variant,2085-2089,F,10-14,1660.0
WPP_Low variant,2090-2094,F,10-14,1598.0
WPP_Low variant,2095-2099,F,10-14,1526.0
WPP_Medium variant,2020-2024,F,10-14,3950.0
WPP_Medium variant,2025-2029,F,10-14,3268.0
WPP_Medium variant,2030-2034,F,10-14,2810.0
WPP_Medium variant,2035-2039,F,10-14,2522.0
WPP_Medium variant,2040-2044,F,10-14,2293.0
WPP_Medium variant,2045-2049,F,10-14,2132.0
WPP_Medium variant,2050-2054,F,10-14,2025.0
WPP_Medium variant,2055-2059,F,10-14,1956.0
WPP_Medium variant,2060-2064,F,10-14,1912.0
WPP_Medium variant,2065-2069,F,10-14,1874.0
WPP_Medium variant,2070-2074,F,10-14,1838.0
WPP_Medium variant,2075-2079,F,10-14,1784.0
WPP_Medium variant,2080-2084,F,10-14,1724.0
WPP_Medium variant,2085-2089,F,10-14,1660.0
WPP_Medium variant,2090-2094,F,10-14,1598.0
WPP_Medium variant,2095-2099,F,10-14,1526.0
WPP_High variant,2020-2024,F,10-14,3955.0
WPP_High variant,2025-2029,F,10-14,3268.0
WPP_High variant,2030-2034,F,10-14,2810.0
WPP_High variant,2035-2039,F,10-14,2522.0
WPP_High variant,2040-2044,F,10-14,2293.0
WPP_High variant,2045-2049,F,10-14,2132.0
WPP_High variant,2050-2054,F,10-14,2025.0
WPP_High variant,2055-2059,F,10-14,1956.0
WPP_High variant,2060-2064,F,10-14,1912.0
WPP_High variant,2065-2069,F,10-14,1874.0
WPP_High variant,2070-2074,F,10-14,1838.0
WPP_High variant,2075-2079,F,10-14,1784.0
WPP_High variant,2080-2084,F,10-14,1724.0
WPP_High variant,2085-2089,F,10-14,1660.0
WPP_High variant,2090-2094,F,10-14,1598.0
WPP_High variant,2095-2099,F,10-14,1526.0
WPP_Estimates,1950-1954,M,15-19,6106.0
WPP_Estimates,1955-1959,M,15-19,6709.0
WPP_Estimates,1960-1964,M,15-19,7230.0
WPP_Estimates,1965-1969,M,15-19,7578.0
WPP_Estimates,1970-1974,M,15-19,7517.0
WPP_Estimates,1975-1979,M,15-19,8004.0
WPP_Estimates,1980-1984,M,15-19,8778.0
WPP_Estimates,1985-1989,M,15-19,10690.0
WPP_Estimates,1990-1994,M,15-19,11405.0
WPP_Estimates,1995-1999,M,15-19,12269.0
WPP_Estimates,2000-2004,M,15-19,15235.0
WPP_Estimates,2005-2009,M,15-19,15199.0
WPP_Estimates,2010-2014,M,15-19,11403.0
WPP_Estimates,2015-2019,M,15-19,9990.0
WPP_Low variant,2020-2024,M,15-19,9323.0
WPP_Low variant,2025-2029,M,15-19,8716.0
WPP_Low variant,2030-2034,M,15-19,7974.0
WPP_Low variant,2035-2039,M,15-19,7691.0
WPP_Low variant,2040-2044,M,15-19,7717.0
WPP_Low variant,2045-2049,M,15-19,7667.0
WPP_Low variant,2050-2054,M,15-19,7554.0
WPP_Low variant,2055-2059,M,15-19,7418.0
WPP_Low variant,2060-2064,M,15-19,7224.0
WPP_Low variant,2065-2069,M,15-19,7012.0
WPP_Low variant,2070-2074,M,15-19,6770.0
WPP_Low variant,2075-2079,M,15-19,6463.0
WPP_Low variant,2080-2084,M,15-19,6136.0
WPP_Low variant,2085-2089,M,15-19,5764.0
WPP_Low variant,2090-2094,M,15-19,5378.0
WPP_Low variant,2095-2099,M,15-19,5013.0
WPP_Medium variant,2020-2024,M,15-19,9335.0
WPP_Medium variant,2025-2029,M,15-19,8716.0
WPP_Medium variant,2030-2034,M,15-19,7974.0
WPP_Medium variant,2035-2039,M,15-19,7691.0
WPP_Medium variant,2040-2044,M,15-19,7717.0
WPP_Medium variant,2045-2049,M,15-19,7667.0
WPP_Medium variant,2050-2054,M,15-19,7554.0
WPP_Medium variant,2055-2059,M,15-19,7418.0
WPP_Medium variant,2060-2064,M,15-19,7224.0
WPP_Medium variant,2065-2069,M,15-19,7012.0
WPP_Medium variant,2070-2074,M,15-19,6770.0
WPP_Medium variant,2075-2079,M,15-19,6463.0
WPP_Medium variant,2080-2084,M,15-19,6136.0
WPP_Medium variant,2085-2089,M,15-19,5764.0
WPP_Medium variant,2090-2094,M,15-19,5378.0
WPP_Medium variant,2095-2099,M,15-19,5013.0
WPP_High variant,2020-2024,M,15-19,9347.0
WPP_High variant,2025-2029,M,15-19,8715.0
WPP_High variant,2030-2034,M,15-19,7974.0
WPP_High variant,2035-2039,M,15-19,7691.0
WPP_High variant,2040-2044,M,15-19,7717.0
WPP_High variant,2045-2049,M,15-19,7667.0
WPP_High variant,2050-2054,M,15-19,7554.0
WPP_High variant,2055-2059,M,15-19,7418.0
WPP_High variant,2060-2064,M,15-19,7224.0
WPP_High variant,2065-2069,M,15-19,7012.0
WPP_High variant,2070-2074,M,15-19,6770.0
WPP_High variant,2075-2079,M,15-19,6463.0
WPP_High variant,2080-2084,M,15-19,6136.0
WPP_High variant,2085-2089,M,15-19,5764.0
WPP_High variant,2090-2094,M,15-19,5378.0
WPP_High variant,2095-2099,M,15-19,5013.0
WPP_Estimates,1950-1954,F,15-19,8264.0
WPP_Estimates,1955-1959,F,15-19,8754.0
WPP_Estimates,1960-1964,F,15-19,8959.0
WPP_Estimates,1965-1969,F,15-19,8865.0
WPP_Estimates,1970-1974,F,15-19,8355.0
WPP_Estimates,1975-1979,F,15-19,8625.0
WPP_Estimates,1980-1984,F,15-19,8950.0
WPP_Estimates,1985-1989,F,15-19,9931.0
WPP_Estimates,1990-1994,F,15-19,9443.0
WPP_Estimates,1995-1999,F,15-19,9094.0
WPP_Estimates,2000-2004,F,15-19,10336.0
WPP_Estimates,2005-2009,F,15-19,10071.0
WPP_Estimates,2010-2014,F,15-19,7562.0
WPP_Estimates,2015-2019,F,15-19,6301.0
WPP_Low variant,2020-2024,F,15-19,5574.0
WPP_Low variant,2025-2029,F,15-19,4872.0
WPP_Low variant,2030-2034,F,15-19,4154.0
WPP_Low variant,2035-2039,F,15-19,3745.0
WPP_Low variant,2040-2044,F,15-19,3547.0
WPP_Low variant,2045-2049,F,15-19,3411.0
WPP_Low variant,2050-2054,F,15-19,3301.0
WPP_Low variant,2055-2059,F,15-19,3223.0
WPP_Low variant,2060-2064,F,15-19,3163.0
WPP_Low variant,2065-2069,F,15-19,3105.0
WPP_Low variant,2070-2074,F,15-19,3049.0
WPP_Low variant,2075-2079,F,15-19,2965.0
WPP_Low variant,2080-2084,F,15-19,2866.0
WPP_Low variant,2085-2089,F,15-19,2751.0
WPP_Low variant,2090-2094,F,15-19,2635.0
WPP_Low variant,2095-2099,F,15-19,2506.0
WPP_Medium variant,2020-2024,F,15-19,5581.0
WPP_Medium variant,2025-2029,F,15-19,4872.0
WPP_Medium variant,2030-2034,F,15-19,4154.0
WPP_Medium variant,2035-2039,F,15-19,3745.0
WPP_Medium variant,2040-2044,F,15-19,3547.0
WPP_Medium variant,2045-2049,F,15-19,3411.0
WPP_Medium variant,2050-2054,F,15-19,3301.0
WPP_Medium variant,2055-2059,F,15-19,3223.0
WPP_Medium variant,2060-2064,F,15-19,3163.0
WPP_Medium variant,2065-2069,F,15-19,3105.0
WPP_Medium variant,2070-2074,F,15-19,3049.0
WPP_Medium variant,2075-2079,F,15-19,2965.0
WPP_Medium variant,2080-2084,F,15-19,2866.0
WPP_Medium variant,2085-2089,F,15-19,2751.0
WPP_Medium variant,2090-2094,F,15-19,2635.0
WPP_Medium variant,2095-2099,F,15-19,2506.0
WPP_High variant,2020-2024,F,15-19,5588.0
WPP_High variant,2025-2029,F,15-19,4871.0
WPP_High variant,2030-2034,F,15-19,4154.0
WPP_High variant,2035-2039,F,15-19,3745.0
WPP_High variant,2040-2044,F,15-19,3547.0
WPP_High variant,2045-2049,F,15-19,3411.0
WPP_High variant,2050-2054,F,15-19,3301.0
WPP_High variant,2055-2059,F,15-19,3223.0
WPP_High variant,2060-2064,F,15-19,3163.0
WPP_High variant,2065-2069,F,15-19,3105.0
WPP_High variant,2070-2074,F,15-19,3049.0
WPP_High variant,2075-2079,F,15-19,2965.0
WPP_High variant,2080-2084,F,15-19,2866.0
WPP_High variant,2085-2089,F,15-19,2751.0
WPP_High variant,2090-2094,F,15-19,2635.0
WPP_High variant,2095-2099,F,15-19,2506.0
WPP_Estimates,1950-1954,M,20-24,7001.0
WPP_Estimates,1955-1959,M,20-24,7723.0
WPP_Estimates,1960-1964,M,20-24,8323.0
WPP_Estimates,1965-1969,M,20-24,9152.0
WPP_Estimates,1970-1974,M,20-24,9038.0
WPP_Estimates,1975-1979,M,20-24,9260.0
WPP_Estimates,1980-1984,M,20-24,10224.0
WPP_Estimates,1985-1989,M,20-24,12726.0
WPP_Estimates,1990-1994,M,20-24,14435.0
WPP_Estimates,1995-1999,M,20-24,16370.000000000002
WPP_Estimates,2000-2004,M,20-24,19636.0
WPP_Estimates,2005-2009,M,20-24,19315.0
WPP_Estimates,2010-2014,M,20-24,14767.0
WPP_Estimates,2015-2019,M,20-24,12975.0
WPP_Low variant,2020-2024,M,20-24,12213.0
WPP_Low variant,2025-2029,M,20-24,12067.0
WPP_Low variant,2030-2034,M,20-24,11666.0
WPP_Low variant,2035-2039,M,20-24,11086.0
WPP_Low variant,2040-2044,M,20-24,11025.0
WPP_Low variant,2045-2049,M,20-24,11256.0
WPP_Low variant,2050-2054,M,20-24,11371.0
WPP_Low variant,2055-2059,M,20-24,11321.0
WPP_Low variant,2060-2064,M,20-24,11128.0
WPP_Low variant,2065-2069,M,20-24,10861.0
WPP_Low variant,2070-2074,M,20-24,10546.0
WPP_Low variant,2075-2079,M,20-24,10132.0
WPP_Low variant,2080-2084,M,20-24,9666.0
WPP_Low variant,2085-2089,M,20-24,9118.0
WPP_Low variant,2090-2094,M,20-24,8513.0
WPP_Low variant,2095-2099,M,20-24,7922.0
WPP_Medium variant,2020-2024,M,20-24,12229.0
WPP_Medium variant,2025-2029,M,20-24,12067.0
WPP_Medium variant,2030-2034,M,20-24,11666.0
WPP_Medium variant,2035-2039,M,20-24,11086.0
WPP_Medium variant,2040-2044,M,20-24,11025.0
WPP_Medium variant,2045-2049,M,20-24,11256.0
WPP_Medium variant,2050-2054,M,20-24,11371.0
WPP_Medium variant,2055-2059,M,20-24,11321.0
WPP_Medium variant,2060-2064,M,20-24,11128.0
