Facility_ID,Officer_Type_Code,GenericClinic,IntegratedPrimaryCare_Clinic
7.0,Radiography,0.8,0.2
8.0,Clinical,0.8,0.2
8.0,DCSA,0.8,0.2
8.0,Dental,0.8,0.2
8.0,Laboratory,0.8,0.2
8.0,Mental,0.8,0.2
8.0,Nursing_and_Midwifery,0.8,0.2
8.0,Nutrition,0.8,0.2
8.0,Pharmacy,0.8,0.2
8.0,Radiography,0.8,0.2
9.0,Clinical,0.8,0.2
9.0,DCSA,0.8,0.2
9.0,Dental,0.8,0.2
9.0,Laboratory,0.8,0.2
9.0,Mental,0.8,0.2
9.0,Nursing_and_Midwifery,0.8,0.2
9.0,Nutrition,0.8,0.2
9.0,Pharmacy,0.8,0.2
9.0,Radiography,0.8,0.2
10.0,Clinical,0.8,0.2
10.0,DCSA,0.8,0.2
10.0,Dental,0.8,0.2
10.0,Laboratory,0.8,0.2
10.0,Mental,0.8,0.2
10.0,Nursing_and_Midwifery,0.8,0.2
10.0,Nutrition,0.8,0.2
10.0,Pharmacy,0.8,0.2
10.0,Radiography,0.8,0.2
11.0,Clinical,0.8,0.2
11.0,DCSA,0.8,0.2
11.0,Dental,0.8,0.2
11.0,Laboratory,0.8,0.2
11.0,Mental,0.8,0.2
11.0,Nursing_and_Midwifery,0.8,0.2
11.0,Nutrition,0.8,0.2
11.0,Pharmacy,0.8,0.2
11.0,Radiography,0.8,0.2
12.0,Clinical,0.8,0.2
12.0,DCSA,0.8,0.2
12.0,Dental,0.8,0.2
12.0,Laboratory,0.8,0.2
12.0,Mental,0.8,0.2
12.0,Nursing_and_Midwifery,0.8,0.2
12.0,Nutrition,0.8,0.2
12.0,Pharmacy,0.8,0.2
12.0,Radiography,0.8,0.2
13.0,Clinical,0.8,0.2
13.0,DCSA,0.8,0.2
13.0,Dental,0.8,0.2
13.0,Laboratory,0.8,0.2
13.0,Mental,0.8,0.2
13.0,Nursing_and_Midwifery,0.8,0.2
13.0,Nutrition,0.8,0.2
13.0,Pharmacy,0.8,0.2
13.0,Radiography,0.8,0.2
14.0,Clinical,0.8,0.2
14.0,DCSA,0.8,0.2
14.0,Dental,0.8,0.2
14.0,Laboratory,0.8,0.2
14.0,Mental,0.8,0.2
14.0,Nursing_and_Midwifery,0.8,0.2
14.0,Nutrition,0.8,0.2
14.0,Pharmacy,0.8,0.2
14.0,Radiography,0.8,0.2
15.0,Clinical,0.8,0.2
15.0,DCSA,0.8,0.2
15.0,Dental,0.8,0.2
15.0,Laboratory,0.8,0.2
15.0,Mental,0.8,0.2
15.0,Nursing_and_Midwifery,0.8,0.2
15.0,Nutrition,0.8,0.2
15.0,Pharmacy,0.8,0.2
15.0,Radiography,0.8,0.2
16.0,Clinical,0.8,0.2
16.0,DCSA,0.8,0.2
16.0,Dental,0.8,0.2
16.0,Laboratory,0.8,0.2
16.0,Mental,0.8,0.2
16.0,Nursing_and_Midwifery,0.8,0.2
16.0,Nutrition,0.8,0.2
16.0,Pharmacy,0.8,0.2
16.0,Radiography,0.8,0.2
17.0,Clinical,0.8,0.2
17.0,DCSA,0.8,0.2
17.0,Dental,0.8,0.2
17.0,Laboratory,0.8,0.2
17.0,Mental,0.8,0.2
17.0,Nursing_and_Midwifery,0.8,0.2
17.0,Nutrition,0.8,0.2
17.0,Pharmacy,0.8,0.2
17.0,Radiography,0.8,0.2
18.0,Clinical,0.8,0.2
18.0,DCSA,0.8,0.2
18.0,Dental,0.8,0.2
18.0,Laboratory,0.8,0.2
18.0,Mental,0.8,0.2
18.0,Nursing_and_Midwifery,0.8,0.2
18.0,Nutrition,0.8,0.2
18.0,Pharmacy,0.8,0.2
18.0,Radiography,0.8,0.2
19.0,Clinical,0.8,0.2
19.0,DCSA,0.8,0.2
19.0,Dental,0.8,0.2
19.0,Laboratory,0.8,0.2
19.0,Mental,0.8,0.2
19.0,Nursing_and_Midwifery,0.8,0.2
19.0,Nutrition,0.8,0.2
19.0,Pharmacy,0.8,0.2
19.0,Radiography,0.8,0.2
20.0,Clinical,0.8,0.2
20.0,DCSA,0.8,0.2
20.0,Dental,0.8,0.2
20.0,Laboratory,0.8,0.2
20.0,Mental,0.8,0.2
20.0,Nursing_and_Midwifery,0.8,0.2
20.0,Nutrition,0.8,0.2
20.0,Pharmacy,0.8,0.2
20.0,Radiography,0.8,0.2
21.0,Clinical,0.8,0.2
21.0,DCSA,0.8,0.2
21.0,Dental,0.8,0.2
21.0,Laboratory,0.8,0.2
21.0,Mental,0.8,0.2
21.0,Nursing_and_Midwifery,0.8,0.2
21.0,Nutrition,0.8,0.2
21.0,Pharmacy,0.8,0.2
21.0,Radiography,0.8,0.2
22.0,Clinical,0.8,0.2
22.0,DCSA,0.8,0.2
22.0,Dental,0.8,0.2
22.0,Laboratory,0.8,0.2
22.0,Mental,0.8,0.2
22.0,Nursing_and_Midwifery,0.8,0.2
22.0,Nutrition,0.8,0.2
22.0,Pharmacy,0.8,0.2
22.0,Radiography,0.8,0.2
23.0,Clinical,0.8,0.2
23.0,DCSA,0.8,0.2
23.0,Dental,0.8,0.2
23.0,Laboratory,0.8,0.2
23.0,Mental,0.8,0.2
23.0,Nursing_and_Midwifery,0.8,0.2
23.0,Nutrition,0.8,0.2
23.0,Pharmacy,0.8,0.2
23.0,Radiography,0.8,0.2
24.0,Clinical,0.8,0.2
24.0,DCSA,0.8,0.2
24.0,Dental,0.8,0.2
24.0,Laboratory,0.8,0.2
24.0,Mental,0.8,0.2
24.0,Nursing_and_Midwifery,0.8,0.2
24.0,Nutrition,0.8,0.2
24.0,Pharmacy,0.8,0.2
24.0,Radiography,0.8,0.2
25.0,Clinical,0.8,0.2
25.0,DCSA,0.8,0.2
25.0,Dental,0.8,0.2
25.0,Laboratory,0.8,0.2
25.0,Mental,0.8,0.2
25.0,Nursing_and_Midwifery,0.8,0.2
25.0,Nutrition,0.8,0.2
25.0,Pharmacy,0.8,0.2
25.0,Radiography,0.8,0.2
26.0,Clinical,0.8,0.2
26.0,DCSA,0.8,0.2
26.0,Dental,0.8,0.2
26.0,Laboratory,0.8,0.2
26.0,Mental,0.8,0.2
26.0,Nursing_and_Midwifery,0.8,0.2
26.0,Nutrition,0.8,0.2
26.0,Pharmacy,0.8,0.2
26.0,Radiography,0.8,0.2
27.0,Clinical,0.8,0.2
27.0,DCSA,0.8,0.2
27.0,Dental,0.8,0.2
27.0,Laboratory,0.8,0.2
27.0,Mental,0.8,0.2
27.0,Nursing_and_Midwifery,0.8,0.2
27.0,Nutrition,0.8,0.2
27.0,Pharmacy,0.8,0.2
27.0,Radiography,0.8,0.2
28.0,Clinical,0.8,0.2
28.0,DCSA,0.8,0.2
28.0,Dental,0.8,0.2
28.0,Laboratory,0.8,0.2
28.0,Mental,0.8,0.2
28.0,Nursing_and_Midwifery,0.8,0.2
28.0,Nutrition,0.8,0.2
28.0,Pharmacy,0.8,0.2
28.0,Radiography,0.8,0.2
29.0,Clinical,0.8,0.2
29.0,DCSA,0.8,0.2
29.0,Dental,0.8,0.2
29.0,Laboratory,0.8,0.2
29.0,Mental,0.8,0.2
29.0,Nursing_and_Midwifery,0.8,0.2
29.0,Nutrition,0.8,0.2
29.0,Pharmacy,0.8,0.2
29.0,Radiography,0.8,0.2
30.0,Clinical,0.8,0.2
30.0,DCSA,0.8,0.2
30.0,Dental,0.8,0.2
30.0,Laboratory,0.8,0.2
30.0,Mental,0.8,0.2
30.0,Nursing_and_Midwifery,0.8,0.2
30.0,Nutrition,0.8,0.2
30.0,Pharmacy,0.8,0.2
30.0,Radiography,0.8,0.2
31.0,Clinical,0.8,0.2
31.0,DCSA,0.8,0.2
31.0,Dental,0.8,0.2
31.0,Laboratory,0.8,0.2
31.0,Mental,0.8,0.2
31.0,Nursing_and_Midwifery,0.8,0.2
31.0,Nutrition,0.8,0.2
31.0,Pharmacy,0.8,0.2
31.0,Radiography,0.8,0.2
32.0,Clinical,0.8,0.2
32.0,DCSA,0.8,0.2
32.0,Dental,0.8,0.2
32.0,Laboratory,0.8,0.2
32.0,Mental,0.8,0.2
32.0,Nursing_and_Midwifery,0.8,0.2
32.0,Nutrition,0.8,0.2
32.0,Pharmacy,0.8,0.2
32.0,Radiography,0.8,0.2
33.0,Clinical,0.8,0.2
33.0,DCSA,0.8,0.2
33.0,Dental,0.8,0.2
33.0,Laboratory,0.8,0.2
33.0,Mental,0.8,0.2
33.0,Nursing_and_Midwifery,0.8,0.2
33.0,Nutrition,0.8,0.2
33.0,Pharmacy,0.8,0.2
33.0,Radiography,0.8,0.2
34.0,Clinical,0.8,0.2
34.0,DCSA,0.8,0.2
34.0,Dental,0.8,0.2
34.0,Laboratory,0.8,0.2
34.0,Mental,0.8,0.2
34.0,Nursing_and_Midwifery,0.8,0.2
34.0,Nutrition,0.8,0.2
34.0,Pharmacy,0.8,0.2
34.0,Radiography,0.8,0.2
35.0,Clinical,0.8,0.2
35.0,DCSA,0.8,0.2
35.0,Dental,0.8,0.2
35.0,Laboratory,0.8,0.2
35.0,Mental,0.8,0.2
35.0,Nursing_and_Midwifery,0.8,0.2
35.0,Nutrition,0.8,0.2
35.0,Pharmacy,0.8,0.2
35.0,Radiography,0.8,0.2
36.0,Clinical,0.8,0.2
36.0,DCSA,0.8,0.2
36.0,Dental,0.8,0.2
36.0,Laboratory,0.8,0.2
36.0,Mental,0.8,0.2
36.0,Nursing_and_Midwifery,0.8,0.2
36.0,Nutrition,0.8,0.2
36.0,Pharmacy,0.8,0.2
36.0,Radiography,0.8,0.2
37.0,Clinical,0.8,0.2
37.0,DCSA,0.8,0.2
37.0,Dental,0.8,0.2
37.0,Laboratory,0.8,0.2
37.0,Mental,0.8,0.2
37.0,Nursing_and_Midwifery,0.8,0.2
37.0,Nutrition,0.8,0.2
37.0,Pharmacy,0.8,0.2
37.0,Radiography,0.8,0.2
38.0,Clinical,0.8,0.2
38.0,DCSA,0.8,0.2
38.0,Dental,0.8,0.2
38.0,Laboratory,0.8,0.2
38.0,Mental,0.8,0.2
38.0,Nursing_and_Midwifery,0.8,0.2
38.0,Nutrition,0.8,0.2
38.0,Pharmacy,0.8,0.2
38.0,Radiography,0.8,0.2
39.0,Clinical,0.8,0.2
39.0,DCSA,0.8,0.2
39.0,Dental,0.8,0.2
39.0,Laboratory,0.8,0.2
39.0,Mental,0.8,0.2
39.0,Nursing_and_Midwifery,0.8,0.2
39.0,Nutrition,0.8,0.2
39.0,Pharmacy,0.8,0.2
39.0,Radiography,0.8,0.2
40.0,Clinical,0.8,0.2
40.0,DCSA,0.8,0.2
40.0,Dental,0.8,0.2
40.0,Laboratory,0.8,0.2
40.0,Mental,0.8,0.2
40.0,Nursing_and_Midwifery,0.8,0.2
40.0,Nutrition,0.8,0.2
40.0,Pharmacy,0.8,0.2
40.0,Radiography,0.8,0.2
41.0,Clinical,0.8,0.2
41.0,DCSA,0.8,0.2
41.0,Dental,0.8,0.2
41.0,Laboratory,0.8,0.2
41.0,Mental,0.8,0.2
41.0,Nursing_and_Midwifery,0.8,0.2
41.0,Nutrition,0.8,0.2
41.0,Pharmacy,0.8,0.2
41.0,Radiography,0.8,0.2
42.0,Clinical,0.8,0.2
42.0,DCSA,0.8,0.2
42.0,Dental,0.8,0.2
42.0,Laboratory,0.8,0.2
42.0,Mental,0.8,0.2
42.0,Nursing_and_Midwifery,0.8,0.2
42.0,Nutrition,0.8,0.2
42.0,Pharmacy,0.8,0.2
42.0,Radiography,0.8,0.2
43.0,Clinical,0.8,0.2
43.0,DCSA,0.8,0.2
43.0,Dental,0.8,0.2
43.0,Laboratory,0.8,0.2
43.0,Mental,0.8,0.2
43.0,Nursing_and_Midwifery,0.8,0.2
43.0,Nutrition,0.8,0.2
43.0,Pharmacy,0.8,0.2
43.0,Radiography,0.8,0.2
44.0,Clinical,0.8,0.2
44.0,DCSA,0.8,0.2
44.0,Dental,0.8,0.2
44.0,Laboratory,0.8,0.2
44.0,Mental,0.8,0.2
44.0,Nursing_and_Midwifery,0.8,0.2
44.0,Nutrition,0.8,0.2
44.0,Pharmacy,0.8,0.2
44.0,Radiography,0.8,0.2
45.0,Clinical,0.8,0.2
45.0,DCSA,0.8,0.2
45.0,Dental,0.8,0.2
45.0,Laboratory,0.8,0.2
45.0,Mental,0.8,0.2
45.0,Nursing_and_Midwifery,0.8,0.2
45.0,Nutrition,0.8,0.2
45.0,Pharmacy,0.8,0.2
45.0,Radiography,0.8,0.2
46.0,Clinical,0.8,0.2
46.0,DCSA,0.8,0.2
46.0,Dental,0.8,0.2
46.0,Laboratory,0.8,0.2
46.0,Mental,0.8,0.2
46.0,Nursing_and_Midwifery,0.8,0.2
46.0,Nutrition,0.8,0.2
46.0,Pharmacy,0.8,0.2
46.0,Radiography,0.8,0.2
47.0,Clinical,0.8,0.2
47.0,DCSA,0.8,0.2
47.0,Dental,0.8,0.2
47.0,Laboratory,0.8,0.2
47.0,Mental,0.8,0.2
47.0,Nursing_and_Midwifery,0.8,0.2
47.0,Nutrition,0.8,0.2
47.0,Pharmacy,0.8,0.2
47.0,Radiography,0.8,0.2
48.0,Clinical,0.8,0.2
48.0,DCSA,0.8,0.2
48.0,Dental,0.8,0.2
48.0,Laboratory,0.8,0.2
48.0,Mental,0.8,0.2
48.0,Nursing_and_Midwifery,0.8,0.2
48.0,Nutrition,0.8,0.2
48.0,Pharmacy,0.8,0.2
48.0,Radiography,0.8,0.2
49.0,Clinical,0.8,0.2
49.0,DCSA,0.8,0.2
49.0,Dental,0.8,0.2
49.0,Laboratory,0.8,0.2
49.0,Mental,0.8,0.2
49.0,Nursing_and_Midwifery,0.8,0.2
49.0,Nutrition,0.8,0.2
49.0,Pharmacy,0.8,0.2
49.0,Radiography,0.8,0.2
50.0,Clinical,0.8,0.2
50.0,DCSA,0.8,0.2
50.0,Dental,0.8,0.2
50.0,Laboratory,0.8,0.2
50.0,Mental,0.8,0.2
50.0,Nursing_and_Midwifery,0.8,0.2
50.0,Nutrition,0.8,0.2
50.0,Pharmacy,0.8,0.2
50.0,Radiography,0.8,0.2
51.0,Clinical,0.8,0.2
51.0,DCSA,0.8,0.2
51.0,Dental,0.8,0.2
51.0,Laboratory,0.8,0.2
51.0,Mental,0.8,0.2
51.0,Nursing_and_Midwifery,0.8,0.2
51.0,Nutrition,0.8,0.2
51.0,Pharmacy,0.8,0.2
51.0,Radiography,0.8,0.2
52.0,Clinical,0.8,0.2
52.0,DCSA,0.8,0.2
52.0,Dental,0.8,0.2
52.0,Laboratory,0.8,0.2
52.0,Mental,0.8,0.2
52.0,Nursing_and_Midwifery,0.8,0.2
52.0,Nutrition,0.8,0.2
52.0,Pharmacy,0.8,0.2
52.0,Radiography,0.8,0.2
53.0,Clinical,0.8,0.2
53.0,DCSA,0.8,0.2
53.0,Dental,0.8,0.2
53.0,Laboratory,0.8,0.2
53.0,Mental,0.8,0.2
53.0,Nursing_and_Midwifery,0.8,0.2
53.0,Nutrition,0.8,0.2
53.0,Pharmacy,0.8,0.2
53.0,Radiography,0.8,0.2
54.0,Clinical,0.8,0.2
54.0,DCSA,0.8,0.2
54.0,Dental,0.8,0.2
54.0,Laboratory,0.8,0.2
54.0,Mental,0.8,0.2
54.0,Nursing_and_Midwifery,0.8,0.2
54.0,Nutrition,0.8,0.2
54.0,Pharmacy,0.8,0.2
54.0,Radiography,0.8,0.2
55.0,Clinical,0.8,0.2
55.0,DCSA,0.8,0.2
55.0,Dental,0.8,0.2
55.0,Laboratory,0.8,0.2
55.0,Mental,0.8,0.2
55.0,Nursing_and_Midwifery,0.8,0.2
55.0,Nutrition,0.8,0.2
55.0,Pharmacy,0.8,0.2
55.0,Radiography,0.8,0.2
56.0,Clinical,0.8,0.2
56.0,DCSA,0.8,0.2
56.0,Dental,0.8,0.2
56.0,Laboratory,0.8,0.2
56.0,Mental,0.8,0.2
56.0,Nursing_and_Midwifery,0.8,0.2
56.0,Nutrition,0.8,0.2
56.0,Pharmacy,0.8,0.2
56.0,Radiography,0.8,0.2
57.0,Clinical,0.8,0.2
57.0,DCSA,0.8,0.2
57.0,Dental,0.8,0.2
57.0,Laboratory,0.8,0.2
57.0,Mental,0.8,0.2
57.0,Nursing_and_Midwifery,0.8,0.2
57.0,Nutrition,0.8,0.2
57.0,Pharmacy,0.8,0.2
57.0,Radiography,0.8,0.2
58.0,Clinical,0.8,0.2
58.0,DCSA,0.8,0.2
58.0,Dental,0.8,0.2
58.0,Laboratory,0.8,0.2
58.0,Mental,0.8,0.2
58.0,Nursing_and_Midwifery,0.8,0.2
58.0,Nutrition,0.8,0.2
58.0,Pharmacy,0.8,0.2
58.0,Radiography,0.8,0.2
59.0,Clinical,0.8,0.2
59.0,DCSA,0.8,0.2
59.0,Dental,0.8,0.2
59.0,Laboratory,0.8,0.2
59.0,Mental,0.8,0.2
59.0,Nursing_and_Midwifery,0.8,0.2
59.0,Nutrition,0.8,0.2
59.0,Pharmacy,0.8,0.2
59.0,Radiography,0.8,0.2
60.0,Clinical,0.8,0.2
60.0,DCSA,0.8,0.2
60.0,Dental,0.8,0.2
60.0,Laboratory,0.8,0.2
60.0,Mental,0.8,0.2
60.0,Nursing_and_Midwifery,0.8,0.2
60.0,Nutrition,0.8,0.2
60.0,Pharmacy,0.8,0.2
60.0,Radiography,0.8,0.2
61.0,Clinical,0.8,0.2
61.0,DCSA,0.8,0.2
61.0,Dental,0.8,0.2
61.0,Laboratory,0.8,0.2
61.0,Mental,0.8,0.2
61.0,Nursing_and_Midwifery,0.8,0.2
61.0,Nutrition,0.8,0.2
61.0,Pharmacy,0.8,0.2
61.0,Radiography,0.8,0.2
62.0,Clinical,0.8,0.2
62.0,DCSA,0.8,0.2
62.0,Dental,0.8,0.2
62.0,Laboratory,0.8,0.2
62.0,Mental,0.8,0.2
62.0,Nursing_and_Midwifery,0.8,0.2
62.0,Nutrition,0.8,0.2
62.0,Pharmacy,0.8,0.2
62.0,Radiography,0.8,0.2
63.0,Clinical,0.8,0.2
63.0,DCSA,0.8,0.2
63.0,Dental,0.8,0.2
63.0,Laboratory,0.8,0.2
63.0,Mental,0.8,0.2
63.0,Nursing_and_Midwifery,0.8,0.2
63.0,Nutrition,0.8,0.2
63.0,Pharmacy,0.8,0.2
63.0,Radiography,0.8,0.2
64.0,Clinical,0.8,0.2
64.0,DCSA,0.8,0.2
64.0,Dental,0.8,0.2
64.0,Laboratory,0.8,0.2
64.0,Mental,0.8,0.2
64.0,Nursing_and_Midwifery,0.8,0.2
64.0,Nutrition,0.8,0.2
64.0,Pharmacy,0.8,0.2
64.0,Radiography,0.8,0.2
65.0,Clinical,0.8,0.2
65.0,DCSA,0.8,0.2
65.0,Dental,0.8,0.2
65.0,Laboratory,0.8,0.2
65.0,Mental,0.8,0.2
65.0,Nursing_and_Midwifery,0.8,0.2
65.0,Nutrition,0.8,0.2
65.0,Pharmacy,0.8,0.2
65.0,Radiography,0.8,0.2
66.0,Clinical,0.8,0.2
66.0,DCSA,0.8,0.2
66.0,Dental,0.8,0.2
66.0,Laboratory,0.8,0.2
66.0,Mental,0.8,0.2
66.0,Nursing_and_Midwifery,0.8,0.2
66.0,Nutrition,0.8,0.2
66.0,Pharmacy,0.8,0.2
66.0,Radiography,0.8,0.2
67.0,Clinical,0.8,0.2
67.0,DCSA,0.8,0.2
67.0,Dental,0.8,0.2
67.0,Laboratory,0.8,0.2
67.0,Mental,0.8,0.2
67.0,Nursing_and_Midwifery,0.8,0.2
67.0,Nutrition,0.8,0.2
67.0,Pharmacy,0.8,0.2
67.0,Radiography,0.8,0.2
68.0,Clinical,0.8,0.2
68.0,DCSA,0.8,0.2
68.0,Dental,0.8,0.2
68.0,Laboratory,0.8,0.2
68.0,Mental,0.8,0.2
68.0,Nursing_and_Midwifery,0.8,0.2
68.0,Nutrition,0.8,0.2
68.0,Pharmacy,0.8,0.2
68.0,Radiography,0.8,0.2
69.0,Clinical,0.8,0.2
69.0,DCSA,0.8,0.2
69.0,Dental,0.8,0.2
69.0,Laboratory,0.8,0.2
69.0,Mental,0.8,0.2
69.0,Nursing_and_Midwifery,0.8,0.2
69.0,Nutrition,0.8,0.2
69.0,Pharmacy,0.8,0.2
69.0,Radiography,0.8,0.2
70.0,Clinical,0.8,0.2
70.0,DCSA,0.8,0.2
70.0,Dental,0.8,0.2
70.0,Laboratory,0.8,0.2
70.0,Mental,0.8,0.2
70.0,Nursing_and_Midwifery,0.8,0.2
70.0,Nutrition,0.8,0.2
70.0,Pharmacy,0.8,0.2
70.0,Radiography,0.8,0.2
71.0,Clinical,0.8,0.2
71.0,DCSA,0.8,0.2
71.0,Dental,0.8,0.2
71.0,Laboratory,0.8,0.2
71.0,Mental,0.8,0.2
71.0,Nursing_and_Midwifery,0.8,0.2
71.0,Nutrition,0.8,0.2
71.0,Pharmacy,0.8,0.2
71.0,Radiography,0.8,0.2
72.0,Clinical,0.8,0.2
72.0,DCSA,0.8,0.2
72.0,Dental,0.8,0.2
72.0,Laboratory,0.8,0.2
72.0,Mental,0.8,0.2
72.0,Nursing_and_Midwifery,0.8,0.2
72.0,Nutrition,0.8,0.2
72.0,Pharmacy,0.8,0.2
72.0,Radiography,0.8,0.2
73.0,Clinical,0.8,0.2
73.0,DCSA,0.8,0.2
73.0,Dental,0.8,0.2
73.0,Laboratory,0.8,0.2
73.0,Mental,0.8,0.2
73.0,Nursing_and_Midwifery,0.8,0.2
73.0,Nutrition,0.8,0.2
73.0,Pharmacy,0.8,0.2
73.0,Radiography,0.8,0.2
74.0,Clinical,0.8,0.2
74.0,DCSA,0.8,0.2
74.0,Dental,0.8,0.2
74.0,Laboratory,0.8,0.2
74.0,Mental,0.8,0.2
74.0,Nursing_and_Midwifery,0.8,0.2
74.0,Nutrition,0.8,0.2
74.0,Pharmacy,0.8,0.2
74.0,Radiography,0.8,0.2
75.0,Clinical,0.8,0.2
75.0,DCSA,0.8,0.2
75.0,Dental,0.8,0.2
75.0,Laboratory,0.8,0.2
75.0,Mental,0.8,0.2
75.0,Nursing_and_Midwifery,0.8,0.2
75.0,Nutrition,0.8,0.2
75.0,Pharmacy,0.8,0.2
75.0,Radiography,0.8,0.2
76.0,Clinical,0.8,0.2
76.0,DCSA,0.8,0.2
76.0,Dental,0.8,0.2
76.0,Laboratory,0.8,0.2
76.0,Mental,0.8,0.2
76.0,Nursing_and_Midwifery,0.8,0.2
76.0,Nutrition,0.8,0.2
76.0,Pharmacy,0.8,0.2
76.0,Radiography,0.8,0.2
77.0,Clinical,0.8,0.2
77.0,DCSA,0.8,0.2
77.0,Dental,0.8,0.2
77.0,Laboratory,0.8,0.2
77.0,Mental,0.8,0.2
77.0,Nursing_and_Midwifery,0.8,0.2
77.0,Nutrition,0.8,0.2
77.0,Pharmacy,0.8,0.2
77.0,Radiography,0.8,0.2
78.0,Clinical,0.8,0.2
78.0,DCSA,0.8,0.2
78.0,Dental,0.8,0.2
78.0,Laboratory,0.8,0.2
78.0,Mental,0.8,0.2
78.0,Nursing_and_Midwifery,0.8,0.2
78.0,Nutrition,0.8,0.2
78.0,Pharmacy,0.8,0.2
78.0,Radiography,0.8,0.2
79.0,Clinical,0.8,0.2
79.0,DCSA,0.8,0.2
79.0,Dental,0.8,0.2
79.0,Laboratory,0.8,0.2
79.0,Mental,0.8,0.2
79.0,Nursing_and_Midwifery,0.8,0.2
79.0,Nutrition,0.8,0.2
79.0,Pharmacy,0.8,0.2
79.0,Radiography,0.8,0.2
80.0,Clinical,0.8,0.2
80.0,DCSA,0.8,0.2
80.0,Dental,0.8,0.2
80.0,Laboratory,0.8,0.2
80.0,Mental,0.8,0.2
80.0,Nursing_and_Midwifery,0.8,0.2
80.0,Nutrition,0.8,0.2
80.0,Pharmacy,0.8,0.2
80.0,Radiography,0.8,0.2
81.0,Clinical,0.8,0.2
81.0,DCSA,0.8,0.2
81.0,Dental,0.8,0.2
81.0,Laboratory,0.8,0.2
81.0,Mental,0.8,0.2
81.0,Nursing_and_Midwifery,0.8,0.2
81.0,Nutrition,0.8,0.2
81.0,Pharmacy,0.8,0.2
81.0,Radiography,0.8,0.2
82.0,Clinical,0.8,0.2
82.0,DCSA,0.8,0.2
82.0,Dental,0.8,0.2
82.0,Laboratory,0.8,0.2
82.0,Mental,0.8,0.2
82.0,Nursing_and_Midwifery,0.8,0.2
82.0,Nutrition,0.8,0.2
82.0,Pharmacy,0.8,0.2
82.0,Radiography,0.8,0.2
83.0,Clinical,0.8,0.2
83.0,DCSA,0.8,0.2
83.0,Dental,0.8,0.2
83.0,Laboratory,0.8,0.2
83.0,Mental,0.8,0.2
83.0,Nursing_and_Midwifery,0.8,0.2
83.0,Nutrition,0.8,0.2
83.0,Pharmacy,0.8,0.2
83.0,Radiography,0.8,0.2
84.0,Clinical,0.8,0.2
84.0,DCSA,0.8,0.2
84.0,Dental,0.8,0.2
84.0,Laboratory,0.8,0.2
84.0,Mental,0.8,0.2
84.0,Nursing_and_Midwifery,0.8,0.2
84.0,Nutrition,0.8,0.2
84.0,Pharmacy,0.8,0.2
84.0,Radiography,0.8,0.2
85.0,Clinical,0.8,0.2
85.0,DCSA,0.8,0.2
85.0,Dental,0.8,0.2
