Facility_ID,Officer_Type_Code,GenericClinic,CancerClinic,CardiometabolicClinic,ChronicRespiratoryClinic,NeurologicalMentalHealthClinic
14.0,Radiography,0.8,0.03,0.1,0.02,0.05
15.0,Clinical,0.8,0.03,0.1,0.02,0.05
15.0,DCSA,0.8,0.03,0.1,0.02,0.05
15.0,Dental,0.8,0.03,0.1,0.02,0.05
15.0,Laboratory,0.8,0.03,0.1,0.02,0.05
15.0,Mental,0.8,0.03,0.1,0.02,0.05
15.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
15.0,Nutrition,0.8,0.03,0.1,0.02,0.05
15.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
15.0,Radiography,0.8,0.03,0.1,0.02,0.05
16.0,Clinical,0.8,0.03,0.1,0.02,0.05
16.0,DCSA,0.8,0.03,0.1,0.02,0.05
16.0,Dental,0.8,0.03,0.1,0.02,0.05
16.0,Laboratory,0.8,0.03,0.1,0.02,0.05
16.0,Mental,0.8,0.03,0.1,0.02,0.05
16.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
16.0,Nutrition,0.8,0.03,0.1,0.02,0.05
16.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
16.0,Radiography,0.8,0.03,0.1,0.02,0.05
17.0,Clinical,0.8,0.03,0.1,0.02,0.05
17.0,DCSA,0.8,0.03,0.1,0.02,0.05
17.0,Dental,0.8,0.03,0.1,0.02,0.05
17.0,Laboratory,0.8,0.03,0.1,0.02,0.05
17.0,Mental,0.8,0.03,0.1,0.02,0.05
17.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
17.0,Nutrition,0.8,0.03,0.1,0.02,0.05
17.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
17.0,Radiography,0.8,0.03,0.1,0.02,0.05
18.0,Clinical,0.8,0.03,0.1,0.02,0.05
18.0,DCSA,0.8,0.03,0.1,0.02,0.05
18.0,Dental,0.8,0.03,0.1,0.02,0.05
18.0,Laboratory,0.8,0.03,0.1,0.02,0.05
18.0,Mental,0.8,0.03,0.1,0.02,0.05
18.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
18.0,Nutrition,0.8,0.03,0.1,0.02,0.05
18.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
18.0,Radiography,0.8,0.03,0.1,0.02,0.05
19.0,Clinical,0.8,0.03,0.1,0.02,0.05
19.0,DCSA,0.8,0.03,0.1,0.02,0.05
19.0,Dental,0.8,0.03,0.1,0.02,0.05
19.0,Laboratory,0.8,0.03,0.1,0.02,0.05
19.0,Mental,0.8,0.03,0.1,0.02,0.05
19.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
19.0,Nutrition,0.8,0.03,0.1,0.02,0.05
19.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
19.0,Radiography,0.8,0.03,0.1,0.02,0.05
20.0,Clinical,0.8,0.03,0.1,0.02,0.05
20.0,DCSA,0.8,0.03,0.1,0.02,0.05
20.0,Dental,0.8,0.03,0.1,0.02,0.05
20.0,Laboratory,0.8,0.03,0.1,0.02,0.05
20.0,Mental,0.8,0.03,0.1,0.02,0.05
20.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
20.0,Nutrition,0.8,0.03,0.1,0.02,0.05
20.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
20.0,Radiography,0.8,0.03,0.1,0.02,0.05
21.0,Clinical,0.8,0.03,0.1,0.02,0.05
21.0,DCSA,0.8,0.03,0.1,0.02,0.05
21.0,Dental,0.8,0.03,0.1,0.02,0.05
21.0,Laboratory,0.8,0.03,0.1,0.02,0.05
21.0,Mental,0.8,0.03,0.1,0.02,0.05
21.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
21.0,Nutrition,0.8,0.03,0.1,0.02,0.05
21.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
21.0,Radiography,0.8,0.03,0.1,0.02,0.05
22.0,Clinical,0.8,0.03,0.1,0.02,0.05
22.0,DCSA,0.8,0.03,0.1,0.02,0.05
22.0,Dental,0.8,0.03,0.1,0.02,0.05
22.0,Laboratory,0.8,0.03,0.1,0.02,0.05
22.0,Mental,0.8,0.03,0.1,0.02,0.05
22.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
22.0,Nutrition,0.8,0.03,0.1,0.02,0.05
22.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
22.0,Radiography,0.8,0.03,0.1,0.02,0.05
23.0,Clinical,0.8,0.03,0.1,0.02,0.05
23.0,DCSA,0.8,0.03,0.1,0.02,0.05
23.0,Dental,0.8,0.03,0.1,0.02,0.05
23.0,Laboratory,0.8,0.03,0.1,0.02,0.05
23.0,Mental,0.8,0.03,0.1,0.02,0.05
23.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
23.0,Nutrition,0.8,0.03,0.1,0.02,0.05
23.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
23.0,Radiography,0.8,0.03,0.1,0.02,0.05
24.0,Clinical,0.8,0.03,0.1,0.02,0.05
24.0,DCSA,0.8,0.03,0.1,0.02,0.05
24.0,Dental,0.8,0.03,0.1,0.02,0.05
24.0,Laboratory,0.8,0.03,0.1,0.02,0.05
24.0,Mental,0.8,0.03,0.1,0.02,0.05
24.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
24.0,Nutrition,0.8,0.03,0.1,0.02,0.05
24.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
24.0,Radiography,0.8,0.03,0.1,0.02,0.05
25.0,Clinical,0.8,0.03,0.1,0.02,0.05
25.0,DCSA,0.8,0.03,0.1,0.02,0.05
25.0,Dental,0.8,0.03,0.1,0.02,0.05
25.0,Laboratory,0.8,0.03,0.1,0.02,0.05
25.0,Mental,0.8,0.03,0.1,0.02,0.05
25.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
25.0,Nutrition,0.8,0.03,0.1,0.02,0.05
25.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
25.0,Radiography,0.8,0.03,0.1,0.02,0.05
26.0,Clinical,0.8,0.03,0.1,0.02,0.05
26.0,DCSA,0.8,0.03,0.1,0.02,0.05
26.0,Dental,0.8,0.03,0.1,0.02,0.05
26.0,Laboratory,0.8,0.03,0.1,0.02,0.05
26.0,Mental,0.8,0.03,0.1,0.02,0.05
26.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
26.0,Nutrition,0.8,0.03,0.1,0.02,0.05
26.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
26.0,Radiography,0.8,0.03,0.1,0.02,0.05
27.0,Clinical,0.8,0.03,0.1,0.02,0.05
27.0,DCSA,0.8,0.03,0.1,0.02,0.05
27.0,Dental,0.8,0.03,0.1,0.02,0.05
27.0,Laboratory,0.8,0.03,0.1,0.02,0.05
27.0,Mental,0.8,0.03,0.1,0.02,0.05
27.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
27.0,Nutrition,0.8,0.03,0.1,0.02,0.05
27.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
27.0,Radiography,0.8,0.03,0.1,0.02,0.05
28.0,Clinical,0.8,0.03,0.1,0.02,0.05
28.0,DCSA,0.8,0.03,0.1,0.02,0.05
28.0,Dental,0.8,0.03,0.1,0.02,0.05
28.0,Laboratory,0.8,0.03,0.1,0.02,0.05
28.0,Mental,0.8,0.03,0.1,0.02,0.05
28.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
28.0,Nutrition,0.8,0.03,0.1,0.02,0.05
28.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
28.0,Radiography,0.8,0.03,0.1,0.02,0.05
29.0,Clinical,0.8,0.03,0.1,0.02,0.05
29.0,DCSA,0.8,0.03,0.1,0.02,0.05
29.0,Dental,0.8,0.03,0.1,0.02,0.05
29.0,Laboratory,0.8,0.03,0.1,0.02,0.05
29.0,Mental,0.8,0.03,0.1,0.02,0.05
29.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
29.0,Nutrition,0.8,0.03,0.1,0.02,0.05
29.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
29.0,Radiography,0.8,0.03,0.1,0.02,0.05
30.0,Clinical,0.8,0.03,0.1,0.02,0.05
30.0,DCSA,0.8,0.03,0.1,0.02,0.05
30.0,Dental,0.8,0.03,0.1,0.02,0.05
30.0,Laboratory,0.8,0.03,0.1,0.02,0.05
30.0,Mental,0.8,0.03,0.1,0.02,0.05
30.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
30.0,Nutrition,0.8,0.03,0.1,0.02,0.05
30.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
30.0,Radiography,0.8,0.03,0.1,0.02,0.05
31.0,Clinical,0.8,0.03,0.1,0.02,0.05
31.0,DCSA,0.8,0.03,0.1,0.02,0.05
31.0,Dental,0.8,0.03,0.1,0.02,0.05
31.0,Laboratory,0.8,0.03,0.1,0.02,0.05
31.0,Mental,0.8,0.03,0.1,0.02,0.05
31.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
31.0,Nutrition,0.8,0.03,0.1,0.02,0.05
31.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
31.0,Radiography,0.8,0.03,0.1,0.02,0.05
32.0,Clinical,0.8,0.03,0.1,0.02,0.05
32.0,DCSA,0.8,0.03,0.1,0.02,0.05
32.0,Dental,0.8,0.03,0.1,0.02,0.05
32.0,Laboratory,0.8,0.03,0.1,0.02,0.05
32.0,Mental,0.8,0.03,0.1,0.02,0.05
32.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
32.0,Nutrition,0.8,0.03,0.1,0.02,0.05
32.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
32.0,Radiography,0.8,0.03,0.1,0.02,0.05
33.0,Clinical,0.8,0.03,0.1,0.02,0.05
33.0,DCSA,0.8,0.03,0.1,0.02,0.05
33.0,Dental,0.8,0.03,0.1,0.02,0.05
33.0,Laboratory,0.8,0.03,0.1,0.02,0.05
33.0,Mental,0.8,0.03,0.1,0.02,0.05
33.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
33.0,Nutrition,0.8,0.03,0.1,0.02,0.05
33.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
33.0,Radiography,0.8,0.03,0.1,0.02,0.05
34.0,Clinical,0.8,0.03,0.1,0.02,0.05
34.0,DCSA,0.8,0.03,0.1,0.02,0.05
34.0,Dental,0.8,0.03,0.1,0.02,0.05
34.0,Laboratory,0.8,0.03,0.1,0.02,0.05
34.0,Mental,0.8,0.03,0.1,0.02,0.05
34.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
34.0,Nutrition,0.8,0.03,0.1,0.02,0.05
34.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
34.0,Radiography,0.8,0.03,0.1,0.02,0.05
35.0,Clinical,0.8,0.03,0.1,0.02,0.05
35.0,DCSA,0.8,0.03,0.1,0.02,0.05
35.0,Dental,0.8,0.03,0.1,0.02,0.05
35.0,Laboratory,0.8,0.03,0.1,0.02,0.05
35.0,Mental,0.8,0.03,0.1,0.02,0.05
35.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
35.0,Nutrition,0.8,0.03,0.1,0.02,0.05
35.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
35.0,Radiography,0.8,0.03,0.1,0.02,0.05
36.0,Clinical,0.8,0.03,0.1,0.02,0.05
36.0,DCSA,0.8,0.03,0.1,0.02,0.05
36.0,Dental,0.8,0.03,0.1,0.02,0.05
36.0,Laboratory,0.8,0.03,0.1,0.02,0.05
36.0,Mental,0.8,0.03,0.1,0.02,0.05
36.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
36.0,Nutrition,0.8,0.03,0.1,0.02,0.05
36.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
36.0,Radiography,0.8,0.03,0.1,0.02,0.05
37.0,Clinical,0.8,0.03,0.1,0.02,0.05
37.0,DCSA,0.8,0.03,0.1,0.02,0.05
37.0,Dental,0.8,0.03,0.1,0.02,0.05
37.0,Laboratory,0.8,0.03,0.1,0.02,0.05
37.0,Mental,0.8,0.03,0.1,0.02,0.05
37.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
37.0,Nutrition,0.8,0.03,0.1,0.02,0.05
37.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
37.0,Radiography,0.8,0.03,0.1,0.02,0.05
38.0,Clinical,0.8,0.03,0.1,0.02,0.05
38.0,DCSA,0.8,0.03,0.1,0.02,0.05
38.0,Dental,0.8,0.03,0.1,0.02,0.05
38.0,Laboratory,0.8,0.03,0.1,0.02,0.05
38.0,Mental,0.8,0.03,0.1,0.02,0.05
38.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
38.0,Nutrition,0.8,0.03,0.1,0.02,0.05
38.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
38.0,Radiography,0.8,0.03,0.1,0.02,0.05
39.0,Clinical,0.8,0.03,0.1,0.02,0.05
39.0,DCSA,0.8,0.03,0.1,0.02,0.05
39.0,Dental,0.8,0.03,0.1,0.02,0.05
39.0,Laboratory,0.8,0.03,0.1,0.02,0.05
39.0,Mental,0.8,0.03,0.1,0.02,0.05
39.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
39.0,Nutrition,0.8,0.03,0.1,0.02,0.05
39.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
39.0,Radiography,0.8,0.03,0.1,0.02,0.05
40.0,Clinical,0.8,0.03,0.1,0.02,0.05
40.0,DCSA,0.8,0.03,0.1,0.02,0.05
40.0,Dental,0.8,0.03,0.1,0.02,0.05
40.0,Laboratory,0.8,0.03,0.1,0.02,0.05
40.0,Mental,0.8,0.03,0.1,0.02,0.05
40.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
40.0,Nutrition,0.8,0.03,0.1,0.02,0.05
40.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
40.0,Radiography,0.8,0.03,0.1,0.02,0.05
41.0,Clinical,0.8,0.03,0.1,0.02,0.05
41.0,DCSA,0.8,0.03,0.1,0.02,0.05
41.0,Dental,0.8,0.03,0.1,0.02,0.05
41.0,Laboratory,0.8,0.03,0.1,0.02,0.05
41.0,Mental,0.8,0.03,0.1,0.02,0.05
41.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
41.0,Nutrition,0.8,0.03,0.1,0.02,0.05
41.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
41.0,Radiography,0.8,0.03,0.1,0.02,0.05
42.0,Clinical,0.8,0.03,0.1,0.02,0.05
42.0,DCSA,0.8,0.03,0.1,0.02,0.05
42.0,Dental,0.8,0.03,0.1,0.02,0.05
42.0,Laboratory,0.8,0.03,0.1,0.02,0.05
42.0,Mental,0.8,0.03,0.1,0.02,0.05
42.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
42.0,Nutrition,0.8,0.03,0.1,0.02,0.05
42.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
42.0,Radiography,0.8,0.03,0.1,0.02,0.05
43.0,Clinical,0.8,0.03,0.1,0.02,0.05
43.0,DCSA,0.8,0.03,0.1,0.02,0.05
43.0,Dental,0.8,0.03,0.1,0.02,0.05
43.0,Laboratory,0.8,0.03,0.1,0.02,0.05
43.0,Mental,0.8,0.03,0.1,0.02,0.05
43.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
43.0,Nutrition,0.8,0.03,0.1,0.02,0.05
43.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
43.0,Radiography,0.8,0.03,0.1,0.02,0.05
44.0,Clinical,0.8,0.03,0.1,0.02,0.05
44.0,DCSA,0.8,0.03,0.1,0.02,0.05
44.0,Dental,0.8,0.03,0.1,0.02,0.05
44.0,Laboratory,0.8,0.03,0.1,0.02,0.05
44.0,Mental,0.8,0.03,0.1,0.02,0.05
44.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
44.0,Nutrition,0.8,0.03,0.1,0.02,0.05
44.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
44.0,Radiography,0.8,0.03,0.1,0.02,0.05
45.0,Clinical,0.8,0.03,0.1,0.02,0.05
45.0,DCSA,0.8,0.03,0.1,0.02,0.05
45.0,Dental,0.8,0.03,0.1,0.02,0.05
45.0,Laboratory,0.8,0.03,0.1,0.02,0.05
45.0,Mental,0.8,0.03,0.1,0.02,0.05
45.0,Nursing_and_Midwifery,0.8,0.03,0.1,0.02,0.05
45.0,Nutrition,0.8,0.03,0.1,0.02,0.05
45.0,Pharmacy,0.8,0.03,0.1,0.02,0.05
