Region,District,Year,value,prior_label,prior_min,prior_max,prior_note,reference
Central Region,Ntcheu,2012,0,local,0,1,vague prior,MAP
Central Region,Ntcheu,2013,0,local,0,1,vague prior,MAP
Central Region,Ntcheu,2014,0,local,0,1,vague prior,MAP
Central Region,Ntcheu,2015,0,local,0,1,vague prior,MAP
Central Region,Ntcheu,2016,0,local,0,1,vague prior,MAP
Central Region,Ntcheu,2017,0,local,0,1,vague prior,MAP
Central Region,Ntcheu,2018,0,local,0,1,vague prior,MAP
Central Region,Ntchisi,2010,0,local,0,1,vague prior,MAP
Central Region,Ntchisi,2011,0,local,0,1,vague prior,MAP
Central Region,Ntchisi,2012,0,local,0,1,vague prior,MAP
Central Region,Ntchisi,2013,0,local,0,1,vague prior,MAP
Central Region,Ntchisi,2014,0,local,0,1,vague prior,MAP
Central Region,Ntchisi,2015,0,local,0,1,vague prior,MAP
Central Region,Ntchisi,2016,0,local,0,1,vague prior,MAP
Central Region,Ntchisi,2017,0,local,0,1,vague prior,MAP
Central Region,Ntchisi,2018,0,local,0,1,vague prior,MAP
Southern Region,Phalombe,2010,0,local,0,1,vague prior,MAP
Southern Region,Phalombe,2011,0,local,0,1,vague prior,MAP
Southern Region,Phalombe,2012,0,local,0,1,vague prior,MAP
Southern Region,Phalombe,2013,0,local,0,1,vague prior,MAP
Southern Region,Phalombe,2014,0,local,0,1,vague prior,MAP
Southern Region,Phalombe,2015,0,local,0,1,vague prior,MAP
Southern Region,Phalombe,2016,0,local,0,1,vague prior,MAP
Southern Region,Phalombe,2017,0,local,0,1,vague prior,MAP
Southern Region,Phalombe,2018,0,local,0,1,vague prior,MAP
Northern Region,Rumphi,2010,0,local,0,1,vague prior,MAP
Northern Region,Rumphi,2011,0,local,0,1,vague prior,MAP
Northern Region,Rumphi,2012,0,local,0,1,vague prior,MAP
Northern Region,Rumphi,2013,0,local,0,1,vague prior,MAP
Northern Region,Rumphi,2014,0,local,0,1,vague prior,MAP
Northern Region,Rumphi,2015,0,local,0,1,vague prior,MAP
Northern Region,Rumphi,2016,0,local,0,1,vague prior,MAP
Northern Region,Rumphi,2017,0,local,0,1,vague prior,MAP
Northern Region,Rumphi,2018,0,local,0,1,vague prior,MAP
Central Region,Salima,2010,0.335071467,local,0,1,vague prior,MAP
Central Region,Salima,2011,0,local,0,1,vague prior,MAP
Central Region,Salima,2012,0.535895245,local,0,1,vague prior,MAP
Central Region,Salima,2013,0.501379614,local,0,1,vague prior,MAP
Central Region,Salima,2014,0,local,0,1,vague prior,MAP
Central Region,Salima,2015,0,local,0,1,vague prior,MAP
Central Region,Salima,2016,0,local,0,1,vague prior,MAP
Central Region,Salima,2017,0,local,0,1,vague prior,MAP
Central Region,Salima,2018,0,local,0,1,vague prior,MAP
Southern Region,Thyolo,2010,0,local,0,1,vague prior,MAP
Southern Region,Thyolo,2011,0,local,0,1,vague prior,MAP
Southern Region,Thyolo,2012,0,local,0,1,vague prior,MAP
Southern Region,Thyolo,2013,0,local,0,1,vague prior,MAP
Southern Region,Thyolo,2014,0,local,0,1,vague prior,MAP
Southern Region,Thyolo,2015,0,local,0,1,vague prior,MAP
Southern Region,Thyolo,2016,0,local,0,1,vague prior,MAP
Southern Region,Thyolo,2017,0,local,0,1,vague prior,MAP
Southern Region,Thyolo,2018,0,local,0,1,vague prior,MAP
Southern Region,Zomba,2010,0,local,0,1,vague prior,MAP
Southern Region,Zomba,2011,0,local,0,1,vague prior,MAP
Southern Region,Zomba,2012,0,local,0,1,vague prior,MAP
Southern Region,Zomba,2013,0,local,0,1,vague prior,MAP
Southern Region,Zomba,2014,0,local,0,1,vague prior,MAP
Southern Region,Zomba,2015,0,local,0,1,vague prior,MAP
Southern Region,Zomba,2016,0,local,0,1,vague prior,MAP
Southern Region,Zomba,2017,0,local,0,1,vague prior,MAP
Southern Region,Zomba,2018,0,local,0,1,vague prior,MAP
Southern Region,Zomba City,2010,0,local,0,1,vague prior,MAP
Southern Region,Zomba City,2011,0,local,0,1,vague prior,MAP
Southern Region,Zomba City,2012,0,local,0,1,vague prior,MAP
Southern Region,Zomba City,2013,0,local,0,1,vague prior,MAP
Southern Region,Zomba City,2014,0,local,0,1,vague prior,MAP
Southern Region,Zomba City,2015,0,local,0,1,vague prior,MAP
Southern Region,Zomba City,2016,0,local,0,1,vague prior,MAP
Southern Region,Zomba City,2017,0,local,0,1,vague prior,MAP
Southern Region,Zomba City,2018,0,local,0,1,vague prior,MAP
