District,Year,value,prior_label,prior_min,prior_max,prior_note,reference
Mchinji,2012,0.386611621,local,0,1,vague prior,MAP 
Mchinji,2013,0.494746812,local,0,1,vague prior,MAP 
Mchinji,2014,0.491412579,local,0,1,vague prior,MAP 
Mchinji,2015,0.519165753,local,0,1,vague prior,MAP 
Mchinji,2016,0.686686329,local,0,1,vague prior,MAP 
Mchinji,2017,0.53758319,local,0,1,vague prior,MAP 
Mchinji,2018,0.566874031,local,0,1,vague prior,MAP 
Mulanje,2010,0.424577485,local,0,1,vague prior,MAP 
Mulanje,2011,0.207422482,local,0,1,vague prior,MAP 
Mulanje,2012,0.376601792,local,0,1,vague prior,MAP 
Mulanje,2013,0.599515304,local,0,1,vague prior,MAP 
Mulanje,2014,0.435491889,local,0,1,vague prior,MAP 
Mulanje,2015,0.313186146,local,0,1,vague prior,MAP 
Mulanje,2016,0.570446801,local,0,1,vague prior,MAP 
Mulanje,2017,0.566460854,local,0,1,vague prior,MAP 
Mulanje,2018,0.641328306,local,0,1,vague prior,MAP 
Mwanza,2010,0.510063517,local,0,1,vague prior,MAP 
Mwanza,2011,0.242335765,local,0,1,vague prior,MAP 
Mwanza,2012,0.322211696,local,0,1,vague prior,MAP 
Mwanza,2013,0.51158995,local,0,1,vague prior,MAP 
Mwanza,2014,0.505846525,local,0,1,vague prior,MAP 
Mwanza,2015,0.52230185,local,0,1,vague prior,MAP 
Mwanza,2016,0.718755508,local,0,1,vague prior,MAP 
Mwanza,2017,0.615649109,local,0,1,vague prior,MAP 
Mwanza,2018,0.656704821,local,0,1,vague prior,MAP 
Mzimba,2010,0.25303633,local,0,1,vague prior,MAP 
Mzimba,2011,0.248646038,local,0,1,vague prior,MAP 
Mzimba,2012,0.463345917,local,0,1,vague prior,MAP 
Mzimba,2013,0.650647089,local,0,1,vague prior,MAP 
Mzimba,2014,0.495089867,local,0,1,vague prior,MAP 
Mzimba,2015,0.352556468,local,0,1,vague prior,MAP 
Mzimba,2016,0.56307411,local,0,1,vague prior,MAP 
Mzimba,2017,0.495704816,local,0,1,vague prior,MAP 
Mzimba,2018,0.554878613,local,0,1,vague prior,MAP 
Mzuzu City,2010,0.25303633,local,0,1,vague prior,MAP 
Mzuzu City,2011,0.248646038,local,0,1,vague prior,MAP 
Mzuzu City,2012,0.463345917,local,0,1,vague prior,MAP 
Mzuzu City,2013,0.650647089,local,0,1,vague prior,MAP 
Mzuzu City,2014,0.495089867,local,0,1,vague prior,MAP 
Mzuzu City,2015,0.352556468,local,0,1,vague prior,MAP 
Mzuzu City,2016,0.56307411,local,0,1,vague prior,MAP 
Mzuzu City,2017,0.495704816,local,0,1,vague prior,MAP 
Mzuzu City,2018,0.554878613,local,0,1,vague prior,MAP 
Neno,2010,0.514209984,local,0,1,vague prior,MAP 
Neno,2011,0.251517041,local,0,1,vague prior,MAP 
Neno,2012,0.385390557,local,0,1,vague prior,MAP 
Neno,2013,0.611444234,local,0,1,vague prior,MAP 
Neno,2014,0.554045819,local,0,1,vague prior,MAP 
Neno,2015,0.507169866,local,0,1,vague prior,MAP 
Neno,2016,0.697608421,local,0,1,vague prior,MAP 
Neno,2017,0.604436063,local,0,1,vague prior,MAP 
Neno,2018,0.649193915,local,0,1,vague prior,MAP 
Nkhata Bay,2010,0.371623949,local,0,1,vague prior,MAP 
Nkhata Bay,2011,0.376911357,local,0,1,vague prior,MAP 
Nkhata Bay,2012,0.595821586,local,0,1,vague prior,MAP 
Nkhata Bay,2013,0.738536725,local,0,1,vague prior,MAP 
Nkhata Bay,2014,0.544700092,local,0,1,vague prior,MAP 
Nkhata Bay,2015,0.376116102,local,0,1,vague prior,MAP 
