Year,Fevers U5,Attendance U5 Public,Attendance U5 Private,Attendance O5 Public,Attendance O5 Private,Tested U5 Public,Tested U5 Private,Tested O5 Public,Tested O5 Private,Tested_Positive_Public,Tested Positive Private,Tested Negative Public,Tested Negative Private,Untested Received AM Public,Untested Received AM Private,Tested Positive Received AM Public,Tested Positive Received AM Private,Tested Negative Received AM Public,Tested Negative Received AM Private,RDT_Consumption_Public,AM Consumption Public,ACT Consumption Public,RDT Percent Change from Baseline (2021) Public,AM Public Percent Change from Baseline (2021) Public,ACT Public Percent Change from Baseline (2021) Public,RDT Consumption Private,AM Consumption Private,ACT Consumption Private,RDT Percent Change from Baseline (2021) Private,AM Public Percent Change from Baseline (2021) Private,ACT Public Percent Change from Baseline (2021) Private,TotalRDTConsumption
2020,25054592.02,10125888.48119,3230017.33054,15636255.20511,5712320.70664,8664184.22825,1583762.55905999,13379111.96522,2800901.27534,7980097.0519,1588405.50983,14063199.14157,2796258.32456,1274205.65478,1561616.67104,7372592.35547,1467484.19763,1611940.67731,760792.95452,21894892.61808,10258738.68756,10038373.2192,,,,4355144.6652,3789893.82318,3259196.04304,,,,26250037.28328
2021,25363589.62,10240237.29367,3272594.40662,15811793.35273,5787618.7278,8766484.19017,1604532.42456999,13536193.78827,2837633.00793,8073995.56253,1609236.26419,14228682.41591,2832929.16831,1283669.99441,1581086.0681,7456215.93976,1486105.97949,1624333.2176,770182.2559,22145240.45441,10364219.15177,10143122.57178,,,,4410807.60508,3837374.30349,3300039.25048,,,,26556048.059490003
2022,25893608.68,10443472.35823,3343779.95854,16124545.03739,5913511.14899,8945016.33454,1639325.13312,13810954.2304499,2899164.29062,8238093.39677,1644130.97088,14517877.16821,2894358.45287,1304130.3592,1614338.1255,7604567.65556,1517694.03434,1650638.43019,786282.22124,22587897.3748,10559336.44495,10335641.07068,1.99888062313565,1.88260485737295,1.89802003808591,4504968.6212,3918314.38108,3369657.19823,2.13477949053032,2.10925677790637,2.1096096884264,27092865.996
2023,26470440.2,10665128.2616,3421130.28458,16465692.80897,6050306.04013,9139511.21172,1677135.34318,14110321.0711699,2966032.05749,8416877.90666,1682052.02516,14832954.37623,2961115.3755,1326693.46194,1650515.67126,7766343.83067,1552047.50661,1679607.1534,803802.89114,23070514.29205,10772644.44602,10546025.39234,4.17820632629771,3.94072421925051,3.97217738136133,4607356.24128,4006366.06901,3445391.46406,4.45606913286426,4.40383846231279,4.4045601445152,27677870.53333
2024,27058331.58,10890756.55187,3500035.91095,16812925.67561,6189851.49679,9337604.94796,1715702.9065,14415202.2157999,3034239.21183,8598961.42688,1720732.65297,15153845.73686,3029209.46535,1349542.7996,1687390.13211,7931024.29134,1587072.18141,1708940.34781,821658.55247,23561848.35599,10989507.43876,10759953.61884,6.39689555187419,6.03314420347058,6.08127371718976,4711755.3357,4096120.866,3522590.89673,6.82296208688388,6.74280229256437,6.74390906767637,28273603.691689998
2025,27635197.19,11111463.33678,3577641.22724,17152512.97386,6327097.34095,9531673.34203,1753627.95578,14713827.12666,3101310.07312,8777322.69707,1758768.88315,15468177.77162,3096169.14575,1371575.23351,1723584.17129,8092132.05041,1621472.80438,1737240.28017,839178.48234,24042658.15418,11200947.56409,10968635.67452,8.56806095050617,8.07324121641237,8.13864859561815,4814320.72476,4184235.45801,3598380.31104,9.14828203377691,9.03902322493113,9.04053066994902,28856978.87894
2026,28339054.72,11382698.70422,3671825.28888,17570047.42638,6493662.8762,9769300.48845,1799673.68931,15079646.5201199,3182742.45263,8995778.56142,1804949.60413,15853168.44716,3177466.53781,1399616.37483,1767706.52262,8290050.80147,1663349.51558,1773152.75606,860553.70372,24632936.42719,11462819.93237,11226774.07539,11.2335469009757,10.5999377716012,10.6836084838895,4939104.26208,4291609.74191,3690733.3552,11.9773226198202,11.83714181874,11.839074479589,29572040.689269997
2027,28890537.36,11592209.64807,3746402.17138,17892253.93342,6625552.90232,9954161.38749,1836103.8384,15363971.89546,3247169.5667,9165629.58859,1841486.55168,16152503.69436,3241786.85343,1419845.22905,1802331.76371,8443027.44057,1696306.98437,1799168.56241,877300.80041,25089771.05512,11662041.23203,11423619.81418,13.296448989894,12.5221404647581,12.6242903340493,5037423.75156,4375939.54848,3763268.99261,14.2063812930383,14.0347331898321,14.0370979545962,30127194.806679998
2028,29335068.57,11758393.12484,3807217.69839,18147544.65261,6733105.82191,10101980.79532,1865785.15775,15591088.47751,3299661.30209,9301360.17089,1871254.88463,16391709.10193,3294191.57521,1434595.09809,1830290.28211,8564455.29375,1723003.78742,1818237.85482,890799.04356,25452929.68068,11817288.24666,11577442.77631,14.9363436946168,14.0200537407764,14.140815063406,5117167.75117,4444093.11308,3821893.65939,16.0143041668032,15.8107800179462,15.813581878885,30570097.43185
2029,29741171.75,11908820.20299,3863137.82699,18378482.33762,6832001.17629,10236401.24486,1893063.60286,15797494.31704,3347903.52836,9424742.3245,1898613.29911,16609153.23741,3342353.83211,1447278.95611,1855855.36793,8674412.68676,1747459.47656,1834682.26807,903129.18914,25782063.52608,11956373.91094,11715475.98481,16.4225946390469,15.3620329313288,15.5016702391487,5190270.01526,4506444.03362,3875528.47466,17.6716483684819,17.4356129273471,17.4388599801136,30972333.54134
2030,30162790.96,12065116.384,3921162.8248,18618443.43171,6934619.0147,10376000.09024,1921369.78415,16011861.35127,3397963.31721,9552881.15617,1927002.46267,16834980.28534,3392330.63869,1460537.44722,1882392.57097,8788650.66368,1772842.26565,1851847.83139,915929.27245,26123982.82709,12101035.94229,11859015.22345,17.9665801365804,16.7578161469442,16.9168087985441,5266139.77034,4571164.10907,3931201.1338,19.3917359776676,19.1221847947602,19.1258901914029,31390122.59743
