Module,Event,Treatment,Facility level,Appointment footprint,Bed days footprint
OtherAdultCancer,HSI_OtherAdultCancer_PalliativeCare,OtherAdultCancer_PalliativeCare,2,,general_bed (15 days)
OtherAdultCancer,HSI_OtherAdultCancer_StartTreatment,OtherAdultCancer_Treatment,3,MajorSurg,general_bed (5 days)
OtherAdultCancer,HSI_OtherAdultCancer_PostTreatmentCheck,OtherAdultCancer_Treatment,3,Over5OPD,
PostnatalSupervisor,HSI_PostnatalSupervisor_TreatmentForObstetricFistula,PostnatalCare_TreatmentForObstetricFistula,1b,MajorSurg,general_bed (5 days)
ProstateCancer,HSI_ProstateCancer_Investigation_Following_Pelvic_Pain,ProstateCancer_Investigation,1b,Over5OPD,
ProstateCancer,HSI_ProstateCancer_Investigation_Following_psa_positive,ProstateCancer_Investigation,1b,Over5OPD,
ProstateCancer,HSI_ProstateCancer_Investigation_Following_Urinary_Symptoms,ProstateCancer_Investigation,1b,Over5OPD,
ProstateCancer,HSI_ProstateCancer_PalliativeCare,ProstateCancer_PalliativeCare,2,,general_bed (15 days)
ProstateCancer,HSI_ProstateCancer_StartTreatment,ProstateCancer_Treatment,3,MajorSurg,general_bed (5 days)
ProstateCancer,HSI_ProstateCancer_PostTreatmentCheck,ProstateCancer_Treatment,3,Over5OPD,
RTI,HSI_RTI_Acute_Pain_Management,Rti_AcutePainManagement,1b,Over5OPD,
RTI,HSI_RTI_Burn_Management,Rti_BurnManagement,1b,MinorSurg,general_bed (1 days)
RTI,HSI_RTI_Fracture_Cast,Rti_FractureCast,1b,AccidentsandEmerg,
RTI,HSI_RTI_Imaging_Event,Rti_Imaging,1b,DiagRadio,
RTI,HSI_RTI_Major_Surgeries,Rti_MajorSurgeries,1b,MajorSurg,
RTI,HSI_RTI_Medical_Intervention,Rti_MedicalIntervention,1b,AccidentsandEmerg,general_bed (8 days)
RTI,HSI_RTI_Minor_Surgeries,Rti_MinorSurgeries,1b,MinorSurg,
RTI,HSI_RTI_Open_Fracture_Treatment,Rti_OpenFractureTreatment,1b,MinorSurg,
RTI,HSI_RTI_Shock_Treatment,Rti_ShockTreatment,1b,AccidentsandEmerg,
RTI,HSI_RTI_Suture,Rti_Suture,1b,Over5OPD,
RTI,HSI_RTI_Tetanus_Vaccine,Rti_TetanusVaccine,1b,EPI,
Schisto,HSI_Schisto_MDA,Schisto_MDA,0,ConWithDCSA,
Schisto,HSI_Schisto_TestingFollowingSymptoms,Schisto_Test,1a,LabParasit,
Schisto,HSI_Schisto_TreatmentFollowingDiagnosis,Schisto_Treatment,1a,Over5OPD,
Stunting,HSI_Stunting_ComplementaryFeeding,Undernutrition_Feeding,1a,U5Malnutr,
