Year,Sex,Age_Grp,Variant,Count
1994,F,60-64,GBD_Est,2554.7828157351105
1994,F,65-69,GBD_Est,2953.355301709509
1994,F,70-74,GBD_Est,3260.5315563606905
1994,F,75-79,GBD_Est,2638.3660472723654
1994,F,80-84,GBD_Est,1819.1755984221757
1994,F,85-89,GBD_Est,858.3361580410109
1994,F,90-94,GBD_Est,350.41289913474094
1994,M,0-4,GBD_Est,49423.508804778656
1994,M,10-14,GBD_Est,985.0431083147682
1994,M,15-19,GBD_Est,1236.1668318351024
1994,M,20-24,GBD_Est,1568.6942512800217
1994,M,25-29,GBD_Est,2539.7150664218066
1994,M,30-34,GBD_Est,3327.441527972311
1994,M,35-39,GBD_Est,3642.0864278212107
1994,M,40-44,GBD_Est,3519.7771806094715
1994,M,45-49,GBD_Est,3264.293822818479
1994,M,5-9,GBD_Est,1857.6605326956433
1994,M,50-54,GBD_Est,3153.158275199902
1994,M,55-59,GBD_Est,3038.398793772152
1994,M,60-64,GBD_Est,3497.672074959997
1994,M,65-69,GBD_Est,3776.302253838551
1994,M,70-74,GBD_Est,3707.0998273861514
1994,M,75-79,GBD_Est,2693.6121723659703
1994,M,80-84,GBD_Est,1654.8106415379896
1994,M,85-89,GBD_Est,759.9780675728206
1994,M,90-94,GBD_Est,285.434524599194
1995,F,0-4,GBD_Est,42472.92531442517
1995,F,10-14,GBD_Est,734.3487129695335
1995,F,15-19,GBD_Est,1676.8220466584187
1995,F,20-24,GBD_Est,3535.8462756192457
1995,F,25-29,GBD_Est,4665.971042256355
1995,F,30-34,GBD_Est,4619.080824992098
1995,F,35-39,GBD_Est,3626.2579010942504
1995,F,40-44,GBD_Est,3119.1589531229934
1995,F,45-49,GBD_Est,3030.6632541183503
1995,F,5-9,GBD_Est,1615.6219248611196
1995,F,50-54,GBD_Est,2775.274318920501
1995,F,55-59,GBD_Est,2406.745744614812
1995,F,60-64,GBD_Est,2620.752802062793
1995,F,65-69,GBD_Est,2989.475045648114
1995,F,70-74,GBD_Est,3342.680324168276
1995,F,75-79,GBD_Est,2767.9962866683372
1995,F,80-84,GBD_Est,1893.7010357793513
1995,F,85-89,GBD_Est,908.1449634015331
1995,F,90-94,GBD_Est,362.939141380386
1995,M,0-4,GBD_Est,47821.847374249905
1995,M,10-14,GBD_Est,997.8571771655949
1995,M,15-19,GBD_Est,1272.0951793972883
1995,M,20-24,GBD_Est,1617.5743254856845
1995,M,25-29,GBD_Est,2682.083883120353
1995,M,30-34,GBD_Est,3667.71240496401
