al yearly usage of TBNotifiedAll (.csv)
=======================================

:download:`Download original .csv file from GitHub <https://github.com/UCL/TLOmodel/raw/master/resources/healthsystem/real_appt_usage_data/real_yearly_usage_of_TBNotifiedAll.csv>`

====  ======  ==============  ============  =======
  ..    Year    Facility\_ID  Appt\_Type      Usage
====  ======  ==============  ============  =======
 259    2013              33  TBNew               0
 260    2013              34  TBNew               0
 261    2013              35  TBNew               0
 262    2013              37  TBNew               0
 263    2013              38  TBNew               0
 264    2013              39  TBNew               0
 265    2013              41  TBNew               0
 266    2013              42  TBNew               0
 267    2013              45  TBNew               0
 268    2013              46  TBNew               0
 269    2013              47  TBNew               0
 270    2013              53  TBNew               0
 271    2013              55  TBNew               0
 272    2013              57  TBNew               0
 273    2013              58  TBNew               0
 274    2013              59  TBNew               0
 275    2013              61  TBNew               0
 276    2013              62  TBNew               0
 277    2013              63  TBNew               0
 278    2013              65  TBNew               0
 279    2013              66  TBNew               0
 280    2013              67  TBNew               0
 281    2013              69  TBNew               0
 282    2013              71  TBNew               0
 283    2013              73  TBNew               0
 284    2013              74  TBNew               0
 285    2013              75  TBNew               0
 286    2013              81  TBNew               0
 287    2013              83  TBNew               0
 288    2013              85  TBNew               0
 289    2013              86  TBNew               0
 290    2013              87  TBNew               0
 291    2013              89  TBNew               0
 292    2013              90  TBNew               0
 293    2013              91  TBNew               0
 294    2013              93  TBNew               0
 295    2013              94  TBNew               0
 296    2013              95  TBNew               0
 297    2013              97  TBNew               0
 298    2013              98  TBNew               0
 299    2013              99  TBNew               0
 300    2013             101  TBNew               0
 301    2013             103  TBNew               7
 302    2013             104  TBNew               0
 303    2013             105  TBNew               0
 304    2013             106  TBNew               0
 305    2013             109  TBNew               0
 306    2013             110  TBNew               0
 307    2013             111  TBNew               0
 308    2013             113  TBNew               0
 309    2013             115  TBNew               0
 310    2013             116  TBNew               0
 311    2013             117  TBNew               0
 312    2013             118  TBNew               0
 313    2013             119  TBNew               0
 314    2013             121  TBNew               0
 315    2013             122  TBNew               0
 316    2013             128  TBNew               0
 317    2013             129  TBNew               0
 318    2013             130  TBNew               0
 319    2013             131  TBNew               0
 320    2014               1  TBNew               2
 321    2014               3  TBNew               7
 322    2014               5  TBNew               0
 323    2014               6  TBNew               0
 324    2014              13  TBNew               0
 325    2014              14  TBNew               0
 326    2014              15  TBNew               0
 327    2014              17  TBNew               0
 328    2014              18  TBNew               0
 329    2014              19  TBNew               0
 330    2014              21  TBNew               0
 331    2014              22  TBNew               0
 332    2014              23  TBNew               0
 333    2014              25  TBNew               0
 334    2014              26  TBNew               0
 335    2014              27  TBNew               0
 336    2014              29  TBNew               0
 337    2014              30  TBNew               0
 338    2014              31  TBNew               0
 339    2014              33  TBNew               0
 340    2014              34  TBNew               2
 341    2014              35  TBNew              12
 342    2014              37  TBNew               0
 343    2014              38  TBNew               0
 344    2014              39  TBNew               0
 345    2014              41  TBNew               0
 346    2014              42  TBNew               0
 347    2014              45  TBNew               0
 348    2014              46  TBNew               0
 349    2014              47  TBNew               0
 350    2014              53  TBNew               0
 351    2014              55  TBNew               0
 352    2014              57  TBNew               0
 353    2014              58  TBNew               0
 354    2014              59  TBNew               0
 355    2014              61  TBNew               0
 356    2014              62  TBNew               0
 357    2014              63  TBNew               0
 358    2014              65  TBNew               0
 359    2014              66  TBNew               6
 360    2014              67  TBNew               0
 361    2014              69  TBNew               0
 362    2014              71  TBNew               0
 363    2014              73  TBNew               0
 364    2014              74  TBNew               0
 365    2014              75  TBNew               0
 366    2014              81  TBNew               0
 367    2014              83  TBNew               0
 368    2014              85  TBNew               0
 369    2014              86  TBNew               0
 370    2014              87  TBNew               0
 371    2014              89  TBNew               1
 372    2014              90  TBNew               0
 373    2014              91  TBNew               1
 374    2014              93  TBNew               0
 375    2014              94  TBNew               0
 376    2014              95  TBNew               0
 377    2014              97  TBNew               0
 378    2014              98  TBNew               0
 379    2014              99  TBNew               0
 380    2014             101  TBNew               0
 381    2014             103  TBNew               0
 382    2014             104  TBNew               0
 383    2014             105  TBNew               0
 384    2014             106  TBNew               0
 385    2014             109  TBNew               0
 386    2014             110  TBNew               0
 387    2014             111  TBNew               0
 388    2014             113  TBNew               0
 389    2014             115  TBNew              26
 390    2014             116  TBNew               0
 391    2014             117  TBNew               0
 392    2014             118  TBNew               0
 393    2014             119  TBNew               0
 394    2014             121  TBNew               0
 395    2014             122  TBNew               0
 396    2014             128  TBNew               0
 397    2014             129  TBNew               0
 398    2014             130  TBNew               0
 399    2014             131  TBNew               0
 400    2015               1  TBNew              52
 401    2015               3  TBNew               0
 402    2015               5  TBNew             340
 403    2015               6  TBNew               0
 404    2015              13  TBNew               0
 405    2015              14  TBNew               0
 406    2015              15  TBNew               0
 407    2015              17  TBNew               0
 408    2015              18  TBNew               0
 409    2015              19  TBNew               0
 410    2015              21  TBNew               0
 411    2015              22  TBNew               0
 412    2015              23  TBNew              31
 413    2015              25  TBNew               0
 414    2015              26  TBNew               0
 415    2015              27  TBNew              23
 416    2015              29  TBNew               2
 417    2015              30  TBNew              11
 418    2015              31  TBNew              37
 419    2015              33  TBNew               0
 420    2015              34  TBNew               1
 421    2015              35  TBNew              18
 422    2015              37  TBNew               0
 423    2015              38  TBNew               0
 424    2015              39  TBNew              24
 425    2015              41  TBNew               0
 426    2015              42  TBNew               0
 427    2015              45  TBNew               0
 428    2015              46  TBNew             330
 429    2015              47  TBNew             156
 430    2015              53  TBNew               8
 431    2015              55  TBNew              92
 432    2015              57  TBNew               8
 433    2015              58  TBNew              38
 434    2015              59  TBNew              67
 435    2015              61  TBNew               0
 436    2015              62  TBNew               0
 437    2015              63  TBNew              34
 438    2015              65  TBNew              25
 439    2015              66  TBNew              28
 440    2015              67  TBNew              17
 441    2015              69  TBNew               0
 442    2015              71  TBNew              13
 443    2015              73  TBNew              21
 444    2015              74  TBNew              86
 445    2015              75  TBNew              22
 446    2015              81  TBNew               3
 447    2015              83  TBNew              61
 448    2015              85  TBNew               2
 449    2015              86  TBNew               4
 450    2015              87  TBNew              24
 451    2015              89  TBNew               1
 452    2015              90  TBNew               1
 453    2015              91  TBNew               8
 454    2015              93  TBNew               0
 455    2015              94  TBNew               1
 456    2015              95  TBNew               0
 457    2015              97  TBNew               0
 458    2015              98  TBNew               0
 459    2015              99  TBNew               7
 460    2015             101  TBNew               0
 461    2015             103  TBNew              30
 462    2015             104  TBNew               0
 463    2015             105  TBNew               0
 464    2015             106  TBNew              31
 465    2015             109  TBNew               0
 466    2015             110  TBNew              10
 467    2015             111  TBNew               7
 468    2015             113  TBNew               0
 469    2015             115  TBNew              26
 470    2015             116  TBNew               0
 471    2015             117  TBNew               0
 472    2015             118  TBNew              18
 473    2015             119  TBNew              18
 474    2015             121  TBNew               0
 475    2015             122  TBNew               2
 476    2015             128  TBNew              59
 477    2015             129  TBNew             143
 478    2015             130  TBNew               0
 479    2015             131  TBNew               0
 480    2016               1  TBNew               4
 481    2016               3  TBNew               0
 482    2016               5  TBNew               0
 483    2016               6  TBNew               0
 484    2016              13  TBNew               0
 485    2016              14  TBNew               0
 486    2016              15  TBNew               0
 487    2016              17  TBNew               0
 488    2016              18  TBNew               0
 489    2016              19  TBNew               0
 490    2016              21  TBNew               0
 491    2016              22  TBNew               0
 492    2016              23  TBNew              12
 493    2016              25  TBNew               0
 494    2016              26  TBNew               0
 495    2016              27  TBNew               0
 496    2016              29  TBNew               0
 497    2016              30  TBNew               0
 498    2016              31  TBNew               0
 499    2016              33  TBNew               0
 500    2016              34  TBNew               0
 501    2016              35  TBNew               0
 502    2016              37  TBNew               0
 503    2016              38  TBNew               0
 504    2016              39  TBNew               0
 505    2016              41  TBNew               0
 506    2016              42  TBNew               0
 507    2016              45  TBNew             159
 508    2016              46  TBNew             109
 509    2016              47  TBNew             282
 510    2016              53  TBNew               0
 511    2016              55  TBNew               0
 512    2016              57  TBNew              16
 513    2016              58  TBNew              13
 514    2016              59  TBNew               0
 515    2016              61  TBNew               0
 516    2016              62  TBNew               0
 517    2016              63  TBNew               0
 518    2016              65  TBNew              16
 519    2016              66  TBNew               3
 520    2016              67  TBNew              16
 521    2016              69  TBNew               0
 522    2016              71  TBNew               0
 523    2016              73  TBNew               7
 524    2016              74  TBNew               5
 525    2016              75  TBNew               0
 526    2016              81  TBNew              61
 527    2016              83  TBNew              36
 528    2016              85  TBNew               0
 529    2016              86  TBNew               0
 530    2016              87  TBNew              10
 531    2016              89  TBNew               0
 532    2016              90  TBNew               0
 533    2016              91  TBNew               3
 534    2016              93  TBNew               0
 535    2016              94  TBNew               0
 536    2016              95  TBNew               0
 537    2016              97  TBNew               0
 538    2016              98  TBNew               0
 539    2016              99  TBNew               0
 540    2016             101  TBNew               0
 541    2016             103  TBNew               0
 542    2016             104  TBNew               0
 543    2016             105  TBNew               0
 544    2016             106  TBNew               0
 545    2016             109  TBNew               0
 546    2016             110  TBNew               0
 547    2016             111  TBNew               0
 548    2016             113  TBNew               3
 549    2016             115  TBNew               0
 550    2016             116  TBNew               0
 551    2016             117  TBNew               0
 552    2016             118  TBNew               3
 553    2016             119  TBNew              19
 554    2016             121  TBNew               4
 555    2016             122  TBNew               0
 556    2016             128  TBNew               0
 557    2016             129  TBNew              36
 558    2016             130  TBNew               0
 559    2016             131  TBNew               0
 560    2017               1  TBNew             303
 561    2017               3  TBNew             107
 562    2017               5  TBNew            1074
 563    2017               6  TBNew             229
 564    2017              13  TBNew             193
 565    2017              14  TBNew             206
 566    2017              15  TBNew             322
 567    2017              17  TBNew              84
 568    2017              18  TBNew             106
 569    2017              19  TBNew             290
 570    2017              21  TBNew              30
 571    2017              22  TBNew               0
 572    2017              23  TBNew             106
 573    2017              25  TBNew              77
 574    2017              26  TBNew              37
 575    2017              27  TBNew             176
 576    2017              29  TBNew              79
 577    2017              30  TBNew             102
 578    2017              31  TBNew              83
 579    2017              33  TBNew              21
 580    2017              34  TBNew              64
 581    2017              35  TBNew             115
 582    2017              37  TBNew              46
 583    2017              38  TBNew              35
 584    2017              39  TBNew             175
 585    2017              41  TBNew               0
 586    2017              42  TBNew              13
 587    2017              45  TBNew            1227
 588    2017              46  TBNew            1400
 589    2017              47  TBNew            1233
 590    2017              53  TBNew              55
 591    2017              55  TBNew             168
 592    2017              57  TBNew             140
 593    2017              58  TBNew             140
 594    2017              59  TBNew             362
 595    2017              61  TBNew              43
 596    2017              62  TBNew              89
 597    2017              63  TBNew             135
 598    2017              65  TBNew             299
 599    2017              66  TBNew             135
 600    2017              67  TBNew              83
 601    2017              69  TBNew              53
 602    2017              71  TBNew             262
 603    2017              73  TBNew             132
 604    2017              74  TBNew             350
 605    2017              75  TBNew              96
 606    2017              81  TBNew             134
 607    2017              83  TBNew              77
 608    2017              85  TBNew              39
 609    2017              86  TBNew              42
 610    2017              87  TBNew             107
 611    2017              89  TBNew              70
 612    2017              90  TBNew              21
 613    2017              91  TBNew             149
 614    2017              93  TBNew             204
 615    2017              94  TBNew             153
 616    2017              95  TBNew             353
 617    2017              97  TBNew              90
 618    2017              98  TBNew               6
 619    2017              99  TBNew             231
 620    2017             101  TBNew             199
 621    2017             103  TBNew              52
 622    2017             104  TBNew               0
 623    2017             105  TBNew              90
 624    2017             106  TBNew             148
 625    2017             109  TBNew               5
 626    2017             110  TBNew              62
 627    2017             111  TBNew              85
 628    2017             113  TBNew             106
 629    2017             115  TBNew             291
 630    2017             116  TBNew               0
 631    2017             117  TBNew             133
 632    2017             118  TBNew             145
 633    2017             119  TBNew             351
 634    2017             121  TBNew             190
 635    2017             122  TBNew             115
 636    2017             128  TBNew            1019
 637    2017             129  TBNew             369
 638    2017             130  TBNew             146
 639    2017             131  TBNew               0
 640    2018               1  TBNew             352
 641    2018               3  TBNew             102
 642    2018               5  TBNew             897
 643    2018               6  TBNew             266
 644    2018              13  TBNew             239
 645    2018              14  TBNew             236
 646    2018              15  TBNew             274
 647    2018              17  TBNew              90
 648    2018              18  TBNew             185
 649    2018              19  TBNew             225
 650    2018              21  TBNew              63
 651    2018              22  TBNew               0
 652    2018              23  TBNew             125
 653    2018              25  TBNew             133
 654    2018              26  TBNew              32
 655    2018              27  TBNew             175
 656    2018              29  TBNew              71
 657    2018              30  TBNew              99
 658    2018              31  TBNew              87
 659    2018              33  TBNew              70
 660    2018              34  TBNew             106
 661    2018              35  TBNew             144
 662    2018              37  TBNew              71
 663    2018              38  TBNew              20
