Year,Facility_ID,Appt_Type,Usage
2016,66,TBNew,3.0
2016,67,TBNew,16.0
2016,69,TBNew,0.0
2016,71,TBNew,0.0
2016,73,TBNew,7.0
2016,74,TBNew,5.0
2016,75,TBNew,0.0
2016,81,TBNew,61.0
2016,83,TBNew,36.0
2016,85,TBNew,0.0
2016,86,TBNew,0.0
2016,87,TBNew,10.0
2016,89,TBNew,0.0
2016,90,TBNew,0.0
2016,91,TBNew,3.0
2016,93,TBNew,0.0
2016,94,TBNew,0.0
2016,95,TBNew,0.0
2016,97,TBNew,0.0
2016,98,TBNew,0.0
2016,99,TBNew,0.0
2016,101,TBNew,0.0
2016,103,TBNew,0.0
2016,104,TBNew,0.0
2016,105,TBNew,0.0
2016,106,TBNew,0.0
2016,109,TBNew,0.0
2016,110,TBNew,0.0
2016,111,TBNew,0.0
2016,113,TBNew,3.0
2016,115,TBNew,0.0
2016,116,TBNew,0.0
2016,117,TBNew,0.0
2016,118,TBNew,3.0
2016,119,TBNew,19.0
2016,121,TBNew,4.0
2016,122,TBNew,0.0
2016,128,TBNew,0.0
2016,129,TBNew,36.0
2016,130,TBNew,0.0
2016,131,TBNew,0.0
2017,1,TBNew,303.0
2017,3,TBNew,107.0
2017,5,TBNew,1074.0
2017,6,TBNew,229.0
2017,13,TBNew,193.0
2017,14,TBNew,206.0
2017,15,TBNew,322.0
2017,17,TBNew,84.0
2017,18,TBNew,106.0
2017,19,TBNew,290.0
2017,21,TBNew,30.0
2017,22,TBNew,0.0
2017,23,TBNew,106.0
2017,25,TBNew,77.0
2017,26,TBNew,37.0
2017,27,TBNew,176.0
2017,29,TBNew,79.0
2017,30,TBNew,102.0
2017,31,TBNew,83.0
2017,33,TBNew,21.0
2017,34,TBNew,64.0
2017,35,TBNew,115.0
2017,37,TBNew,46.0
2017,38,TBNew,35.0
2017,39,TBNew,175.0
2017,41,TBNew,0.0
2017,42,TBNew,13.0
2017,45,TBNew,1227.0
2017,46,TBNew,1400.0
2017,47,TBNew,1233.0
2017,53,TBNew,55.0
2017,55,TBNew,168.0
2017,57,TBNew,140.0
2017,58,TBNew,140.0
2017,59,TBNew,362.0
2017,61,TBNew,43.0
2017,62,TBNew,89.0
2017,63,TBNew,135.0
2017,65,TBNew,299.0
2017,66,TBNew,135.0
2017,67,TBNew,83.0
2017,69,TBNew,53.0
2017,71,TBNew,262.0
2017,73,TBNew,132.0
2017,74,TBNew,350.0
2017,75,TBNew,96.0
2017,81,TBNew,134.0
2017,83,TBNew,77.0
2017,85,TBNew,39.0
2017,86,TBNew,42.0
2017,87,TBNew,107.0
2017,89,TBNew,70.0
2017,90,TBNew,21.0
2017,91,TBNew,149.0
2017,93,TBNew,204.0
2017,94,TBNew,153.0
2017,95,TBNew,353.0
2017,97,TBNew,90.0
2017,98,TBNew,6.0
2017,99,TBNew,231.0
2017,101,TBNew,199.0
2017,103,TBNew,52.0
2017,104,TBNew,0.0
2017,105,TBNew,90.0
2017,106,TBNew,148.0
2017,109,TBNew,5.0
2017,110,TBNew,62.0
2017,111,TBNew,85.0
2017,113,TBNew,106.0
2017,115,TBNew,291.0
2017,116,TBNew,0.0
2017,117,TBNew,133.0
2017,118,TBNew,145.0
2017,119,TBNew,351.0
2017,121,TBNew,190.0
2017,122,TBNew,115.0
2017,128,TBNew,1019.0
2017,129,TBNew,369.0
2017,130,TBNew,146.0
2017,131,TBNew,0.0
2018,1,TBNew,352.0
2018,3,TBNew,102.0
2018,5,TBNew,897.0
2018,6,TBNew,266.0
2018,13,TBNew,239.0
2018,14,TBNew,236.0
2018,15,TBNew,274.0
2018,17,TBNew,90.0
2018,18,TBNew,185.0
2018,19,TBNew,225.0
2018,21,TBNew,63.0
2018,22,TBNew,0.0
2018,23,TBNew,125.0
2018,25,TBNew,133.0
2018,26,TBNew,32.0
2018,27,TBNew,175.0
2018,29,TBNew,71.0
2018,30,TBNew,99.0
2018,31,TBNew,87.0
2018,33,TBNew,70.0
2018,34,TBNew,106.0
2018,35,TBNew,144.0
2018,37,TBNew,71.0
2018,38,TBNew,20.0
2018,39,TBNew,165.0
2018,41,TBNew,5.0
2018,42,TBNew,7.0
2018,45,TBNew,1115.0
2018,46,TBNew,1276.0
2018,47,TBNew,1179.0
2018,53,TBNew,39.0
2018,55,TBNew,99.0
2018,57,TBNew,131.0
2018,58,TBNew,110.0
2018,59,TBNew,324.0
2018,61,TBNew,55.0
2018,62,TBNew,99.0
2018,63,TBNew,122.0
2018,65,TBNew,326.0
2018,66,TBNew,110.0
2018,67,TBNew,69.0
2018,69,TBNew,74.0
2018,71,TBNew,237.0
2018,73,TBNew,184.0
2018,74,TBNew,271.0
2018,75,TBNew,126.0
2018,81,TBNew,106.0
2018,83,TBNew,57.0
2018,85,TBNew,31.0
2018,86,TBNew,38.0
2018,87,TBNew,99.0
2018,89,TBNew,76.0
2018,90,TBNew,26.0
2018,91,TBNew,114.0
2018,93,TBNew,247.0
2018,94,TBNew,121.0
2018,95,TBNew,499.0
2018,97,TBNew,92.0
2018,98,TBNew,12.0
2018,99,TBNew,173.0
2018,101,TBNew,31.0
2018,103,TBNew,76.0
2018,104,TBNew,0.0
2018,105,TBNew,121.0
2018,106,TBNew,79.0
2018,109,TBNew,10.0
2018,110,TBNew,49.0
2018,111,TBNew,70.0
2018,113,TBNew,115.0
2018,115,TBNew,248.0
2018,116,TBNew,0.0
2018,117,TBNew,156.0
2018,118,TBNew,131.0
2018,119,TBNew,204.0
2018,121,TBNew,154.0
2018,122,TBNew,130.0
2018,128,TBNew,1793.0
2018,129,TBNew,266.0
2018,130,TBNew,181.0
2018,131,TBNew,0.0
2019,1,TBNew,234.0
2019,3,TBNew,40.0
2019,5,TBNew,1252.0
2019,6,TBNew,223.0
2019,13,TBNew,236.0
2019,14,TBNew,207.0
2019,15,TBNew,294.0
2019,17,TBNew,108.0
2019,18,TBNew,318.0
2019,19,TBNew,223.0
2019,21,TBNew,80.0
2019,22,TBNew,0.0
2019,23,TBNew,95.0
2019,25,TBNew,121.0
2019,26,TBNew,61.0
2019,27,TBNew,194.0
2019,29,TBNew,68.0
2019,30,TBNew,159.0
2019,31,TBNew,115.0
2019,33,TBNew,75.0
2019,34,TBNew,58.0
2019,35,TBNew,171.0
2019,37,TBNew,88.0
2019,38,TBNew,36.0
2019,39,TBNew,224.0
2019,41,TBNew,3.0
2019,42,TBNew,11.0
2019,45,TBNew,1043.0
2019,46,TBNew,1050.0
