District,Facility_Level,Region,Facility_ID,Facility_Name,Facility_Count,Proportion_owned_by_government,Proportion_located_in_urban_area
Nsanje,1a,Southern,93,Facility_Level_1a_Nsanje,10.0,0.9,0.1
Nsanje,1b,Southern,94,Facility_Level_1b_Nsanje,2.0,0.0,0.0
Nsanje,2,Southern,95,Facility_Level_2_Nsanje,1.0,1.0,1.0
Ntcheu,0,Central,96,Facility_Level_0_Ntcheu,4.0,1.0,0.0
Ntcheu,1a,Central,97,Facility_Level_1a_Ntcheu,36.0,0.6111111111111112,0.027777777777777776
Ntcheu,1b,Central,98,Facility_Level_1b_Ntcheu,1.0,0.0,0.0
Ntcheu,2,Central,99,Facility_Level_2_Ntcheu,1.0,1.0,1.0
Ntchisi,0,Central,100,Facility_Level_0_Ntchisi,1.0,1.0,0.0
Ntchisi,1a,Central,101,Facility_Level_1a_Ntchisi,11.0,0.8181818181818182,0.0
Ntchisi,1b,Central,102,Facility_Level_1b_Ntchisi,0.0,,
Ntchisi,2,Central,103,Facility_Level_2_Ntchisi,1.0,1.0,1.0
Phalombe,0,Southern,104,Facility_Level_0_Phalombe,2.0,1.0,0.0
Phalombe,1a,Southern,105,Facility_Level_1a_Phalombe,13.0,0.7692307692307693,0.0
Phalombe,1b,Southern,106,Facility_Level_1b_Phalombe,1.0,0.0,0.0
Phalombe,2,Southern,107,Facility_Level_2_Phalombe,0.0,,
Rumphi,0,Northern,108,Facility_Level_0_Rumphi,4.0,0.75,0.0
Rumphi,1a,Northern,109,Facility_Level_1a_Rumphi,11.0,0.6363636363636364,0.09090909090909091
Rumphi,1b,Northern,110,Facility_Level_1b_Rumphi,4.0,0.75,0.25
Rumphi,2,Northern,111,Facility_Level_2_Rumphi,1.0,1.0,1.0
Salima,0,Central,112,Facility_Level_0_Salima,0.0,,
Salima,1a,Central,113,Facility_Level_1a_Salima,15.0,0.6666666666666666,0.0
Salima,1b,Central,114,Facility_Level_1b_Salima,0.0,,
Salima,2,Central,115,Facility_Level_2_Salima,1.0,1.0,1.0
Thyolo,0,Southern,116,Facility_Level_0_Thyolo,7.0,0.8571428571428571,0.0
Thyolo,1a,Southern,117,Facility_Level_1a_Thyolo,20.0,0.7,0.05
Thyolo,1b,Southern,118,Facility_Level_1b_Thyolo,3.0,0.3333333333333333,0.0
Thyolo,2,Southern,119,Facility_Level_2_Thyolo,1.0,1.0,1.0
Zomba,0,Southern,120,Facility_Level_0_Zomba,0.0,,
Zomba,1a,Southern,121,Facility_Level_1a_Zomba,31.0,0.7741935483870968,0.22580645161290322
Zomba,1b,Southern,122,Facility_Level_1b_Zomba,5.0,0.6,0.4
Zomba,2,Southern,123,Facility_Level_2_Zomba,0.0,,
Zomba City,0,Southern,124,Facility_Level_0_Zomba City,0.0,,
Zomba City,1a,Southern,125,Facility_Level_1a_Zomba City,0.0,,
Zomba City,1b,Southern,126,Facility_Level_1b_Zomba City,0.0,,
Zomba City,2,Southern,127,Facility_Level_2_Zomba City,0.0,,
,3,Southern,128,Referral Hospital_Southern,1.0,1.0,
,3,Northern,129,Referral Hospital_Northern,1.0,1.0,
,3,Central,130,Referral Hospital_Central,1.0,1.0,
,4,,131,Zomba Mental Hospital,1.0,1.0,
,5,,132,Headquarter,1.0,1.0,
